year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1923,F,,VAM,PCHA,SEA,PCHA,1,0,1,4,3,TG
1934,SF,A,TOR,NHL,BOS,NHL,3,1,0,7,2,
1969,QF,C,STL,NHL,MNS,NHL,4,2,0,20,16,
1973,DSF,,TOT,WHA,CLC,WHA,4,1,0,18,9,
2000,CSF,I,NJD,NHL,TOR,NHL,4,3,0,21,18,
1989,SCF,O,EDM,NHL,BOS,NHL,4,1,0,20,8,
1991,DSF,C,NYR,NHL,NJD,NHL,4,3,0,28,25,
1933,SF,A,DET,NHL,TOR,NHL,3,2,0,11,12,
1996,CQF,F,EDM,NHL,DAL,NHL,4,3,0,21,18,
1972,DSF,,NEW,WHA,OTN,WHA,4,1,0,24,17,
1995,CQF,C,NYR,NHL,MTL,NHL,4,2,0,19,17,
1987,DF,K,DET,NHL,STL,NHL,4,1,0,21,14,
1957,SCF,C,MTL,NHL,BOS,NHL,4,2,0,16,14,
1979,SCF,O,NYI,NHL,PHI,NHL,4,2,0,26,25,
1945,SCF,C,MTL,NHL,BOS,NHL,4,1,0,19,13,
2011,CQF,H,NAS,NHL,DET,NHL,4,1,0,13,9,
1976,Pre,C,LAK,NHL,ATF,NHL,2,1,0,11,7,
1990,DSF,G,LAK,NHL,VAN,NHL,4,2,0,26,16,
1983,DSF,C,NYI,NHL,NYR,NHL,3,2,0,13,14,
2002,CF,M,NJD,NHL,OTT,NHL,4,3,0,17,13,
1976,Pre,A,NYI,NHL,CHI,NHL,2,0,0,7,3,
2005,CQF,H,SJS,NHL,NAS,NHL,4,1,0,17,10,
1996,CF,M,PHI,NHL,NYR,NHL,4,1,0,20,13,
1975,QF,G,BOS,NHL,LAK,NHL,4,3,0,26,14,
1975,Pre,,NEW,WHA,CLC,WHA,3,0,0,14,6,
2009,CSF,K,SJS,NHL,DET,NHL,4,1,0,15,17,
2005,CSF,L,ANA,NHL,COL,NHL,4,0,0,16,4,
1929,SCF,E,MTL,NHL,BOS,NHL,2,0,0,7,3,
1972,QF,C,CHI,NHL,STL,NHL,4,1,0,22,9,
1982,DF,K,CHI,NHL,MNS,NHL,4,1,0,22,16,
1980,Pre,B,STL,NHL,PIT,NHL,3,2,0,20,21,
2002,CQF,E,DAL,NHL,EDM,NHL,4,2,0,20,11,
1975,SF,,WIJ,WHA,CAC,WHA,4,1,0,22,13,
2003,CSF,K,CAL,NHL,DET,NHL,4,2,0,11,12,
1996,CSF,J,PHI,NHL,BUF,NHL,4,1,0,21,13,
2010,CF,M,BOS,NHL,TBL,NHL,4,3,0,21,21,
1980,QF,I,NYI,NHL,EDM,NHL,4,2,0,29,20,
1984,DF,K,CHI,NHL,MNS,NHL,4,2,0,33,29,
1999,CQF,G,COL,NHL,PHO,NHL,4,1,0,17,10,
2000,CSF,L,STL,NHL,DAL,NHL,4,0,0,13,6,
1988,CF,N,CAL,NHL,CHI,NHL,4,1,0,15,8,
1941,QF,B,BOS,NHL,CHI,NHL,2,1,0,5,7,
1989,DF,L,EDM,NHL,LAK,NHL,4,0,0,24,10,
1935,SF,D,TOR,NHL,NYA,NHL,2,1,0,6,3,
1972,DSF,,HOU,WHA,LAS,WHA,4,2,0,23,16,
1985,DF,K,STL,NHL,TOR,NHL,4,3,0,24,22,
1972,Pre,,MFS,WHA,ALB,WHA,1,0,0,4,2,
1989,DSF,B,MTL,NHL,BUF,NHL,4,2,0,17,13,
1999,SCF,O,NJD,NHL,DAL,NHL,4,2,0,15,9,
2010,CSF,K,VAN,NHL,NAS,NHL,4,2,0,14,11,
1993,CQF,C,NJD,NHL,BUF,NHL,4,3,0,14,14,
1978,QF,G,BOS,NHL,PIT,NHL,4,0,0,16,7,
2008,SCF,O,PIT,NHL,DET,NHL,4,3,0,14,17,
1929,SCF,E,MTL,NHL,BOS,NHL,2,0,0,7,3,
1977,QF,G,TOR,NHL,NYI,NHL,4,3,0,16,13,
1999,CQF,H,DET,NHL,LAK,NHL,4,0,0,15,6,
1923,SCSF,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1952,SF,B,MTL,NHL,CHI,NHL,4,3,0,18,14,
1974,QF,F,BUF,NHL,CHI,NHL,4,1,0,20,10,
1970,SF,E,MTL,NHL,MNS,NHL,4,2,0,27,19,
1978,Pre,D,PIT,NHL,BUF,NHL,2,1,0,9,9,
1996,CQF,C,PHI,NHL,PIT,NHL,4,1,0,20,13,
2011,CSF,J,NJD,NHL,PHI,NHL,4,1,0,18,11,
1941,SCF,E,TOR,NHL,DET,NHL,4,3,0,25,19,
1976,SCF,K,MTL,NHL,BOS,NHL,4,0,0,16,6,
1954,SCF,C,DET,NHL,MTL,NHL,4,3,0,27,20,
1974,QF,G,MTL,NHL,VAN,NHL,4,1,0,20,9,
1941,SF,A,TOR,NHL,NYR,NHL,4,2,0,13,12,
2005,CSF,J,CAR,NHL,NJD,NHL,4,1,0,17,10,
1993,CSF,K,TOR,NHL,SJS,NHL,4,3,0,26,21,
1980,Pre,E,BUF,NHL,VAN,NHL,3,0,0,13,7,
2002,CSF,L,MIN,NHL,VAN,NHL,4,3,0,26,17,
2000,CQF,G,DAL,NHL,EDM,NHL,4,2,0,16,13,
1987,DSF,C,NJD,NHL,NYI,NHL,4,2,0,23,18,
1976,QF,E,MTL,NHL,STL,NHL,4,0,0,19,4,
2010,CQF,A,WAS,NHL,NYR,NHL,4,1,0,13,8,
