type,code,fullname
Playoffs,PF,Lost PCHA finals
Playoffs,SCSF,Lost Stanley Cup semi-finals
Division,CE,Central Division
Division,PC,Pacific Division
Division,EW,WHA East Division
Division,CW,WHA Canadian Division
Division,NO,Norris Division
Playoffs,AVSF,Lost AVCO Cup semi-finals
Round,SCF,Stanley Cup Finals
Playoffs,WSF,Lost WCHL semi-finals
Playoffs,DF,Lost NHL division finals
Playoffs,DSF,Lost NHL division semi-finals
Division,WD,West Division
Playoffs,QF,Lost NHL quarter-finals
Division,PT,Patrick Division
Division,SE,Southeast Division
Round,CSF,Conference Semi-Finals
Division,NW,Northwest Division
Playoffs,CSF,Lost NHL conference semi-finals
Playoffs,AVC,Won AVCO Cup
Division,AD,Adams Division
Playoffs,AVF,Lost AVCO Cup finals
Division,CA,Canadian Division
Division,AM,American Division
Round,SF,Semi-Finals
Round,DSF,Division Semi-Finals
Round,QF,Quarter-Finals
Division,WW,WHA West Division
Playoffs,WF,Lost WCHL finals
Round,F,Finals
Conference,WA,Wales Conference
Division,NE,Northeast Division
Playoffs,F,Lost Stanley Cup finals
Round,WP,Western Playoff
Conference,CC,Campbell Conference
Division,SM,Smythe Division
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Round,CF,Conference Finals
Division,ED,East Division
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Playoffs,NHLF,Lost NHL finals
Conference,WC,Western Conference
Playoffs,SC,Won Stanley Cup
Playoffs,CQF,Lost NHL conference quarter-finals
Round,SCSF,Stanley Cup Semi-Finals
Playoffs,SF,Lost NHL semi-finals
Round,DF,Division Finals
Playoffs,CF,Lost NHL conference finals
Conference,EC,Eastern Conference
Playoffs,PRE,Lost NHL preliminary round
Round,ACF,Avco Cup Finals
Round,CQF,Conference Quarter-Finals
Division,AT,Atlantic Division
Playoffs,NHAF,Lost NHA finals
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Round,Pre,Preliminary
Playoffs,WCS,Won Challenge Series
