year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1980,NHL,CHI,21,11,8.0,,10,22,8.0,,,,,,6,4,2,,3,8,3,,3,9,1,,9,3,1.0,,5.0,3.0,4.0,,4,5,4,,1,1,1,
1996,NHL,EDM,21,16,4.0,,15,21,5.0,,,,,,7,5,0,,6,7,1,,4,7,3,,8,3,1.0,,4.0,6.0,2.0,,6,7,0,,1,2,2,
1933,NHL,TOR,19,2,3.0,,7,11,6.0,,,,,,,,,,5,1,1,,8,2,2,,5,4,4.0,,5.0,2.0,2.0,,3,4,0,,,,,
1964,NHL,MTL,20,8,7.0,,16,15,4.0,,,,,,4,0,3,,4,6,2,,9,2,2,,8,5,0.0,,4.0,6.0,3.0,,7,4,1,,,,,
1989,NHL,BOS,23,13,4.0,,23,12,5.0,,,,,,5,6,1,,10,1,1,,6,8,1,,10,1,2.0,,7.0,6.0,0.0,,8,3,3,,0,0,1,
1949,NHL,CHI,13,18,4.0,,9,20,6.0,,,,,,2,4,2,,5,4,2,,3,9,2,,4,7,2.0,,3.0,6.0,2.0,,5,8,0,,,,,
1997,NHL,EDM,20,16,5.0,,15,21,5.0,,,,,,5,6,1,,3,7,5,,3,7,3,,7,5,1.0,,3.0,4.0,0.0,,8,6,0,,6,2,0,
1963,NHL,NYR,14,13,8.0,,8,25,2.0,,,,,,4,5,0,,2,8,2,,2,7,4,,9,3,1.0,,3.0,9.0,1.0,,2,6,2,,,,,
1988,NHL,MTL,30,6,4.0,,23,12,5.0,,,,,,4,7,1,,11,2,2,,11,1,3,,9,4,0.0,,8.0,1.0,1.0,,10,3,1,,0,0,1,
1973,WHA,NYJ,22,16,1.0,,10,26,3.0,,,,,,2,7,2,,5,7,0,,8,6,0,,7,6,0.0,,4.0,8.0,1.0,,6,6,1,,0,2,0,
