year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1978,WHA,EDO,13,6,7,0,61,50,,,,,,,,
1913,NHA,TBS,2,1,1,0,6,2,,,,,,,,
1936,NHL,TOR,2,0,2,0,1,5,21,,,,,,,
1997,NHL,COL,7,3,4,0,16,19,209,0,5,35,0,7,46,1
1941,NHL,MTL,3,1,2,0,8,8,19,,,,,,,
1941,NHL,NYR,6,2,4,0,12,13,60,,,,,,,
1995,NHL,CHI,10,6,4,0,30,28,180,2,7,46,0,5,53,0
1958,NHL,MTL,11,8,3,0,39,28,133,,,,,,,
1950,NHL,TOR,11,8,2,1,30,15,145,,,,,,,
2000,NHL,DET,6,2,4,0,17,15,57,0,9,27,0,3,20,0
1987,NHL,CHI,5,1,4,0,17,21,188,0,8,29,,10,38,1
1990,NHL,NJD,7,3,4,0,21,21,211,2,8,33,0,7,38,1
2001,NHL,STL,10,5,5,0,24,19,150,0,9,45,1,5,42,2
1920,NHL,TRS,2,0,2,0,0,7,24,,,,,,,
1990,NHL,PIT,24,16,8,0,95,68,571,12,26,137,4,25,120,3
1930,NHL,CHI,9,5,3,1,15,14,98,,,,,,,
1998,NHL,SJS,6,2,4,0,17,19,102,0,7,41,1,7,42,2
1934,NHL,TOR,7,3,4,0,11,12,61,,,,,,,
1941,NHL,TOR,13,8,5,0,38,31,117,,,,,,,
1977,WHA,HOU,6,2,4,0,16,29,,,,,,,,
1989,NHL,HAR,7,3,4,0,21,23,143,2,3,34,1,8,32,0
1993,NHL,VAN,24,15,9,0,76,61,436,0,19,116,2,20,114,2
2008,NHL,VAN,10,6,4,0,30,28,191,0,11,44,1,9,51,0
1938,NHL,DET,6,3,3,0,16,15,51,,,,,,,
1982,NHL,TOR,4,1,3,0,18,18,109,0,6,21,0,5,20,0
2008,NHL,CAR,18,8,10,0,42,52,231,4,6,60,0,8,71,1
1972,WHA,MFS,5,1,4,0,16,23,,,4,11,0,7,13,0
1933,NHL,TOR,5,2,3,0,12,11,67,,,,,,,
1997,NHL,BUF,15,10,5,0,46,32,268,2,16,89,1,9,90,2
1973,WHA,CLC,5,1,4,0,9,18,,,,,,,,
1991,NHL,HAR,7,3,4,0,18,21,147,0,6,40,1,8,41,2
2000,NHL,NJD,25,15,10,0,69,52,334,2,16,101,2,17,104,3
1967,NHL,PHI,7,3,4,0,17,17,142,,6,,3,4,,1
1973,NHL,LAK,5,1,4,0,7,10,109,,2,,0,1,,0
1970,NHL,TOR,6,2,4,0,15,16,147,,3,,1,4,,0
1988,NHL,STL,10,5,5,0,35,34,216,6,8,56,,6,38,1
1975,NHL,TOR,10,5,5,0,31,36,266,0,14,59,1,9,38,1
1996,NHL,DAL,7,3,4,0,18,21,136,0,3,40,1,6,34,1
2009,NHL,PHO,7,3,4,0,18,26,81,0,6,33,0,8,34,1
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
1995,NHL,FLO,22,12,10,0,61,57,401,6,14,109,2,20,103,1
1999,NHL,FLO,4,0,4,0,6,12,54,0,1,14,1,2,16,0
1954,NHL,DET,11,8,3,0,41,26,143,,,,,,,
2001,NHL,VAN,6,2,4,0,16,22,62,0,4,27,3,7,25,0
1991,NHL,WIN,7,3,4,0,17,29,167,4,7,38,1,5,39,0
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
1998,NHL,TOR,17,9,8,0,43,46,252,0,12,87,3,13,71,0
1935,NHL,MTM,3,0,3,0,1,6,22,,,,,,,
1976,NHL,MTL,14,12,2,0,54,23,170,2,10,55,0,5,46,2
1991,NHL,PIT,21,16,5,0,83,63,339,2,25,102,3,13,92,3
1958,NHL,CHI,6,2,4,0,16,21,93,,,,,,,
1919,PCHA,SEA,2,1,1,0,7,3,,,,,,,,
1924,WCHL,CAT,2,0,1,1,1,3,,,,,,,,
1952,NHL,BOS,11,5,6,0,30,37,109,,,,,,,
1949,NHL,TOR,7,3,4,0,11,10,117,,,,,,,
1970,NHL,PHI,4,0,4,0,8,20,57,,4,,1,7,,0
2010,NHL,VAN,25,15,10,0,58,69,435,12,19,93,6,19,99,1
1963,NHL,MTL,7,3,4,0,14,17,168,,,,,,,
1983,NHL,BOS,3,0,3,0,2,10,77,0,1,13,0,2,12,0
1986,NHL,PHI,26,15,11,0,85,73,499,8,19,93,3,22,93,5
1991,NHL,BUF,7,3,4,0,24,19,80,0,10,40,0,6,28,2
1947,NHL,NYR,6,2,4,0,12,17,43,,,,,,,
1995,NHL,CAL,4,0,4,0,7,16,56,0,0,21,0,4,21,0
2006,NHL,NYR,10,6,4,0,30,23,151,0,13,54,0,6,52,0
1932,NHL,TOR,9,4,5,0,14,18,99,,,,,,,
1990,NHL,BUF,6,2,4,0,24,29,221,0,6,36,1,9,37,2
1978,WHA,NEW,10,5,5,0,39,45,,,,,,,,
1919,PCHA,VML,2,1,1,0,3,7,,,,,,,,
1943,NHL,MTL,9,8,1,0,39,14,102,,,,,,,
1977,NHL,NYI,7,3,4,0,13,16,175,0,3,28,0,4,26,0
1976,WHA,WIJ,20,11,9,0,80,73,,,,,,,,
1928,NHL,BOS,5,5,0,0,9,3,76,,,,,,,
1977,NHL,COR,2,0,2,0,3,6,25,0,1,5,0,1,3,0
1994,NHL,PHI,15,10,5,0,50,43,186,2,9,70,1,15,66,3
1966,NHL,CHI,6,2,4,0,14,18,81,,,,,,,
2011,NHL,DET,5,1,4,0,9,13,55,0,4,23,0,2,22,0
1971,NHL,MNS,7,3,4,0,19,19,111,,4,,0,6,,0
1956,NHL,BOS,10,5,5,0,21,29,127,,,,,,,
2005,NHL,NAS,5,1,4,0,10,17,88,0,6,32,0,9,37,1
1979,NHL,STL,3,0,3,0,4,12,35,0,1,9,0,3,8,0
1976,WHA,SDM,7,3,4,0,19,28,,,,,,,,
1992,NHL,WIN,6,2,4,0,17,21,85,0,6,23,0,4,29,1
