year,lgid,tmid,oppid,w,l,t,otl
1999,NHL,OTT,DET,0,1,0.0,0
2005,NHL,SJS,NAS,2,2,,0
2000,NHL,NYR,DAL,0,2,0.0,0
1968,NHL,DET,CHI,4,3,1.0,
1989,NHL,DET,BOS,0,3,0.0,
2000,NHL,TBL,ATL,3,2,0.0,0
2005,NHL,NJD,TBL,2,1,,1
2007,NHL,NAS,BUF,0,1,,0
2007,NHL,PHO,SJS,3,5,,0
1968,NHL,DET,PHI,3,1,2.0,
1913,NHA,TBS,TOO,4,0,0.0,
1997,NHL,BUF,MTL,4,1,1.0,
1937,NHL,CHI,MTM,4,2,0.0,
2010,NHL,PIT,NYR,2,3,,1
1999,NHL,CHI,CAR,0,1,0.0,0
1975,NHL,STL,KCS,3,1,2.0,
2002,NHL,ANA,DET,1,2,0.0,1
1992,NHL,LAK,MNS,1,1,1.0,
1998,NHL,STL,SJS,1,2,1.0,
1995,NHL,EDM,LAK,3,1,1.0,
2010,NHL,WAS,CAL,1,0,,0
2011,NHL,VAN,PHI,0,1,,0
2009,NHL,MIN,ATL,0,1,,0
1958,NHL,MTL,CHI,8,1,5.0,
1993,NHL,CHI,NYI,1,0,1.0,
1982,NHL,MNS,HAR,2,0,1.0,
1977,NHL,MNS,VAN,3,3,0.0,
1972,NHL,NYR,CLF,3,1,1.0,
1988,NHL,CAL,WIN,5,2,1.0,
1999,NHL,PHI,FLO,3,1,0.0,0
1968,NHL,PHI,DET,1,3,2.0,
1988,NHL,BOS,BUF,0,5,3.0,
2009,NHL,CBS,TOR,0,1,,0
2002,NHL,CAR,LAK,0,1,1.0,0
1994,NHL,BOS,TBL,2,1,0.0,
2008,NHL,PHI,STL,0,1,,0
1927,NHL,DTC,BOS,2,4,0.0,
1993,NHL,BUF,NJD,1,3,0.0,
2005,NHL,TBL,DAL,1,0,,0
1979,NHL,PHI,COR,2,1,1.0,
1916,PCHA,VML,PO1,4,4,0.0,
1983,NHL,PHI,EDM,2,0,1.0,
1984,NHL,PHI,QUE,1,1,1.0,
2000,NHL,TBL,STL,1,1,0.0,0
1969,NHL,DET,CHI,4,4,0.0,
2009,NHL,TOR,WAS,2,2,,0
1996,NHL,CAL,NJD,0,2,0.0,
1974,NHL,NYI,LAK,1,0,3.0,
1989,NHL,BUF,BOS,3,4,1.0,
2008,NHL,CBS,DAL,1,1,,2
1993,NHL,QUE,EDM,0,2,0.0,
1952,NHL,NYR,TOR,2,8,4.0,
1975,WHA,MFS,SDM,3,6,1.0,
1987,NHL,WAS,PHI,4,2,1.0,
2003,NHL,LAK,NJD,0,1,0.0,1
1972,NHL,ATF,PIT,1,4,0.0,
2003,NHL,EDM,TOR,1,1,0.0,0
1998,NHL,LAK,MTL,0,1,0.0,
2003,NHL,TBL,BUF,3,0,0.0,1
1980,NHL,MNS,PIT,3,1,0.0,
2010,NHL,WAS,TOR,3,0,,1
2002,NHL,CHI,WAS,0,0,1.0,0
1975,NHL,ATF,BUF,1,2,1.0,
2010,NHL,MTL,NYR,3,1,,0
1972,WHA,CLC,LAS,3,2,1.0,
1983,NHL,PIT,QUE,0,3,0.0,
1970,NHL,MNS,BUF,1,5,0.0,
1980,NHL,PIT,CAL,1,2,1.0,
2005,NHL,MTL,PHI,3,0,,1
1980,NHL,DET,BUF,0,3,1.0,
1978,WHA,EDO,FIN,1,0,0.0,
1972,NHL,ATF,TOR,2,1,2.0,
2005,NHL,MIN,NAS,2,2,,0
1926,NHL,CHI,NYA,2,1,1.0,
1979,NHL,DET,ATF,1,2,1.0,
1981,NHL,WIN,VAN,1,2,0.0,
2000,NHL,CHI,NYI,1,0,0.0,0
1994,NHL,SJS,WIN,2,1,1.0,
1989,NHL,LAK,PHI,0,3,0.0,
2002,NHL,SJS,CAR,1,0,0.0,0
1999,NHL,DET,CAL,1,2,1.0,0
2006,NHL,NAS,PHO,2,2,,0
1986,NHL,EDM,CHI,1,2,0.0,
1993,NHL,DAL,FLO,1,0,1.0,
2000,NHL,CHI,SJS,0,2,0.0,2
2002,NHL,MIN,CBS,1,3,0.0,0
2002,NHL,SJS,CHI,1,1,1.0,1
2000,NHL,CHI,PHO,1,1,1.0,0
2003,NHL,CAR,MIN,0,0,1.0,0
2007,NHL,CAR,PIT,2,1,,1
1980,NHL,WAS,HAR,3,1,0.0,
1999,NHL,COL,SJS,1,1,2.0,0
2007,NHL,NYI,CAR,2,1,,1
1986,NHL,TOR,WAS,1,2,0.0,
1996,NHL,PHO,TOR,4,1,1.0,
2002,NHL,CAR,OTT,0,3,1.0,0
1968,NHL,TOR,LAK,3,3,0.0,
