playerid,year,stint,tmid,s,g,gdg
reinpst01,2005,1,CAL,2,1,1
vanekth01,2011,1,BUF,3,8,0
boedkmi01,2011,1,PHO,4,9,1
chimeja01,2005,1,CBS,1,1,1
fedorse01,2006,1,CBS,3,2,1
toewsjo01,2007,1,CHI,2,0,0
cluttca01,2009,1,MIN,1,0,0
kunitch01,2007,1,AND,6,2,1
umberrj01,2010,1,CBS,2,0,0
fosteku01,2011,1,AND,0,1,0
brylise01,2007,1,NJD,1,0,0
chriser01,2007,1,PIT,8,5,1
nagyla01,2005,1,PHO,5,1,1
sullist01,2010,1,NAS,4,1,1
parisza01,2007,1,NJD,11,4,3
niedero01,2005,1,ANA,1,1,1
kopecto01,2011,1,FLO,0,2,0
stajama01,2008,1,TOR,1,0,0
shanabr01,2008,1,NJD,1,1,1
savarma01,2006,1,BOS,6,1,0
raymoma01,2008,1,VAN,1,0,0
krepska01,2009,1,FLO,2,1,0
staffdr01,2010,1,BUF,3,1,0
upshasc01,2010,2,CBS,2,0,0
mackede01,2010,1,CBS,1,0,0
backlmi01,2011,1,CAL,0,1,0
brulegi01,2010,1,EDM,3,0,0
dawesni01,2007,1,NYR,9,5,2
willije01,2008,1,TOR,1,1,0
vanekth01,2005,1,BUF,6,2,1
gagnesi01,2011,1,LAK,0,3,0
seguity01,2011,1,BOS,6,12,4
kotalal01,2006,1,BUF,7,5,4
nugenry01,2011,1,EDM,2,5,2
lecavvi01,2007,1,TBL,3,1,0
rolstbr01,2006,1,MIN,12,5,1
antroni01,2011,1,WPG,0,1,0
kopecto01,2009,1,CHI,3,1,0
krejcda01,2008,1,BOS,3,1,0
pruchpe01,2007,1,NYR,4,1,1
clarkda03,2011,1,NJD,1,2,1
pecami01,2007,1,CBS,4,1,0
turriky01,2010,1,PHO,4,1,0
cammami01,2011,2,CAL,2,4,1
koivusa01,2011,1,AND,1,4,1
sandege01,2007,1,EDM,1,0,0
burnsbr01,2009,1,MIN,3,1,1
voracja01,2011,1,PHI,0,1,0
tavarjo01,2011,1,NYI,2,7,0
yorkmi01,2006,1,NYI,3,1,1
jonesda01,2010,1,COL,4,0,0
byfugdu01,2010,1,ATL,2,0,0
brierda01,2008,1,PHI,3,2,0
whiteto02,2007,1,ATL,1,0,0
tlustji01,2011,1,CAR,0,1,0
zajactr01,2010,1,NJD,2,1,1
langeja01,2011,1,STL,0,3,0
kostian01,2009,1,MTL,4,2,1
setogde01,2009,1,SJS,3,1,0
parkri01,2005,1,VAN,1,0,0
macarcl01,2007,1,BUF,3,0,0
vanekth01,2006,1,BUF,11,2,1
alfreda01,2005,1,OTT,8,2,1
kubinpa01,2008,1,TOR,1,0,0
bourqre01,2010,1,CAL,12,5,3
hortona01,2008,1,FLO,7,2,1
purcete01,2009,2,TBL,2,1,1
bergfni01,2010,2,FLO,1,0,0
rydermi01,2011,1,DAL,1,7,0
lecavvi01,2006,1,TBL,12,3,2
satanmi01,2006,1,NYI,13,5,2
oreilry01,2010,1,COL,2,1,1
murragl01,2006,1,BOS,4,0,0
jonesry01,2009,2,EDM,1,0,0
bergese01,2009,1,NYI,2,0,0
zidlima01,2009,1,MIN,7,2,0
hossama01,2009,1,CHI,5,2,0
keslery01,2008,1,VAN,3,1,0
letesma01,2010,1,PIT,4,1,1
willsbr01,2007,1,LAK,1,0,0
oreilca01,2009,1,NAS,4,2,1
nielsfr01,2008,1,NYI,5,3,1
reinpst01,2008,1,PHO,3,2,0
whitnra01,2005,1,CAR,5,4,0
burroal01,2009,1,VAN,1,1,0
royde01,2007,1,BUF,5,1,1
kozlovy01,2009,1,ATL,6,4,0
nielsfr01,2009,1,NYI,12,7,2
setogde01,2007,1,SJS,3,1,1
shattke01,2011,1,STL,1,5,1
kaberto01,2011,2,MTL,0,1,0
rydermi01,2005,1,MTL,4,0,0
morribr01,2008,1,AND,1,0,0
brodzky01,2011,1,MIN,1,2,1
fishemi01,2009,1,OTT,5,2,0
kulemni01,2010,1,TOR,4,0,0
kobasch01,2009,2,MIN,1,0,0
kaberto01,2010,1,TOR,1,0,0
wardja01,2005,1,NYR,1,0,0
czerkma01,2005,2,BOS,2,0,0
getzlry01,2010,1,AND,3,1,0
giroucl01,2011,1,PHI,5,9,2
bergepa01,2008,1,BOS,7,0,0
connoti01,2008,1,BUF,6,1,0
sandege01,2005,2,PHO,5,3,2
eliaspa01,2005,1,NJD,5,2,0
perrier01,2006,1,TBL,4,0,0
foligni01,2008,1,OTT,2,0,0
vrbatra01,2010,1,PHO,11,7,3
niedeni01,2011,1,NYI,0,1,0
rolstbr01,2008,1,NJD,1,0,0
carteje01,2007,1,PHI,6,3,0
vanekth01,2009,1,BUF,5,2,0
weissst01,2005,1,FLO,1,0,0
nieuwjo01,2006,1,FLO,2,0,0
pyorami01,2009,1,PHI,1,1,1
boyleda01,2010,1,SJS,3,3,0
perryco01,2010,1,AND,6,1,1
hensitj01,2008,1,COL,1,0,0
