season,dayzero,regionw,regionx,regiony,regionz
1985,1984 - 10 - 29 ч. 00 м.,Восточный,Западный,Средний запад,Юго-восточный
1986,1985 год — 28 ч. 00 м.,Восточный,Средний запад,Юго-восточный,Западный
1987,1986 - 27 ч. 00 м.,Восточный,Юго-восточный,Средний запад,Западный
1988,1987-11-02T00:00,Восточный,Средний запад,Юго-восточный,Западный
1989,1988 год — 31 час. 00 мин.,Восточный,Западный,Средний запад,Юго-восточный
1990,1989 год-10 ч. 00 м. - 30 ч. 00 м.,Восточный,Средний запад,Юго-восточный,Западный
1991,1990 - 29 ч. 00 м.,Восточный,Юго-восточный,Средний запад,Западный
1992,1991-11-04T00:00:00,Восточный,Западный,Средний запад,Юго-восточный
1993,1992-11-02T00:00,Восточный,Средний запад,Юго-восточный,Западный
1994,1993-11-01T00:00:00,Восточный,Юго-восточный,Средний запад,Западный
1995,1994 год - 31 час. 00 мин.,Восточный,Западный,Средний запад,Юго-восточный
1996,1995 год - 10 ч. 00 м. - 30 ч. 00 м.,Восточный,Средний запад,Юго-восточный,Западный
1997,1996 год-10 ч. 00 м. - 28 ч. 00 м.,Восточный,Юго-восточный,Средний запад,Западный
1998,1997 - 27 ч. 00 м.,Восточный,Западный,Средний запад,Южное
1999,1998 - 10 - 26 ч. 00 м.,Восточный,Средний запад,Южное,Западный
2000,1999-11-01T00:00:00,Восточный,Южное,Средний запад,Западный
2001,2000 - 10 - 30 ч. 00 м.,Восточный,Западный,Средний запад,Южное
2002,2001 - 29 ч. 00 м.,Восточный,Средний запад,Южное,Западный
2003,2002-11-04T00:00:00,Восточный,Южное,Средний запад,Западный
2004,2003-11-03T00:00:00,Атланта,Феникс,Ист-Рутхерфорд,Штуи
2005,2004-11-01T00:00:00,Альбукерке,Чикаго,Остин,Сиракуз
2006,2005 - 10 - 31 ч. 00 м.,Атланта,Окленд,Миннеаполис,Вашингтон
2007,2006 - 30 ч. 00 м.,Восточный,Южное,Средний запад,Западный
2008,2007-11-05T00:00:00,Восточный,Средний запад,Южное,Западный
2009,2008-11-03T00:00:00,Восточный,Южное,Средний запад,Западный
2010,2009-11-02T00:00,Восточный,Южное,Средний запад,Западный
2011,2010-11-01T00:00:00,Восточный,Западный,Юго-восточный,Юго-запад
2012,2011 - 2010 годы -- 31 ч. 00 м.,Восточный,Средний запад,Южное,Западный
2013,2012-11-05T00:00:00,Восточный,Южное,Средний запад,Западный
2014,2013-11-0400:00:00,Восточный,Южное,Средний запад,Западный
2015,2014-11-03T00:00:00,Восточный,Южное,Средний запад,Западный
