year,lgid,tmid,oppid,w,l,t,otl
2002,NHL,SJS,LAK,3,1,0.0,1
1996,NHL,BUF,NJD,1,2,1.0,
2010,NHL,TBL,NJD,1,3,,0
1997,NHL,TBL,CHI,2,0,0.0,
1983,NHL,VAN,CHI,1,2,0.0,
1955,NHL,TOR,DET,5,5,4.0,
1984,NHL,EDM,CHI,3,0,0.0,
1986,NHL,CHI,BUF,1,2,0.0,
2007,NHL,WAS,BOS,2,2,,0
2001,NHL,TOR,LAK,0,1,0.0,0
1995,NHL,OTT,CAL,1,1,0.0,
1987,NHL,LAK,VAN,3,4,1.0,
2001,NHL,MTL,WAS,3,1,0.0,0
1937,NHL,MTM,CHI,2,4,0.0,
2005,NHL,PIT,FLO,1,2,,1
1983,NHL,CHI,NJD,1,2,0.0,
1972,NHL,PIT,CHI,3,2,0.0,
2003,NHL,ANA,NYI,0,2,0.0,0
1950,NHL,BOS,NYR,4,2,8.0,
1972,WHA,MFS,NEW,3,3,0.0,
1994,NHL,CHI,LAK,3,1,0.0,
1933,NHL,OTS,BOS,4,2,0.0,
2003,NHL,CAR,VAN,0,0,0.0,1
2006,NHL,ATL,AND,0,1,,0
1930,NHL,MTL,NYR,2,2,0.0,
1976,NHL,MTL,CHI,3,0,1.0,
2010,NHL,DAL,BOS,0,1,,0
1997,NHL,SJS,PHO,0,4,0.0,
1995,NHL,COL,PHI,1,0,1.0,
2005,NHL,NAS,WAS,1,0,,0
1971,NHL,BOS,LAK,4,1,1.0,
1995,NHL,TBL,WAS,2,2,2.0,
2006,NHL,TBL,BUF,1,3,,0
1985,NHL,TOR,EDM,1,2,0.0,
1974,NHL,KCS,NYR,0,4,1.0,
1979,NHL,COR,EDM,2,2,0.0,
2007,NHL,BUF,OTT,3,4,,1
1998,NHL,SJS,COL,1,3,0.0,
2001,NHL,NYI,ANA,1,0,0.0,0
2002,NHL,DET,MIN,2,2,0.0,0
1995,NHL,WIN,DET,2,3,1.0,
1929,NHL,TOR,MTM,2,3,1.0,
2002,NHL,BUF,CAR,2,1,0.0,1
1994,NHL,WAS,PIT,2,2,0.0,
1954,NHL,TOR,DET,4,7,3.0,
1997,NHL,SJS,FLO,0,0,2.0,
1952,NHL,BOS,NYR,5,7,2.0,
1930,NHL,BOS,NYR,4,0,2.0,
1981,NHL,VAN,MTL,1,2,0.0,
1998,NHL,CHI,COL,1,2,1.0,
1996,NHL,DAL,EDM,4,0,0.0,
1974,WHA,MIB,SDM,2,3,1.0,
1999,NHL,SJS,PHO,3,1,0.0,2
2010,NHL,NAS,CAR,2,0,,0
2011,NHL,STL,NAS,2,2,,2
1974,NHL,DET,BOS,1,4,0.0,
1977,NHL,CHI,CLE,3,1,0.0,
1930,NHL,BOS,CHI,2,4,0.0,
1939,NHL,MTL,DET,3,5,0.0,
1980,NHL,TOR,MTL,1,3,0.0,
2011,NHL,WAS,CAL,1,0,,0
1981,NHL,EDM,MNS,2,0,1.0,
2008,NHL,COL,AND,0,4,,0
1990,NHL,NJD,WAS,3,4,0.0,
2003,NHL,DET,STL,4,1,1.0,0
1976,WHA,CAC,EDO,5,3,2.0,
