name,id,award,year,lgid,note
Herb Brooks,brookhe01c,Patrick,2001,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
Mark Messier,messima01,Patrick,2008,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Raymond Bourque,bourqra01,Patrick,2002,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Wayne Gretzky,gretzwa01,Patrick,1993,NHL,
William Tutt,tuttwi01h,Patrick,1977,NHL,
Ron DeGregorio,,Patrick,2002,NHL,
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Charles M. Schulz,,Patrick,1980,NHL,
Jack Parker,,Patrick,2009,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
Jerry York,,Patrick,2009,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
John Mayasich,,Patrick,1997,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Craig Patrick,patricr01,Patrick,1999,NHL,
Bruce McNall,,Patrick,1992,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
Gil Stein,,Patrick,1992,NHL,
Art Berglund,,Patrick,1991,NHL,
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Len Ceglarski,,Patrick,1989,NHL,
Bob Fleming,,Patrick,1994,NHL,
Walter Bush,bushwa01h,Patrick,1972,NHL,
Reed Larson,larsore01,Patrick,2005,NHL,
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Max McNab,mcnabma01,Patrick,1997,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
John Davidson,davidjo01,Patrick,2003,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Fred Cusick,,Patrick,1987,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Cam Neely,neelyca01,Patrick,2009,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Tony Rossi,,Patrick,2010,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
George Gund,,Patrick,1995,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Gary Bettman,,Patrick,2000,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
John MacInnes,,Patrick,1985,NHL,
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
David Poile,,Patrick,2000,NHL,
Charles L. Crovat,,Patrick,1973,NHL,posthumous
Arthur Wirtz,wirtzar01h,Patrick,1984,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Tom Fitzgerald,,Patrick,1977,NHL,
Jeff Sauer,,Patrick,2010,NHL,
Cammi Granato,,Patrick,2006,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Jim Devellano,,Patrick,2008,NHL,
Ray Miron,,Patrick,2003,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Brian Mullen,mullebr01,Patrick,1994,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Bob Naegele,,Patrick,2007,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Neal Broten,brotene01,Patrick,1997,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
John B. Sollenberger,,Patrick,1970,NHL,posthumous
George Leader,,Patrick,1975,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Ed Snider,snideed01h,Patrick,1979,NHL,
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Mike Richter,richtmi01,Patrick,2008,NHL,
Mike Emrick,,Patrick,2003,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Brian Burke,,Patrick,2007,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
