year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1998,NHL,PIT,13,6,7,0,35,36,183,2,8,45,1,6,50,0
1958,NHL,TOR,12,5,7,0,32,39,173,,,,,,,
2005,NHL,MTL,6,2,4,0,17,15,68,0,6,27,0,6,30,0
1997,NHL,BOS,6,2,4,0,13,15,75,0,6,40,0,3,20,0
1972,NHL,BUF,6,2,4,0,16,21,59,,4,,0,4,,0
1975,NHL,MTL,13,12,1,0,44,26,187,0,11,53,0,9,46,3
1992,NHL,BUF,8,4,4,0,31,28,116,0,10,39,2,10,36,1
2008,NHL,CHI,17,9,8,0,54,54,297,6,19,68,1,14,65,1
2001,NHL,SJS,12,7,5,0,34,32,124,0,5,48,0,5,48,0
2002,NHL,EDM,6,2,4,0,11,20,131,2,1,23,0,7,39,1
1918,NHL,MTL,5,4,1,0,26,18,87,,,,,,,
1990,NHL,HAR,6,2,4,0,17,24,192,0,6,23,0,10,36,1
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1984,NHL,MTL,12,6,6,0,43,41,320,0,13,51,0,8,49,1
1994,NHL,BUF,5,1,4,0,13,18,80,0,3,26,1,3,26,1
2000,NHL,TOR,11,7,4,0,28,24,146,2,9,39,0,6,48,1
2009,NHL,BOS,13,7,6,0,36,37,175,4,11,45,0,5,50,0
1939,NHL,DET,5,2,3,0,11,12,51,,,,,,,
1974,WHA,QUN,15,8,7,0,55,48,,,,,,,,
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
2002,NHL,NYI,5,1,4,0,7,13,108,0,3,31,0,4,30,0
1960,NHL,CHI,12,8,4,0,35,27,162,,,,,,,
1975,NHL,TOR,10,5,5,0,31,36,266,0,14,59,1,9,38,1
2002,NHL,ANA,21,15,6,0,45,40,166,8,8,70,1,9,70,3
1987,NHL,WIN,5,1,4,0,17,25,213,0,7,37,,10,35,1
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
1965,NHL,CHI,6,2,4,0,10,22,75,,,,,,,
1974,NHL,BOS,3,1,2,0,15,12,47,0,2,14,0,4,14,1
2010,NHL,NAS,12,6,6,0,33,34,121,0,7,48,2,12,40,2
1949,NHL,NYR,12,7,5,0,32,29,105,,,,,,,
1926,NHL,BOS,8,2,2,4,16,13,125,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103,,,,,,,
2002,NHL,OTT,18,11,7,0,43,34,214,2,12,83,1,6,73,3
1989,NHL,HAR,7,3,4,0,21,23,143,2,3,34,1,8,32,0
1973,NHL,LAK,5,1,4,0,7,10,109,,2,,0,1,,0
