year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1996,NHL,CHI,CHI,WC,CE,5,CQF,82,34,35,13.0,,81,,,223,210,Chicago Blackhawks,1763,14,45,304,9,59,374,5
1990,NHL,BUF,BUF,WA,AD,3,DSF,80,31,30,19.0,,81,,,292,278,Buffalo Sabres,1733,28,73,400,8,62,368,15
1999,NHL,DET,DET,WC,CE,2,CSF,82,48,22,10.0,2,108,,,278,210,Detroit Red Wings,1014,20,69,338,6,44,311,15
1989,NHL,WAS,WAS,WA,PT,3,CF,80,36,38,6.0,,78,,,284,275,Washington Capitals,2204,12,70,412,15,71,370,9
1917,NHL,TOA,TOR,,,1,SC,22,13,9,0.0,,26,,,108,109,Toronto Arenas,355,,,,,,,
1973,NHL,MTL,MTL,,ED,2,QF,78,45,24,9.0,,99,,,293,240,Montreal Canadiens,761,14,51,254,7,51,217,12
1999,NHL,COL,COL,WC,NW,1,CF,82,42,28,11.0,1,96,,,233,201,Colorado Avalanche,1118,18,59,302,7,52,335,3
1976,NHL,BOS,BOS,WA,AD,1,F,80,49,23,8.0,,106,,,312,240,Boston Bruins,1065,10,46,217,10,41,272,7
1978,WHA,CZE,CZE,,,9,,6,1,4,1.0,,3,,,14,33,Czechoslovakia,107,,,,,,,
2003,NHL,CBS,CBS,WC,CE,4,,82,25,45,8.0,4,62,,,177,238,Columbus Blue Jackets,1209,22,58,401,14,50,337,5
1997,NHL,EDM,EDM,WC,PC,3,CSF,82,35,37,10.0,,80,,,215,224,Edmonton Oilers,1690,10,77,483,11,66,406,10
1998,NHL,LAK,LAK,WC,PC,5,,82,32,45,5.0,,69,,,189,222,Los Angeles Kings,1383,14,43,327,11,47,330,12
1978,WHA,CIN,CIN,,,5,AVPRE,80,33,41,6.0,,72,,,274,284,Cincinnati Stingers,1651,32,81,341,5,64,278,6
1974,NHL,NYR,NYR,CC,PT,2,PRE,80,37,29,14.0,,88,,,319,276,New York Rangers,1053,12,84,296,7,54,295,6
1980,NHL,WIN,PHO,CC,SM,6,,80,9,57,14.0,,32,,,246,400,Winnipeg Jets,1191,30,60,345,15,67,261,8
1999,NHL,PIT,PIT,EC,AT,3,CSF,82,37,31,8.0,6,88,,,241,236,Pittsburgh Penguins,1221,16,54,346,11,56,321,7
1935,NHL,NYR,NYR,,AM,4,,48,19,17,12.0,,50,,,91,96,New York Rangers,387,,,,,,,
1975,NHL,PHI,PHI,CC,PT,1,F,80,51,13,16.0,,118,,,348,209,Philadelphia Flyers,1980,10,83,290,4,83,480,14
1913,PCHA,VML,VMR,,,2,,16,7,9,0.0,,14,,,89,89,Vancouver Millionaires,,,,,,,,
1977,NHL,NYI,NYI,CC,PT,1,QF,80,48,17,15.0,,111,,,334,210,New York Islanders,938,4,71,227,6,45,272,7
2002,NHL,NAS,NAS,WC,CE,4,,82,27,35,13.0,7,74,,,183,206,Nashville Predators,969,20,58,418,8,61,353,2
1939,NHL,CHI,CHI,,,4,QF,48,23,19,6.0,,52,,,112,120,Chicago Black Hawks,349,,,,,,,
1986,NHL,WAS,WAS,WA,PT,2,DSF,80,38,32,10.0,,86,,,285,278,Washington Capitals,1720,18,65,355,15,58,326,9
1927,NHL,BOS,BOS,,AM,1,SF,44,20,13,11.0,,51,,,77,70,Boston Bruins,557,,,,,,,
1932,NHL,NYA,BKN,,CA,4,,48,15,22,11.0,,41,,,91,118,New York Americans,478,,,,,,,
1985,NHL,STL,STL,CC,NO,3,CF,80,37,34,9.0,,83,,,302,291,St. Louis Blues,1478,10,78,362,14,74,324,9
2000,NHL,ATL,WPG,EC,SE,4,,82,23,45,12.0,2,60,,,211,289,Atlanta Thrashers,1500,6,54,395,8,90,408,9
1972,NHL,CLF,CLE,,WD,8,,78,16,46,16.0,,48,,,213,323,California Golden Seals,840,0,41,250,4,56,242,4
2011,NHL,NJD,NJD,EC,AT,4,F,82,48,28,,6,102,12,4,228,209,New Jersey Devils,944,20,46,267,13,27,259,15
1928,NHL,DTC,DET,,AM,3,QF,44,19,16,9.0,,47,,,72,63,Detroit Cougars,381,,,,,,,
2001,NHL,BOS,BOS,EC,NE,1,CQF,82,43,24,6.0,9,101,,,236,201,Boston Bruins,1454,12,39,283,5,45,348,14
1983,NHL,NJD,NJD,WA,PT,5,,80,17,56,7.0,,41,,,231,350,New Jersey Devils,1352,14,51,363,13,83,336,5
1947,NHL,NYR,NYR,,,4,SF,60,21,26,13.0,,55,,,176,201,New York Rangers,482,,,,,,,
1917,PCHA,VML,VMR,,,2,F,18,9,9,0.0,,18,,,70,60,Vancouver Millionaires,,,,,,,,
2000,NHL,PHO,PHO,WC,PC,4,,82,35,27,17.0,3,90,,,214,212,Phoenix Coyotes,1337,12,57,343,6,64,432,9
1984,NHL,CHI,CHI,CC,NO,2,CF,80,38,35,7.0,,83,,,309,299,Chicago Black Hawks,1432,20,62,285,5,77,334,10
2007,NHL,MTL,MTL,EC,NE,1,CSF,82,47,25,,10,104,5,6,262,222,Montreal Canadiens,1090,18,90,374,3,60,342,8
1996,NHL,STL,STL,WC,CE,4,CQF,82,36,35,11.0,,83,,,236,239,St. Louis Blues,1336,24,50,327,8,55,332,9
1987,NHL,DET,DET,CC,NO,1,CF,80,41,28,11.0,,93,,,322,269,Detroit Red Wings,2391,22,72,383,8,73,453,20
1993,NHL,BUF,BUF,EC,NE,4,CQF,84,43,32,9.0,,95,,,282,218,Buffalo Sabres,1760,16,96,424,8,58,380,21
1987,NHL,PIT,PIT,WA,PT,6,,80,36,35,9.0,,81,,,319,316,Pittsburgh Penguins,2211,26,110,500,19,120,507,18
1944,NHL,MTL,MTL,,,1,SF,50,38,8,4.0,,80,,,228,121,Montreal Canadiens,426,,,,,,,
1971,NHL,DET,DET,,ED,5,,78,33,35,10.0,,76,,,261,262,Detroit Red Wings,850,4,58,280,9,45,261,6
2009,NHL,PHI,PHI,EC,AT,3,F,82,41,35,,6,88,4,3,236,225,Philadelphia Flyers,1362,12,68,317,8,57,335,6
2009,NHL,ATL,WPG,EC,SE,2,,82,35,34,,13,83,4,6,234,256,Atlanta Thrashers,1053,8,51,316,4,57,320,9
1982,NHL,BOS,BOS,WA,AD,1,CF,80,50,20,10.0,,110,,,327,228,Boston Bruins,1202,18,67,302,6,53,275,8
1984,NHL,STL,STL,CC,NO,1,DSF,80,37,31,12.0,,86,,,299,288,St. Louis Blues,1301,16,66,301,9,73,306,7
1925,WCHL,CAT,CAT,,,5,,30,10,17,3.0,,23,,,71,80,Calgary Tigers,,,,,,,,
1972,NHL,MTL,MTL,,ED,1,SC,78,52,10,16.0,,120,,,329,184,Montreal Canadiens,783,8,52,239,4,37,235,9
1927,NHL,NYR,NYR,,AM,2,SC,44,19,16,9.0,,47,,,94,79,New York Rangers,463,,,,,,,
2011,NHL,VAN,VAN,WC,NW,1,CQF,82,51,22,,9,111,8,7,249,198,Vancouver Canucks,1049,10,57,288,4,40,286,7
2002,NHL,BOS,BOS,EC,NE,3,CQF,82,36,31,11.0,4,87,,,245,237,Boston Bruins,1370,24,59,325,11,65,375,10
1910,NHA,REN,REN,,,3,,16,8,8,0.0,,16,,,91,101,Renfrew Creamery Kings,,,,,,,,
1945,NHL,DET,DET,,,4,SF,50,20,20,10.0,,50,,,146,159,Detroit Red Wings,302,,,,,,,
1995,NHL,TBL,TBL,EC,AT,5,CQF,82,38,32,12.0,,88,,,238,248,Tampa Bay Lightning,1628,14,83,400,13,68,439,6
1909,NHA,MOW,MTW,,,1,,12,11,1,0.0,,22,,,91,41,Montreal Wanderers,,,,,,,,
1984,NHL,NYI,NYI,WA,PT,3,DF,80,40,34,6.0,,86,,,345,312,New York Islanders,1516,4,71,277,7,68,386,14
1926,NHL,BOS,BOS,,AM,2,F,44,21,20,3.0,,45,,,97,89,Boston Bruins,499,,,,,,,
1998,NHL,PIT,PIT,EC,AT,3,CSF,82,38,30,14.0,,90,,,242,225,Pittsburgh Penguins,977,12,65,363,14,56,302,10
1987,NHL,LAK,LAK,CC,SM,4,DSF,80,30,42,8.0,,68,,,318,359,Los Angeles Kings,2124,16,103,474,14,96,425,11
1942,NHL,CHI,CHI,,,5,,50,17,18,15.0,,49,,,179,180,Chicago Black Hawks,353,,,,,,,
1978,NHL,VAN,VAN,CC,SM,2,PRE,80,25,42,13.0,,63,,,217,291,Vancouver Canucks,1134,14,56,295,9,49,248,1
1972,NHL,NYI,NYI,,ED,8,,78,12,60,6.0,,30,,,170,347,New York Islanders,881,10,28,258,13,63,261,2
