driverstandingsid,raceid,driverid,points,position,positiontext,wins
55447,595,305,9.0,9,9,0
51037,699,380,0.0,12,12,0
112,23,20,4.0,12,12,0
49265,771,580,0.0,26,26,0
23313,497,105,0.0,27,27,0
20302,415,158,0.0,30,30,0
13030,63,31,26.0,6,6,0
16346,333,133,2.0,13,13,0
51049,699,412,0.0,24,24,0
52054,807,501,0.0,26,26,0
66085,259,55,4.0,7,7,0
44303,820,727,0.0,36,36,0
225,29,3,9.0,13,13,0
52801,688,289,15.0,6,6,0
66632,900,13,0.0,20,20,0
47362,782,506,0.0,36,36,0
44929,812,633,13.0,3,3,0
56540,561,277,0.0,20,20,0
5103,227,83,0.0,19,19,0
54394,645,362,0.0,16,16,0
55314,591,223,10.0,1,1,0
45068,813,703,0.0,72,72,0
55767,601,259,0.0,52,52,0
49977,751,518,0.0,37,37,0
67707,954,826,22.0,10,10,0
5106,227,22,5.0,7,7,0
22157,469,203,0.0,27,27,0
53632,670,375,6.0,7,7,0
20,19,14,0.0,12,12,0
49413,772,600,0.0,51,51,0
9636,285,69,0.0,21,21,0
18675,368,77,15.0,7,7,1
57377,534,203,3.0,16,16,0
49426,773,581,14.0,4,4,1
66287,264,14,4.0,15,15,0
43391,836,788,0.0,31,31,0
57612,540,231,8.0,12,12,0
54470,647,353,0.0,33,33,0
44826,810,654,0.0,41,41,0
66566,271,115,0.0,44,44,0
57749,543,207,2.0,5,5,0
43536,838,788,0.0,39,39,0
43333,836,778,0.0,32,32,0
3517,79,2,25.0,6,6,0
66257,264,22,10.0,5,5,0
53962,621,307,0.0,15,15,0
13985,52,24,3.0,18,18,0
20196,412,123,0.0,15,15,0
52614,683,368,0.0,24,24,0
13171,68,37,18.0,10,10,0
5221,232,21,0.0,17,17,0
51911,805,644,4.0,14,14,0
13850,46,14,8.0,11,11,0
68055,965,8,170.0,5,5,0
22183,470,192,0.0,23,23,0
21221,442,172,0.0,19,19,0
55981,576,172,0.0,20,20,0
66178,261,109,0.0,21,21,0
43219,833,789,0.0,20,20,0
48215,742,465,0.0,29,29,0
54183,628,314,2.0,17,17,0
17064,305,138,2.0,5,5,0
53460,641,339,0.0,37,37,0
49045,767,587,0.0,32,32,0
56470,589,275,0.5,21,21,0
18295,359,123,3.0,11,11,0
12268,116,42,0.0,18,18,0
55572,598,182,36.0,1,1,2
46744,789,578,4.0,10,10,0
53289,637,235,19.0,2,2,1
66674,902,20,23.0,6,6,0
57414,535,203,3.0,16,16,0
13022,62,35,7.0,13,13,0
52646,684,358,3.0,12,12,0
18286,359,110,0.0,19,19,0
68127,967,821,0.0,21,21,0
54940,611,327,25.0,3,3,0
48657,736,376,0.0,22,22,0
63380,720,347,2.0,7,7,0
67596,950,20,33.0,4,4,0
46822,790,578,4.0,10,10,0
53142,632,223,4.0,3,3,0
3441,34,4,53.0,6,6,2
21630,454,187,9.0,4,4,1
63451,722,437,0.0,28,28,0
57571,539,175,5.0,15,15,0
65250,872,818,8.0,17,17,0
54947,611,232,6.0,7,7,0
63677,728,360,17.0,6,6,0
51592,801,653,0.0,26,26,0
52817,688,235,1.0,19,19,0
12338,120,23,58.0,4,4,2
