constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
7764,328,21,2.0,8,8,0
21783,642,1,10.0,6,6,0
24634,849,15,33.0,6,6,0
25870,48,7,12.0,6,6,0
20813,684,180,19.0,2,2,2
26184,930,10,11.0,8,8,0
24514,75,15,7.0,7,7,0
10201,435,27,23.0,6,6,0
2497,231,27,12.0,5,5,1
6288,105,4,96.0,3,3,1
2436,225,17,0.0,11,11,0
10844,473,53,0.0,16,16,0
24171,523,204,4.0,9,9,0
4638,273,18,3.0,4,4,0
2211,205,21,6.0,7,7,0
137,30,10,0.0,10,10,0
1820,78,9,22.0,6,6,0
10380,446,51,6.0,8,8,0
5767,155,6,161.0,1,1,8
6305,106,17,5.0,9,9,0
23270,551,59,32.0,3,3,2
9144,371,49,0.0,19,19,0
6137,123,19,18.0,7,7,0
20880,688,167,27.0,3,3,1
20819,685,167,21.0,2,2,1
20456,706,11,2.0,7,7,0
22360,600,34,15.0,5,5,1
10121,430,45,0.0,11,11,0
23381,557,1,47.0,3,3,2
4643,274,1,16.0,1,1,1
25208,886,15,5.0,8,8,0
24991,871,1,218.0,2,2,4
8782,356,48,0.0,11,11,0
26088,914,3,201.0,3,3,0
19838,723,92,0.0,10,10,0
23642,538,6,35.0,4,4,3
26837,979,10,101.0,4,4,0
6482,67,14,0.0,12,12,0
19029,746,32,1.0,4,4,0
20814,684,190,9.0,6,6,1
22346,599,1,49.0,1,1,3
26469,951,131,157.0,1,1,4
21595,649,82,15.0,5,5,0
6399,60,9,8.0,8,8,0
25789,41,1,88.0,11,E,3
19362,743,6,42.0,1,1,4
26039,909,207,0.0,11,11,0
673,82,9,24.0,6,6,0
5795,157,20,4.0,9,9,0
8797,357,25,1.0,7,7,0
23607,536,34,40.0,2,2,1
22354,599,78,0.0,16,16,0
164,33,4,66.0,4,4,2
10420,448,25,0.0,15,15,0
25630,265,15,10.0,7,7,0
10341,443,6,26.5,3,3,1
23508,531,56,6.0,5,5,0
23590,535,21,8.0,7,7,0
10660,463,50,0.0,16,16,0
24648,851,9,383.0,1,1,6
22355,599,79,0.0,15,15,0
11256,495,51,3.0,11,11,0
8443,316,39,0.0,16,16,0
183,35,1,151.0,2,2,6
26754,971,131,99.0,2,2,1
26079,913,5,27.0,7,7,0
11117,487,53,0.0,17,17,0
22353,599,57,0.0,14,14,0
7680,323,42,0.0,18,18,0
7637,321,32,0.0,14,14,0
3364,296,3,100.0,1,1,6
25860,47,11,1.0,8,8,0
25912,52,4,51.0,3,3,0
24714,855,3,5.0,9,9,0
5926,135,21,2.0,11,11,0
10743,467,34,0.0,14,14,0
5267,208,25,0.0,10,10,0
1493,162,22,8.0,5,5,0
20500,708,66,45.0,2,2,3
7711,325,45,0.0,14,14,0
1507,163,17,9.0,5,5,0
25799,42,6,71.0,1,1,3
3412,299,27,4.0,8,8,0
9171,373,6,10.0,2,2,0
11149,489,1,5.0,8,8,0
5932,136,7,2.0,10,10,0
26773,973,6,153.0,2,2,2
20442,705,93,0.0,15,15,0
19331,739,170,2.0,4,4,0
