constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
24712,855,205,0.0,10,10,0
24319,343,131,100.0,4,4,0
2418,224,3,16.0,1,1,1
10707,465,55,1.0,11,11,0
8255,306,18,0.0,8,8,0
9984,424,53,0.0,14,14,0
9284,379,48,3.0,9,9,0
19354,742,170,9.0,4,4,0
25540,258,30,0.0,14,14,0
9143,371,3,77.0,2,2,2
9922,420,52,0.0,14,14,0
4712,279,26,0.0,11,11,0
5746,153,1,72.0,2,2,3
23348,555,66,0.0,16,16,0
5168,250,31,0.0,12,12,0
5551,185,22,16.0,5,5,0
25953,902,131,111.0,1,1,3
24789,862,1,88.0,1,1,1
7778,329,3,30.0,4,4,1
21654,654,86,0.0,10,10,0
5949,138,6,189.0,1,1,13
7734,326,46,0.0,11,11,0
4641,273,29,0.0,7,7,0
23512,531,34,20.0,3,3,0
21702,635,6,28.0,1,1,2
8792,357,6,9.0,2,2,1
9761,409,18,0.0,13,13,0
24159,523,27,61.0,2,2,3
7630,321,33,0.0,7,7,0
10123,430,18,0.0,13,13,0
10356,444,6,32.5,2,2,1
22353,599,57,0.0,14,14,0
26119,917,1,161.0,5,5,0
5848,128,17,0.0,11,11,0
22031,605,37,0.0,7,7,0
5853,129,19,3.0,6,6,0
5632,142,18,0.0,11,11,0
11376,502,32,6.0,7,7,0
5198,253,22,122.0,1,1,9
26202,932,15,21.0,6,6,0
10134,431,25,4.0,9,9,0
21894,620,32,0.0,8,8,0
25616,264,15,10.0,6,6,0
25626,265,3,43.0,3,3,2
9616,399,37,1.0,12,12,0
26702,966,9,427.0,2,2,2
8444,316,18,3.0,8,8,0
8256,306,17,0.0,11,11,0
9580,397,39,0.0,13,13,0
24041,516,204,1.0,7,7,0
24880,867,3,45.0,7,7,1
22041,607,66,1.0,5,5,0
20708,697,172,8.0,6,6,0
19040,747,171,0.0,10,10,0
23387,557,69,0.0,20,20,0
19034,747,167,3.0,4,4,0
26377,941,3,220.0,3,3,0
20737,679,11,4.0,3,3,0
22326,598,34,10.0,5,5,1
25482,222,21,9.0,8,8,0
8706,11,3,29.5,6,6,0
3492,304,25,8.0,6,6,0
10570,457,51,1.0,9,9,0
26007,906,9,139.0,2,2,1
26732,968,209,1.0,11,11,0
25175,883,15,5.0,8,8,0
21370,665,6,7.0,5,5,0
11381,503,34,22.0,3,3,1
22265,594,6,27.0,2,2,1
6467,66,2,26.0,6,6,0
9161,372,33,0.0,10,10,0
10128,430,53,0.0,15,15,0
25429,218,22,47.0,3,3,1
8989,366,42,0.0,18,18,0
22834,589,67,2.0,12,12,0
7626,321,3,4.0,3,3,0
24550,842,15,6.0,5,5,0
25001,871,207,0.0,10,10,0
21367,664,197,0.0,9,9,0
23690,540,65,0.0,14,14,0
11218,492,37,0.0,15,15,0
20854,686,26,0.0,13,13,0
21719,636,34,0.0,9,9,0
9901,419,21,1.0,10,10,0
25471,221,24,6.0,9,9,0
26580,959,6,242.0,3,3,0
21734,637,201,0.0,11,11,0
26461,950,3,29.0,4,4,0
23413,559,57,10.0,10,10,0
21700,634,200,6.0,3,3,0
5287,210,17,7.0,5,5,0
24795,862,10,9.0,8,8,0
2590,239,17,22.0,5,5,0
25220,887,3,0.0,9,9,0
3401,298,34,0.0,14,14,0
1468,160,6,39.0,1,1,3
