constructorresultsid,raceid,constructorid,points,status
1934,200,22,0.0,
1840,191,24,0.0,
14214,848,1,20.0,
2145,219,15,0.0,
13764,518,25,0.0,
2092,214,21,0.0,
13848,524,3,4.0,
13103,573,64,0.0,
2455,247,3,4.0,
5538,454,4,13.0,
14318,856,166,0.0,
4944,412,22,0.0,
5124,425,45,0.0,
99,27,5,1.0,
14072,351,3,9.0,
11543,659,187,3.0,
3250,305,39,0.0,
1062,120,6,1.0,
3186,300,18,0.0,
4649,392,32,9.0,
15033,927,1,0.0,
11210,684,193,0.0,
5599,458,3,8.0,
2169,221,6,0.0,
5909,477,55,0.0,
10206,740,170,2.0,
13906,337,4,0.0,
5835,473,25,0.0,
373,53,6,8.0,
5776,469,37,0.0,
3022,290,25,2.0,
14128,75,7,11.0,
12884,589,1,6.0,
15057,930,9,7.0,
14423,865,5,0.0,
13458,530,64,0.0,
1458,157,1,7.0,
11190,682,167,3.0,
1036,117,17,0.0,
14973,914,206,0.0,
5824,472,37,0.0,
2158,220,25,0.0,
1434,155,3,14.0,
3995,356,49,0.0,
2504,251,25,2.0,
10804,718,66,0.0,
12309,616,80,0.0,
5878,476,1,9.0,
11872,635,82,0.0,
14859,904,1,0.0,
5157,428,27,4.0,
6336,503,57,0.0,
9895,757,110,5.0,
3229,303,32,0.0,
4520,384,37,6.0,
13539,535,6,0.0,
12377,592,6,0.0,
12197,608,1,3.0,
4954,413,45,0.0,
14541,875,1,1.0,
1762,184,21,0.0,
12300,615,37,0.0,
839,98,16,6.0,
1406,152,21,0.0,
5301,438,6,13.0,
5578,456,54,0.0,
1913,198,20,0.0,
4751,398,45,0.0,
14992,916,5,1.0,
15335,959,210,0.0,
12814,584,34,0.0,
6276,499,45,0.0,
5319,439,4,3.0,
4773,400,25,0.0,
12349,590,25,1.0,
14008,346,9,31.0,
14892,907,208,0.0,
14667,886,208,2.0,
12993,566,204,0.0,
15107,936,1,12.0,
3335,310,1,4.0,
2467,248,6,4.0,
4714,396,21,1.0,
15205,945,15,0.0,
4070,360,25,0.0,
