raceid,driverid,lap,position,time,milliseconds
118,21,7,12,2:30.813,150813
979,830,41,1,1:22.422,82422
850,816,9,21,1:43.017,103017
949,838,2,11,1:39.668,99668
145,55,5,13,1:25.795,85795
35,1,3,4,2:01.838,121838
202,57,49,2,1:22.276,82276
956,821,57,13,1:10.423,70423
916,821,19,14,1:48.925,108925
979,839,33,10,1:23.712,83712
163,21,58,5,1:32.865,92865
232,35,4,4,1:20.361,80361
196,65,22,9,1:27.849,87849
111,4,57,6,1:24.882,84882
131,44,69,8,1:18.011,78011
346,155,16,11,1:36.456,96456
931,828,39,16,1:23.887,83887
191,56,52,4,1:36.059,96059
55,18,53,5,1:28.474,88474
339,13,34,9,1:38.993,98993
47,25,19,17,1:57.914,117914
52,19,27,17,1:14.973,74973
338,18,58,1,1:35.296,95296
970,822,40,7,1:36.066,96066
899,815,46,7,1:17.022,77022
99,48,1,11,1:24.303,84303
91,11,24,11,1:36.796,96796
878,8,21,2,1:43.423,103423
4,9,31,17,1:36.869,96869
932,154,20,5,1:19.801,79801
853,18,6,5,1:30.353,90353
143,30,51,2,1:33.876,93876
188,15,6,12,2:04.596,124596
72,15,39,2,1:37.264,97264
105,15,5,11,1:37.363,97363
847,24,49,20,1:34.643,94643
159,18,63,7,1:17.872,77872
38,23,10,16,1:37.338,97338
846,155,30,5,1:22.363,82363
171,55,38,12,1:28.790,88790
162,57,39,2,1:26.259,86259
46,9,65,5,1:21.317,81317
29,5,37,4,1:39.756,99756
44,26,8,13,1:24.966,84966
856,67,43,10,1:42.365,102365
119,21,54,13,1:20.280,80280
845,155,64,10,1:30.192,90192
218,77,27,10,1:57.069,117069
51,1,16,4,2:10.823,130823
883,818,6,22,1:43.189,103189
164,65,74,9,1:24.401,84401
157,18,49,7,1:39.713,99713
110,51,15,12,1:28.023,88023
84,22,17,8,1:27.758,87758
92,46,4,20,1:37.925,97925
844,2,25,10,1:32.969,92969
224,77,21,7,1:36.734,96734
92,18,2,7,1:33.865,93865
225,56,33,5,1:37.304,97304
6,8,69,3,1:16.858,76858
869,20,8,2,1:22.769,82769
166,22,13,2,1:21.073,81073
60,4,7,1,1:23.030,83030
37,22,32,13,1:38.566,98566
91,31,45,2,1:35.991,95991
859,17,45,1,1:16.375,76375
170,18,11,5,1:57.604,117604
939,817,11,2,1:52.507,112507
