season,slot,strongseed,weakseed
2010,R2X3,R1Х3,R1Х6
2005,Р1Х8,0x08,X09
1992,R5YZ,Рэйли,Р4З1
1997,Рекс-2,Р2Х2,R2X3
1985,Рэйли,Рэйни,Р3Й2
2012,R1W7,В07,В10
1996,"Я не понимаю, о чем вы спрашиваете. Можете перефразировать вопрос или уточнить, что именно нужно перевести?",Р1З1,Р1З8
1994,R5YZ,Рэйли,Р4З1
1999,R1Y5,5,12
1995,R2X1,R1X1,Р1Х8
1991,Р1Y2,02,15-й
1992,R2X3,R1Х3,R1Х6
1989,R2Z4,Р1З4,Ризз
2002,R1V4,В04,W-13
2010,Р1З1,Зо-1,З16
2007,R2Y1,R1Y1,R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8
2011,R2X1,R1X1,Р1Х8
1991,Р3Й2,R2-Y2,R2Y3
2005,Р1Х5,X05,ШІ
2007,R2Z4,Р1З4,Ризз
2008,R5YZ,Рэйли,Р4З1
1991,R1Х7,07x,10x
2000,R1Y6,6 лет,Y11
1989,R1Y5,5,12
1993,R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8,Я8,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?"
2011,R1Y6,6 лет,Y11
1985,R2Z2,R1З2,R1З7
2009,R1З3,З03,Зи14
1995,R1Х7,07x,10x
1999,R1W3,W03,W14
2003,"Я не понимаю, о чем вы спрашиваете. Можете перефразировать вопрос или уточнить, что именно нужно перевести?",Р1З1,Р1З8
2007,Р1Y2,02,15-й
1991,R2X1,R1X1,Р1Х8
1991,R1Y5,5,12
1989,R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8,Я8,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?"
2000,R2X1,R1X1,Р1Х8
1996,R1Х4,X04,"Я не знаю, о чем вы спрашиваете. Можете переформулировать вопрос?"
2002,R1W5,W05,В12
2010,R1W3,W03,W14
2000,Р1В2,В02,В15
2002,R2Y3,Р1Y3,R1Y6
1997,Р1В2,В02,В15
2003,R2Z4,Р1З4,Ризз
1986,Рэйни,R2Y1,R2Y4
2003,R2-W2,Р1В2,R1W7
1989,Р4Х1,Рекс-1,Рекс-2
1986,Р2В2,R2-W2,R2W3
1997,РЭЗИ,"Я не понимаю, о чем вы спрашиваете. Можете перефразировать вопрос или уточнить, что именно нужно перевести?",R2Z4
1994,R2X3,R1Х3,R1Х6
1998,R1Y5,5,12
1989,R1V6,W06,В11
2013,Рекс-2,Р2Х2,R2X3
1990,Р1З4,Зо-4,З-13
1991,R1W1,В01,В16
1989,R2W4,R1V4,R1W5
2010,Р1Х8,0x08,X09
1986,R1Y4,четыре,13
2001,РЭЗИ,"Я не понимаю, о чем вы спрашиваете. Можете перефразировать вопрос или уточнить, что именно нужно перевести?",R2Z4
1995,R5WX,Р4В1,Р4Х1
2002,R1Y5,5,12
1990,Рэйли,Рэйни,Р3Й2
1987,R1З7,З07,З10
2013,R1Y1,Я01,I15
1986,R1З2,Z02,З15
2003,Р1Y2,02,15-й
1997,R1Y5,5,12
1992,R1V4,В04,W-13
1988,R1Y1,Я01,I15
1993,R1W8,В08,W09
1998,R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8R1Y8,Я8,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?"
2012,R1Y5,5,12
1999,Р1Х8,0x08,X09
2003,R1Х7,07x,10x
2003,R1Y1,Я01,I15
2012,Р1З8,З08,Зеро-девять
1986,R1W5,W05,В12
