season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2008,127,1363,64,1256,62,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1996,49,1418,74,1401,69,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
2008,73,1427,81,1146,77,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
2006,19,1330,65,1200,52,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1999,115,1287,75,1292,74,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
1989,82,1132,80,1444,61,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
1988,29,1234,70,1179,59,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
1997,108,1149,75,1457,71,А,0
1996,96,1129,71,1226,51,А,0
2011,73,1241,79,1209,67,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
2005,26,1412,79,1433,55,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
2006,82,1246,80,1376,78,"Добро пожаловать в Cafe transl8t! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и укажите язык, на который он написан. Я сделаю перевод как можно более точным и естественным.",0
