qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
3408,340,22,3,9,11,1:36.664,1:35.748,
380,36,3,3,16,12,1:27.596,1:26.914,
6528,938,13,3,19,5,1:25.184,1:23.983,1:23.940
4840,854,808,4,10,18,1:49.835,,
4580,842,5,205,20,19,1:38.645,,
6856,955,825,4,20,21,1:46.348,,
3239,13,21,6,3,14,1:23.828,1:23.901,
3959,117,50,18,19,19,1:18.709,,
1052,67,30,6,5,2,1:21.711,1:21.353,1:21.486
4632,844,39,164,22,23,1:31.564,,
3805,110,8,1,6,4,1:13.866,,
123,23,22,11,17,15,1:16.208,1:16.537,
4552,841,16,10,14,16,1:26.245,1:31.407,
3648,350,16,10,14,11,1:23.493,1:23.199,
2523,254,71,3,5,2,1:14.213,,
3358,338,9,4,11,9,1:25.588,1:25.122,1:25.372
4630,844,24,164,23,21,1:30.692,,
5873,900,16,15,99,14,1:33.673,1:45.655,
7178,970,830,9,33,19,1:35.433,,
2819,266,104,29,9,16,1:21.873,,
3520,345,1,1,2,3,1:38.697,1:38.158,1:37.969
5570,885,821,15,12,19,1:26.917,,
6830,954,832,5,55,16,1:14.714,1:21.956,
3268,15,1,1,1,3,1:30.917,1:30.627,1:32.395
897,60,4,4,1,1,1:21.018,1:20.271,1:20.253
4590,843,4,6,5,5,1:35.389,1:35.165,1:35.119
522,42,27,12,21,22,1:14.597,,
5238,871,20,9,1,11,1:49.722,1:48.792,
2488,252,63,25,4,15,1:23.936,,
1761,200,65,15,15,18,1:33.205,,
7298,976,838,1,2,19,1:45.030,,
399,37,23,7,11,9,1:35.736,1:35.595,1:37.078
4251,98,43,7,16,11,1:11.691,,
3204,11,153,5,11,19,1:39.925,,
4133,92,13,15,12,13,1:32.536,,
4296,100,45,17,19,16,1:22.458,,
2961,272,30,22,5,2,1:16.197,,
5208,870,8,208,9,5,1:22.234,1:21.583,1:21.730
5030,862,817,5,16,17,1:36.933,1:36.956,
2422,249,90,28,22,21,1:24.351,,
3449,342,13,6,7,4,1:14.757,1:14.405,1:14.283
5779,896,4,6,3,8,1:25.934,1:24.885,1:25.826
5069,864,20,9,1,8,1:23.850,1:22.884,
6825,954,815,10,11,11,1:14.814,1:14.317,
6021,906,817,9,3,6,1:17.113,1:15.897,1:15.589
5468,881,17,9,2,5,1:37.619,1:36.449,1:52.244
1651,177,37,21,14,18,1:29.293,,
3664,351,1,1,2,3,1:48.296,1:46.042,1:45.571
3750,354,24,10,15,17,1:20.592,1:20.357,
1678,192,57,1,8,1,1:17.092,,
1320,86,8,1,9,2,1:46.440,,
6346,928,1,131,44,1,1:38.285,1:36.423,1:35.782
6446,933,20,6,5,3,1:11.184,1:09.392,1:08.810
3567,347,4,6,8,2,1:14.808,1:14.081,1:13.793
5182,869,17,9,2,3,1:16.500,1:39.382,1:41.496
6027,906,825,1,20,12,1:16.446,1:16.310,
1102,69,22,11,11,8,1:31.972,1:30.598,1:31.478
6256,917,822,3,77,4,1:10.832,1:10.421,1:10.305
6495,936,832,5,55,12,1:24.623,1:23.869,
6200,914,20,9,1,9,1:35.517,1:34.784,1:34.432
4634,845,20,9,1,2,1:24.142,1:21.540,1:21.181
7390,981,815,10,11,11,1:38.511,1:37.582,
5525,883,821,15,12,18,1:34.730,,
2618,257,92,30,34,25,1:20.729,,
7037,964,815,10,11,7,1:32.682,1:32.237,1:31.961
6100,909,813,208,13,19,1:20.195,,
6489,936,822,3,77,6,1:23.649,1:23.555,1:23.222
2792,265,65,32,12,15,1:46.630,,
1383,89,31,1,10,5,1:35.188,,
1131,70,38,9,15,15,1:12.530,1:12.591,
6786,952,821,210,21,16,1:24.406,1:24.778,
2671,259,107,31,32,26,1:27.584,,
553,44,2,2,9,9,1:20.534,1:20.178,1:20.894
3996,119,51,19,15,16,1:18.021,,
692,50,3,3,16,16,1:26.579,1:25.816,1:26.728
3703,352,67,5,16,18,1:33.568,,
7327,978,839,10,31,8,1:39.738,1:29.701,1:29.074
561,44,3,3,16,17,1:21.219,,
3331,337,17,9,6,6,1:55.298,1:54.318,1:55.284
6208,914,813,208,13,17,1:35.917,,
2412,249,49,15,30,11,1:20.413,,
7137,968,839,209,31,20,1:42.286,,
1474,140,56,19,16,14,1:33.915,,
2806,266,14,3,2,3,1:20.205,,
6937,959,154,210,8,15,1:16.328,1:16.086,
5212,870,811,3,19,9,1:22.271,1:21.697,1:22.343
3079,5,1,1,1,14,1:20.991,1:20.805,
6559,939,831,15,12,16,1:46.965,,
3585,347,10,166,24,20,1:18.343,,
432,38,16,12,20,20,1:35.280,,
5552,885,3,131,9,1,1:24.620,1:16.135,1:13.876
5478,881,814,10,14,15,1:37.493,1:44.509,
401,37,5,4,4,11,1:36.092,1:35.630,
2874,268,104,29,9,19,1:26.337,,
2356,247,14,3,6,3,1:28.947,,
4881,856,153,5,19,11,1:39.392,1:38.315,
