raceid,year,round,circuitid,name,date,time,url
23,2008,6,6,Monaco Grand Prix,2008-05-25,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
58,2006,6,4,Spanish Grand Prix,2006-05-14,14:00:00,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix
65,2006,13,11,Hungarian Grand Prix,2006-08-06,14:00:00,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix
74,2005,4,21,San Marino Grand Prix,2005-04-24,14:00:00,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix
78,2005,8,7,Canadian Grand Prix,2005-06-12,13:00:00,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix
79,2005,9,19,United States Grand Prix,2005-06-19,14:00:00,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix
88,2005,18,22,Japanese Grand Prix,2005-10-09,14:00:00,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix
92,2004,3,3,Bahrain Grand Prix,2004-04-04,,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
101,2004,12,10,German Grand Prix,2004-07-25,,http://en.wikipedia.org/wiki/2004_German_Grand_Prix
114,2003,7,6,Monaco Grand Prix,2003-06-01,,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
124,2002,1,1,Australian Grand Prix,2002-03-03,,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
165,2000,8,7,Canadian Grand Prix,2000-06-18,,http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix
166,2000,9,8,French Grand Prix,2000-07-02,,http://en.wikipedia.org/wiki/2000_French_Grand_Prix
186,1999,12,13,Belgian Grand Prix,1999-08-29,,http://en.wikipedia.org/wiki/1999_Belgian_Grand_Prix
188,1999,14,20,European Grand Prix,1999-09-26,,http://en.wikipedia.org/wiki/1999_European_Grand_Prix
198,1998,8,8,French Grand Prix,1998-06-28,,http://en.wikipedia.org/wiki/1998_French_Grand_Prix
200,1998,10,23,Austrian Grand Prix,1998-07-26,,http://en.wikipedia.org/wiki/1998_Austrian_Grand_Prix
204,1998,14,14,Italian Grand Prix,1998-09-13,,http://en.wikipedia.org/wiki/1998_Italian_Grand_Prix
209,1997,3,25,Argentine Grand Prix,1997-04-13,,http://en.wikipedia.org/wiki/1997_Argentine_Grand_Prix
214,1997,8,8,French Grand Prix,1997-06-29,,http://en.wikipedia.org/wiki/1997_French_Grand_Prix
241,1995,2,25,Argentine Grand Prix,1995-04-09,,http://en.wikipedia.org/wiki/1995_Argentine_Grand_Prix
242,1995,3,21,San Marino Grand Prix,1995-04-30,,http://en.wikipedia.org/wiki/1995_San_Marino_Grand_Prix
276,1993,4,21,San Marino Grand Prix,1993-04-25,,http://en.wikipedia.org/wiki/1993_San_Marino_Grand_Prix
310,1991,6,32,Mexican Grand Prix,1991-06-16,,http://en.wikipedia.org/wiki/1991_Mexican_Grand_Prix
312,1991,8,9,British Grand Prix,1991-07-14,,http://en.wikipedia.org/wiki/1991_British_Grand_Prix
313,1991,9,10,German Grand Prix,1991-07-28,,http://en.wikipedia.org/wiki/1991_German_Grand_Prix
314,1991,10,11,Hungarian Grand Prix,1991-08-11,,http://en.wikipedia.org/wiki/1991_Hungarian_Grand_Prix
317,1991,13,27,Portuguese Grand Prix,1991-09-22,,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix
318,1991,14,4,Spanish Grand Prix,1991-09-29,,http://en.wikipedia.org/wiki/1991_Spanish_Grand_Prix
319,1991,15,22,Japanese Grand Prix,1991-10-20,,http://en.wikipedia.org/wiki/1991_Japanese_Grand_Prix
320,1991,16,29,Australian Grand Prix,1991-11-03,,http://en.wikipedia.org/wiki/1991_Australian_Grand_Prix
332,1990,12,14,Italian Grand Prix,1990-09-09,,http://en.wikipedia.org/wiki/1990_Italian_Grand_Prix
334,1990,14,26,Spanish Grand Prix,1990-09-30,,http://en.wikipedia.org/wiki/1990_Spanish_Grand_Prix
348,2010,12,11,Hungarian Grand Prix,2010-08-01,12:00:00,http://en.wikipedia.org/wiki/2010_Hungarian_Grand_Prix
380,1988,9,10,German Grand Prix,1988-07-24,,http://en.wikipedia.org/wiki/1988_German_Grand_Prix
415,1986,12,23,Austrian Grand Prix,1986-08-17,,http://en.wikipedia.org/wiki/1986_Austrian_Grand_Prix
427,1985,8,9,British Grand Prix,1985-07-21,,http://en.wikipedia.org/wiki/1985_British_Grand_Prix
433,1985,14,38,European Grand Prix,1985-10-06,,http://en.wikipedia.org/wiki/1985_European_Grand_Prix
444,1984,9,42,Dallas Grand Prix,1984-07-08,,http://en.wikipedia.org/wiki/1984_Dallas_Grand_Prix
446,1984,11,10,German Grand Prix,1984-08-05,,http://en.wikipedia.org/wiki/1984_German_Grand_Prix
450,1984,15,20,European Grand Prix,1984-10-07,,http://en.wikipedia.org/wiki/1984_European_Grand_Prix
455,1983,4,21,San Marino Grand Prix,1983-05-01,,http://en.wikipedia.org/wiki/1983_San_Marino_Grand_Prix
