raceid,driverid,lap,position,time,milliseconds
853,10,16,15,1:33.456,93456
59,14,26,6,1:19.924,79924
352,17,15,2,1:36.853,96853
119,44,65,5,1:18.855,78855
11,4,41,4,1:39.693,99693
29,13,29,1,1:39.221,99221
159,48,10,17,1:20.892,80892
51,22,16,18,1:48.327,108327
938,830,52,12,1:28.488,88488
881,17,12,1,1:45.524,105524
141,44,18,6,1:32.432,92432
958,830,57,5,1:25.852,85852
200,57,35,2,1:38.052,98052
135,35,9,12,1:20.491,80491
100,30,31,1,1:19.524,79524
907,18,6,12,1:15.453,75453
353,18,18,7,2:03.283,123283
32,4,55,1,1:45.768,105768
111,50,29,17,1:27.734,87734
905,828,76,11,1:21.679,81679
19,19,33,16,1:38.857,98857
339,153,16,7,1:41.798,101798
123,43,3,4,1:36.447,96447
848,1,42,5,1:58.296,118296
76,22,51,13,1:16.916,76916
226,77,13,4,1:32.828,92828
961,825,25,20,1:30.168,90168
14,18,49,3,1:48.521,108521
900,4,56,5,1:32.616,92616
181,30,43,2,1:34.745,94745
107,10,26,14,1:16.158,76158
843,20,49,1,1:41.608,101608
67,22,48,6,1:25.203,85203
32,1,45,5,1:46.844,106844
83,11,28,9,1:24.625,84625
957,830,5,6,2:43.692,163692
103,22,14,11,1:49.657,109657
907,828,45,19,1:15.357,75357
26,22,48,3,1:41.982,101982
894,813,39,9,2:37.565,157565
866,814,47,12,1:18.349,78349
953,807,61,7,1:20.031,80031
239,79,23,14,1:47.939,107939
887,20,38,1,1:35.266,95266
79,22,71,2,1:12.526,72526
27,2,14,11,1:18.372,78372
127,31,60,4,1:26.443,86443
11,3,43,4,1:54.202,114202
179,70,21,13,1:27.708,87708
117,35,68,9,1:18.195,78195
186,14,41,1,1:56.639,116639
873,18,16,3,1:55.277,115277
160,65,31,13,1:30.246,90246
979,825,13,13,1:25.549,85549
162,14,55,2,1:27.061,87061
78,13,34,7,1:16.714,76714
100,48,50,12,1:23.094,83094
915,813,32,19,1:46.886,106886
904,155,4,20,1:36.288,96288
126,66,15,20,1:19.067,79067
851,816,10,22,1:45.707,105707
157,14,52,3,1:37.407,97407
945,826,34,9,1:47.295,107295
911,16,13,15,1:55.307,115307
886,13,41,12,1:32.757,92757
957,835,30,18,1:42.520,102520
212,49,42,9,1:25.267,85267
215,75,50,8,1:29.226,89226
5,2,16,9,1:24.687,84687
980,8,4,4,1:51.071,111071
965,817,53,3,1:43.106,103106
199,64,29,10,1:44.716,104716
844,153,22,16,1:33.818,93818
850,814,13,15,1:40.021,100021
153,15,4,13,1:21.930,81930
83,2,16,8,1:23.316,83316
965,826,26,18,1:45.900,105900
893,824,11,22,2:30.178,150178
50,14,14,10,2:13.892,133892
347,9,38,8,1:18.741,78741
133,30,6,2,1:29.324,89324
958,1,55,1,1:24.875,84875
127,31,40,4,1:25.457,85457
108,49,30,4,1:29.953,89953
157,61,26,14,1:40.541,100541
846,153,44,13,1:21.765,81765
81,27,22,17,1:28.459,88459
94,22,52,2,1:19.025,79025
126,63,60,8,1:17.996,77996
156,55,2,8,1:18.819,78819
352,155,50,7,1:34.486,94486
949,3,54,1,1:36.519,96519
932,822,48,3,1:18.669,78669
355,807,10,14,1:47.053,107053
64,32,31,8,1:18.762,78762
