constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
26413,944,208,76.0,6,6,0
24448,352,6,334.0,3,3,4
19057,749,32,15.0,2,2,1
28,20,8,0.0,11,11,0
23222,548,59,32.0,2,2,2
24100,519,56,1.0,10,10,0
2441,226,25,3.0,6,6,0
26050,910,207,0.0,11,11,0
21720,636,200,9.0,4,4,0
24195,525,32,39.0,4,4,0
8934,364,37,4.0,10,10,0
8365,312,33,1.0,11,11,0
3407,298,36,0.0,15,15,0
5753,153,18,0.0,11,11,0
23342,555,27,16.0,6,6,1
22169,616,6,12.0,5,5,0
11115,487,1,1.0,11,11,0
23023,569,57,2.0,12,12,0
19552,733,26,13.0,5,5,0
5936,136,17,7.0,6,6,0
25405,216,22,46.0,3,3,1
9831,414,22,8.0,6,6,0
24777,861,1,55.0,1,1,1
1495,162,20,0.0,11,11,0
22506,579,1,20.5,2,2,2
1541,166,21,3.0,9,9,0
24990,870,164,0.0,12,12,0
26819,977,4,18.0,8,8,0
8895,362,22,13.0,4,4,0
25587,262,25,8.0,6,6,0
26771,972,1,0.0,10,10,0
6378,58,5,0.0,9,9,0
10929,478,53,0.0,16,16,0
8237,305,18,0.0,8,8,0
9698,405,32,15.0,1,1,1
24838,864,6,63.0,4,4,1
26099,915,3,216.0,3,3,0
24708,855,4,72.0,5,5,0
11459,508,51,4.0,11,11,0
26610,961,15,0.0,11,11,0
11485,510,3,105.0,1,1,5
11054,484,51,3.0,5,5,0
9189,374,6,20.0,2,2,0
8676,6,3,7.5,7,7,0
11222,493,51,3.0,11,11,0
21041,675,11,8.0,9,9,0
20664,694,191,30.0,1,1,3
24304,342,6,136.0,2,2,1
23424,559,64,0.0,14,14,0
23183,545,66,0.0,12,12,0
25291,894,9,402.0,1,1,8
1545,167,6,92.0,2,2,5
10899,476,57,0.0,17,17,0
24075,518,4,0.0,13,13,0
21300,656,180,6.0,2,2,0
8714,12,7,38.5,5,5,0
702,85,6,86.0,3,3,1
193,35,8,0.0,11,11,0
19869,725,176,4.0,8,8,0
3388,297,35,2.0,10,10,0
19567,734,87,0.0,9,9,0
19570,734,100,0.0,8,8,0
22399,602,6,59.0,2,2,3
10505,453,32,0.0,11,11,0
9049,369,42,0.0,18,18,0
3436,300,37,3.0,9,9,0
21539,643,32,2.0,5,5,0
10651,463,1,34.0,5,5,1
22005,629,84,0.0,11,11,0
26225,934,5,19.0,8,8,0
9043,369,3,54.0,3,3,1
21604,650,66,10.0,7,7,1
26778,973,5,21.0,5,5,0
6078,118,1,95.0,3,3,2
1632,174,19,4.0,9,9,0
6400,60,5,0.0,9,9,0
18925,764,117,0.0,5,5,0
23985,512,6,0.0,9,9,0
4692,278,18,7.0,6,6,0
7662,323,1,25.0,1,1,1
11219,492,53,0.0,17,17,0
1666,79,3,47.0,4,4,0
5922,135,4,15.0,4,4,0
22070,610,80,0.0,10,10,0
24037,515,32,20.0,3,3,0
25804,42,7,9.0,5,5,0
9870,417,25,6.0,8,8,0
8695,10,4,13.0,7,7,0
5050,241,27,0.0,6,6,0
26097,915,1,143.0,5,5,0
1617,173,17,17.0,6,6,0
4807,287,1,74.0,2,2,4
7627,321,22,3.0,4,4,0
11470,509,3,90.0,1,1,4
