desert,country,province
Ливийская пустыня,СУД,Эш Шамалия
Муджункум,KAZ,Кызылорда
Негев,Ил,Южное
Эрг Чеч,РММ,Мали
Дашт-е-Кавир,IR,Тегеран
Каракум,ТМ,Лебан
Ливийская пустыня,ЕТ,Бени Сюф
Сирийская пустыня,СИР,Сирия
Калахари,Z,Западный
Ферло,SN,Луга
Кысилкум,Юзеф,Самарканд
Thar,СИН,Гуджарат
Великая пустыня Виктория,AUS,Западная Австралия
Руб аль-Чали,С.А.,Саудовская Аравия
Танезруфт,РММ,Мали
Сонора,МЕКС,Сонора
Эрг Исауан,DZ,Алжир
Гоби,ТДж,Гансу
Оуихи,США,Орегон
Дашт-е-Кавир,IR,Эсфахан
Сирийская пустыня,JOR,Иордания
Эрг Игиди,DZ,Алжир
Рин,Р,Астраханская область
Сирийская пустыня,ИРК,Аль-Анбар
Руб аль-Чали,ОАЭ,Аль-Фуджайра
Красный центр,AUS,Западная Австралия
Муджункум,KAZ,Жамбил
Ливийская пустыня,ЕТ,Матрух
Ферло,SN,Тамбакунда
Ливийская пустыня,ЕТ,Эль-Вади-эль-Джадид
Нефуд,С.А.,Саудовская Аравия
Азауад,DZ,Алжир
Кысилкум,Юзеф,Джиззах
Пустыня Гибсон,AUS,Западная Австралия
Каракум,ТМ,Дашхауз
Калахари,РБ,Ботсвана
Гоби,ТДж,Нинксиа Хуидзу
Ливийская пустыня,ЕТ,Эль-Минья
Thar,ПК,Пакистан
Гоби,МПГ,Монголия
Оуихи,США,Айдахо
Калахари,RSA,Северо-западный
Ливийская пустыня,ЕТ,Эль-Гиза
Thar,СИН,Пенджаб
Колорадо Плато,США,Новая Мексика
Пустыня в Нижней Калифорнии,МЕКС,Нижняя Калифорния
Организация &lt; &lt; Организация Объединенных Наций &gt; &gt;,ТДж,Цинхай
Пустыня,AUS,Северная территория
Талак,РН,Нигер
Калахари,ДН,Намибия
Thar,СИН,Харьяна
Чиуауа,США,Аризона
Дашт-е-Лут,IR,Систан и Белучестан
Великий Эрг Эст,DZ,Алжир
Арабская пустыня,ЕТ,Эль-Бахр-эль-Ахмар
Эрг Чеч,DZ,Алжир
Танезруфт,DZ,Алжир
Колорадо Плато,США,Аризона
Ригестан,AFG,Афганистан
Mojave,США,Калифорния
Каракум,ТМ,Балканские острова
Дарфур,СУД,Дарфур
Ордос,ТДж,Нинксиа Хуидзу
Руб аль-Чали,ОАЭ,Рас-эль-Хайма
Руб аль-Чали,ОАЭ,Дюбай
Дашт-э-Марго,AFG,Афганистан
Сонора,США,Аризона
Калахари,АНГ,Куандо Кубинго
Дашт-е-Кавир,IR,Хорасан
Гоби,ТДж,Нэй Монголь
Ust Urt,KAZ,Мангистау
Ust Urt,Юзеф,Каракальпогистон
Дашт-е-Лут,IR,Язд
Дашт-е-Лут,IR,Хорасан
Дашт-е-Лут,IR,Эсфахан
Каракум,ТМ,Ахал
Сирийская пустыня,С.А.,Саудовская Аравия
Дашт-е-Кавир,IR,Язд
Азауад,РН,Нигер
Ливийская пустыня,СУД,Дарфур
Руб аль-Чали,ОАЭ,Умм аль-Кайвейн
Большая пустыня Соленого озера,США,Юта
Каракум,Юзеф,Каракальпогистон
Дашт-е-Лут,IR,Керман
Хамада аль-Хамра,ЛАР,Ливия
Площадь Нулларбора,AUS,Южная Австралия
Ригестан,ПК,Пакистан
Ордос,ТДж,Шаанси
Кысилкум,KAZ,Кызылорда
Mojave,США,Невада
