city,province,country,river,lake,sea
Цинциннати,Огайо,США,Ривер Огайо,,
Иньчуань,Нинксиа Хуидзу,ТДж,Хванхо,,
Пэтейн,Айярвади,МЬЯ,Иравадди,,
Лас-Пальмас-де-Гран-Канария,Канарские острова,E,,,Атлантический океан
Ираклион,Крити,ГР,,,Средиземное море
Порт-о-Пренс,Гаити,РЧ,,,Карибское море
Йонкерс,Нью-Йорк,США,Гудзон Ривер,,
Бийск,Альтайский крей,Р,Катун,,
Нант,Платежи за обучение в Луаре,F,Луар,,
Кэсон,Северная Корея,Норк,,,Желтое море
Сан-Висенте,Сан-Паулу,КР,,,Атлантический океан
Джонкопинг,Джонкопинг,И,,Веттерн,
Мостаганем,Алжир,DZ,,,Средиземное море
Баранкилья,Атлантико,CO,Рио Магдалена,,
Хиросима,Хиросима,J,,,Тихоокеанский океан
Чита,Читинская область,Р,Шилка,,
Днепропетровский,Днепропетровская,UA,Днепр,,
Сион,VS,CH,Роун,,
Лубек,Шлезвиг Гольштейн,D,,,Балтийское море
Орлеан,Центр,F,Луар,,
Нижний Новгород,Нижегородская область,Р,Хорошо.,,
Бремерхейвен,Бремен,D,Уэсер,,Северное море
Сайпан,Северные Марианские острова,НМИС,,,Тихоокеанский океан
Солотхёрн,Вот так.,CH,Aare,,
Аден,Йемен,ДА,,,Аденский залив
Влэр,Австралия,AL,,,Средиземное море
Ниамей,Нигер,РН,Нигер,,
Фритаун,Сьерра-Леоне,ВАЛ,,,Атлантический океан
Адамстаун,Острова Питкэрн,ОМТС,,,Тихоокеанский океан
Малага,Андалусия,E,,,Средиземное море
Икитос,Лорето,ПЭ,Амазонки,,
Маленький камень,Арканзас,США,Арканзас,,
Сан-Хуан,Пуэрто-Рико,ПР,,,Атлантический океан
Симберск,Ульяновская область,Р,Волга,,
Самаринда,Индонезия,РИ,,,Сундское море
Фаро,Алгарв,Р,,,Атлантический океан
Твер,Тверская область,Р,Волга,,
Калининград,Калининградская область,Р,,,Балтийское море
Порт-оф-Спейна,Тринидад и Тобаго,ТТ,,,Карибское море
Ноксвилль,Теннесси,США,Теннесси,,
Стокгольм,Стокгольм,И,,Маеларен,Балтийское море
Пенанг,Пулау Пинанг,ТЗА,,,Малаккский пролив
Тривандрум,Керала,СИН,,,Индийский океан
Портсмут,Гэмпшир,ГБ,,,Канал
Олбани,Западная Австралия,AUS,,,Индийский океан
Гонолулу,Гавайи,США,,,Тихоокеанский океан
Брайтон,Восточный Сассекс,ГБ,,,Канал
Бриджтаун,Барбадос,УРБ,,,Атлантический океан
Лахти,Хеме,SF,,Пейджаенн,
Сарагоза,Арагон,E,Эбро,,
Кустанай,Кустанай,KAZ,Тобол,,
Колония,Микронезия,ФШМ,,,Тихоокеанский океан
Сфинту Георге,Ковасна,RO,Ольт,,
Омск,Омская область,Р,Иртыш,,
Кардифф,Кардифф,ГБ,,,Ирландское море
Тояма,Тояма,J,,,Японское море
Нукуалофа,Тонга,К,,,Тихоокеанский океан
Париж,Иль де Франция,F,Сена,,
Манагуа,Никарагуа,НИК,,Озеро Манагуа,
Райбинск,Ярославская область,Р,Волга,,
Гэри,Индианаa,США,,Озеро Мичиган,
Омаха,Небраска,США,Миссури,,
Кызылорда,Кызылорда,KAZ,Сирдарья,,
Нумеа,Новая Каледония,НКА,,,Тихоокеанский океан
Кордоба,Андалусия,E,Гвадалкивир,,
Крефельд,Нордрхейн Вестфален,D,Рейн,,
Оита,Оита,J,,,Японское море
Порту-Алегри,Рио-Гранди-ду-Сул,КР,,,Атлантический океан
Леверкусен,Нордрхейн Вестфален,D,Рейн,,
Фунафути,Тувалу,ТВЧ,,,Тихоокеанский океан
Плимут,Девон,ГБ,,,Канал
Северный Хартум,Аль-Хартум,СУД,Нил,,
Миядзаки,Миядзаки,J,,,Тихоокеанский океан
Кил,Шлезвиг Гольштейн,D,,,Балтийское море
Гренобль,Рон-Алпес,F,Изир,,
Уругайана,Рио-Гранди-ду-Сул,КР,Уругвай,,
Нагасаки,Нагасаки,J,,,Восточно-Китайское море
Брайла,Брайла,RO,Донау,,
Калининград,Калининградская область,Р,,,Балтийское море
Гижон,Астурия,E,,,Атлантический океан
Ангарск,Иркутская область,Р,Ангара,,
Людвигшафен,Rheinland Pfalz,D,Рейн,,
Шкодер,Австралия,AL,,Озеро Скутари,
Мурманск,Мурманская область,Р,,,Море Баренцев
Будапешт,Будапешт (муниципалитет),Н,Донау,,
Аваруа,Острова Кука,КОК,,,Тихоокеанский океан
Берген,Хордаланд,Н,,,Северное море
Луанда,Луанда,АНГ,,,Атлантический океан
Висбаден,Гессен,D,Главное,,
Страсбург,Alsace,F,Рейн,,
Дакка,Бангладеш,БД,Габариты,,
Волгоград,Волгоградская область,Р,Волга,,
Варанаси,Уттар-Прадеш,СИН,Габариты,,
Tegal,Индонезия,РИ,,,Сундское море
Янчжоу,Цзянсу,ТДж,Янгце,,
Паликир,Микронезия,ФШМ,,,Тихоокеанский океан
Конкорд,Нью-Гэмпшир,США,Река Мерримак,,
Бремерхейвен,Бремен,D,Уэсер,,Северное море
