country,independence,dependent,government
ГРАД,,F,Министерство иностранных дел Франции
НИК,1821-09-15,,Республика
ВАГ,1965-02-18,,Республика в условиях многопартийного демократического правления
BZ,1981-09-21,,парламентская демократия
ГЭ,1991-04-09,,Республика
АМСА,,США,неинкорпорированная и неорганизованная территория США
CO,1810-07-20,,Республика
ГРОКС,,ДК,части датской территории
ПР,,США,"содружество, связанное с США"
ОМТС,,ГБ,Британские заморские территории
TN,1956-03-20,,Республика
РСС,1960-08-13,,Республика
KWT,1961-06-19,,Номинальная конституционная монархия
SK,1993-01-01,,парламентская демократия
Z,1964-10-24,,Республика
СУД,1956-01-01,,Прежняя правящая военная хунта
MK,1991-09-17,,Формирующаяся демократия
FARX,,ДК,части датской территории
ARM,1918-05-28,,Республика
ДЖА,1962-08-06,,парламентская демократия
КР,1822-09-07,,Федеративная республика
ТТ,1962-08-31,,парламентская демократия
ПНГ,1975-09-16,,парламентская демократия
AZ,1991-08-30,,Республика
КИР,1979-07-12,,Республика
WD,1978-11-03,,парламентская демократия
Р,1140-01-01,,Республика
ТУКА,,ГБ,Британские заморские территории
ПК,1947-08-14,,Республика
ТR,1923-10-29,,Республиканская парламентская демократия
ОПП,2006-06-05,,парламентская демократия
ЭАК,1963-12-12,,Республика
TAD,1991-09-09,,Республика
ДСО,1977-06-27,,Республика
РИ,1945-08-17,,Республика
HELX,,ГБ,Британские заморские территории
D,1871-01-18,,Федеративная республика
NEP,1768-01-01,,по состоянию на 12 мая 1991 года
Клянусь!,1991-08-25,,Республика
ЭВ,1991-09-06,,Республика
GBJ,,ГБ,British Kone Industice (иждивенчество британской кроны)
ДК,,,конституционная монархия
МЕКС,1810-09-16,,"Федеральная республика, действующая под централизованным правительством"
F,,,Республика
РИМ,1960-11-28,,Республика
КР,,,Многосторонний демократический режим
БРУ,1984-01-01,,конституционный султанат
ЭТО,,,Федеративная республика
ЛБ,,,Республика
МАКХ,,ТДж,и специальной административной области в Китае
МПК,1975-06-25,,Республика
ES,1821-09-15,,Республика
ТВЧ,1978-10-01,,демократии
RSA,1910-05-31,,Республика
ДН,1990-03-21,,Республика
DZ,1962-07-05,,Республика
CH,,,Федеративная республика
ЕАС,1962-10-09,,Республика
GQ,1968-10-12,,Переходная республика к многопартийной демократии
Q,1971-09-03,,Традиционная монархия
ЛВ,1991-09-06,,Республика
ЧР,1821-09-15,,Демократическая Республика
ПДТ,1975-07-12,,Республика
LAO,1949-07-19,,Коммунистическое государство
Бен,1960-08-01,,Республика под многопартийным демократическим правлением отказалась от марксизма Ленинизма в декабре 1989 года
COCO,,AUS,территории Австралии
МПГ,1921-03-13,,Республика
РП,1946-07-04,,Республика
КОК,,Новой Зеландии,самоуправляющееся парламентское правительство в свободной ассоциации с Новой Зеландией
РОУ,1650-01-01,,монархия
И ДОЛЖНОСТНЫЕ ЛИЦА,,,"Парламентская демократия, которая сохраняет в качестве глав государств принцип взаимности"
GH,1957-03-06,,конституционная демократия
РШМ,0301-01-01,,Республика
ГР,1829-01-01,,парламентская республика
KAZ,1991-12-16,,Республика
БИ,1962-07-01,,Республика
SN,1960-08-20,,Республика в условиях многопартийного демократического правления
ИУ,1944-06-17,,Республика
HR,1991-06-25,,парламентская демократия
МСП,1975-11-25,,Республика
Нл,1579-01-01,,конституционная монархия
К,1949-11-09,,"многопартийная либеральная демократия под конституционной монархией, созданной в сентябре 1993 года"
Газа,,,
КАМ,1960-01-01,,унитарная республика
ЗРЕ,1960-06-30,,Республика с сильной президентской системой
SLO,1991-06-25,,Формирующаяся демократия
ТДж,,,Коммунистическое государство
АЗС,,,правовой статус территории и вопрос о суверенитете
МНТ,,ГБ,Британские заморские территории
ТЗА,1957-08-31,,конституционная монархия
BS,1973-07-10,,Содружество
СП,1960-07-01,,нет
РММ,1960-09-22,,Республика
РГ,1974-02-07,,парламентская демократия
МВт,1964-07-06,,Многосторонняя демократия
СИР,1946-04-17,,Республика под военным режимом с марта 1963 года
ГБ,1801-01-01,,конституционная монархия
ТА,1238-01-01,,конституционная монархия
G,1960-08-17,,Республика
МК,1419-01-01,,конституционная монархия
РЭ,1816-07-09,,Республика
RO,1881-01-01,,Республика
ТЛ,2002-05-20,,парламентская демократия
TCH,1960-08-11,,Республика
ФШМ,1986-11-03,,конституционное правительство в свободной ассоциации с США
ФСО,1970-10-10,,Республика
СПМИ,,F,территориальная коллективность Франции
ДА,1990-05-22,,Республика
ГБГ,,ГБ,British Kone Industice (иждивенчество британской кроны)
БУ,1980-07-30,,Республика
ИРК,1932-10-03,,Республика
НЬЮ,1974-10-19,,свободного объединения с Новой Зеландией
Р,1991-08-24,,Федерация
РМ,1960-06-26,,Республика
ГУАМ,,США,организован
BF,1960-08-05,,Парламентский
E,1492-01-01,,Парламентская монархия
ТМ,1991-10-27,,Республика
ЗАХОД,,,
UA,1991-12-01,,Республика
KN,1983-09-19,,конституционная монархия
A,1918-11-12,,Федеративная республика
VN,1945-09-02,,Коммунистическое государство
HCA,1821-09-15,,Республика
IR,1979-04-01,,Метрополитическая республика
SY,1976-06-29,,Республика
NAU,1968-01-31,,Республика
ДОМ,1844-02-27,,Республика
