country,population_growth,infant_mortality
ОАЭ,4.33,20.4
ЭАК,2.27,55.3
MK,0.46,29.7
VN,1.57,38.4
РВА,16.49,118.8
РИ,1.53,63.1
SLO,-0.27,7.3
ЛС,1.9,81.6
РММ,2.95,102.7
ДН,2.93,47.2
КН,1.06,6.1
РЧ,1.77,103.8
AL,1.34,49.2
БГ,0.46,15.7
ОПП,-0.47,6.75
D,0.67,6.0
ТЗА,2.07,24.0
KN,0.98,18.9
Норк,1.74,25.9
RG,1.85,134.1
ФПОЛ,1.39,7.55
НКА,1.14,7.05
ГБГ,1.28,9.2
ДЖА,0.8,15.6
C,0.44,9.0
НОРФ,,
Н,0.48,4.9
AXA,2.27,3.52
И ДОЛЖНОСТНЫЕ ЛИЦА,2.96,2.2
ФГУ,3.86,14.6
С.А.,3.45,46.4
GH,2.29,80.3
SK,0.34,10.7
РБ,1.63,54.2
МЕКС,1.87,25.0
RSA,1.76,48.8
SN,3.37,64.0
ЛТ,-0.35,17.0
ТR,1.67,43.2
ПНГ,2.29,60.1
США,0.91,6.7
UA,-0.4,22.5
SLB,3.35,25.8
AZ,0.78,74.5
BS,1.05,23.3
NEP,2.45,79.0
НИК,2.67,45.8
ARU,1.478,13.79
СПМИ,0.77,9.95
ЛАР,3.67,59.5
РН,2.99,117.6
РЭ,1.1,28.3
CH,0.59,5.4
МВт,1.71,139.9
АГ,0.76,17.2
КОК,-3.3,16.9
JOR,2.65,31.5
CV,2.93,54.3
И,0.56,4.5
WD,0.38,9.6
ПР,0.34,8.42
МПК,2.65,125.6
УРБ,0.26,18.7
ЗРЕ,1.67,108.0
Р,-0.07,24.7
LAO,2.81,96.8
ЗАХОД,4.99,28.6
COCO,,
НМИС,2.29,6.7
НЬЮ,,
CO,1.66,25.8
БРУ,2.56,24.2
РОУ,3.53,27.3
ЕАТ,1.15,105.9
Бен,3.32,105.1
WV,0.64,16.8
RO,-1.21,23.2
FARX,-1.8,7.2
MD,0.18,47.6
YV,1.89,29.5
J,0.21,4.4
