country,continent,percentage
АГ,Америки,100.0
ARU,Америки,100.0
AXA,Америки,100.0
УРБ,Америки,100.0
БЕРМ,Америки,100.0
БОЛ,Америки,100.0
КР,Америки,100.0
BS,Америки,100.0
БВИР,Америки,100.0
BZ,Америки,100.0
C,Америки,100.0
Кейм,Америки,100.0
КН,Америки,100.0
CO,Америки,100.0
ЧР,Америки,100.0
ДОМ,Америки,100.0
ЕС,Америки,100.0
ES,Америки,100.0
ФАЛК,Америки,100.0
ФГУ,Америки,100.0
СУА,Америки,100.0
ГРОКС,Америки,100.0
ГРАД,Америки,100.0
Парень,Америки,100.0
HCA,Америки,100.0
ДЖА,Америки,100.0
KN,Америки,100.0
МАРТ,Америки,100.0
МЕКС,Америки,100.0
МНТ,Америки,100.0
,Америки,100.0
НИК,Америки,100.0
ПА,Америки,100.0
Р,Европа,20.0
РЧ,Америки,100.0
РВА,Африка,100.0
ЕАС,Африка,100.0
YV,Америки,100.0
СП,Африка,100.0
LAO,Азия,100.0
БРИН,Азия,100.0
MK,Европа,100.0
I,Европа,100.0
К,Азия,100.0
TN,Африка,100.0
Ил,Азия,100.0
ТУКА,Америки,100.0
G,Африка,100.0
CI,Африка,100.0
ИРК,Азия,100.0
ОАЭ,Азия,100.0
CZ,Европа,100.0
RG,Африка,100.0
ЕТ,Африка,90.0
