river,country,province
Река Мерримак,США,Массачусетс
Семлики,ЕАС,Уганда
Умеэльв,И,Вастерботтен
Колима,Р,Республика Саха
Атбара,СУД,Эш Шамалия
Иравадди,МЬЯ,Янгон
&lt; &lt; Рио Гранде &gt; &gt;,США,Техас
Рейн,Нл,Зуид Холланд
Некар,D,Баден Вуртемберг
Тибер,I,Лацио
Эннс,A,Зальцбург
Река Святого Лоуренса,КН,Квебек
Куанго,ЗРЕ,Бандунду
Доуро,Р,Авейро
Молдау,CZ,Праха
Чир,МПК,Замбезия
Сальзах,D,Байерн
Гуадиана,Р,Порто
Иравадди,МЬЯ,Качин
Мурат,ТR,Элазиг
Тичино,I,Ломбардия
Эльба,D,Нидераксен
О,Р,Тюменская область
Сохранить,ОПП,Сербия
Вольта,GH,Гана
Кимижоки,SF,Уусимаа
Маникуаган,КН,Квебек
Aare,CH,АГ
Роун,F,Прованс Коте dAzur
Арно,I,Тоскана
Прайт,RO,Галати
Темба,ГБ,Эссекс
Нарва,Р,Псковская область
Кура,AZ,Азербайджан
Уругвай,Ру,Уругвай
Рааб,Н,Гьор Сопрон
Вёрм,D,Байерн
Миссури,США,Миссури
&lt; &lt; Рио Гранде &gt; &gt;,МЕКС,Тамаулипас
Арканзас,США,Арканзас
Лимпопо,МПК,Газа
Индус,ПК,Пакистан
Дорогая Ривер,AUS,Новый Южный Уэльс
Днестр,UA,Odeska
Лех,D,Байерн
Парагвай,PY,Парагвай
Парана,РЭ,Энтр-Риос
Ольт,RO,Ольт
Сусона,Р,Вологодская область
Иордания,ЗАХОД,Западный берег
Амударья,Юзеф,Каракальпогистон
Рио-Негро,КР,Амазонки
Ориноко,YV,Дельта Амакуро
Рио-Лерма,МЕКС,"Мексика, &lt; &lt; Эстадо де &gt; &gt;"
Минсио,I,Венето
Длинная кость,AL,Австралия
Хорошо.,Р,Нижегородская область
Одер,PL,Шчинский
Вааг,SK,Словакия
Чатанга,Р,Красноярский крей
Северная Двина,Р,Архангельская область
Оранье,RSA,Северный мыс
Кокемаенейоки,SF,Турку-Пори
Нил,ЕТ,Эль-Бухайра
Одер,D,Мекленбург Ворпоммерн
Бани,РММ,Мали
Рио Десагуадеро,БОЛ,Боливия
Морава,ОПП,Сербия
Po,I,Эмилия Романья
Доуро,Р,Порто
Волга,Р,Астраханская область
