sea,country,province
Атлантический океан,F,Poitou Charentes
Скагеррак,Н,Остров
Индийский океан,ЭАК,Побережье
Атлантический океан,ГБ,Внешние гебриды
Атлантический океан,SN,Зигиншор
Средиземное море,ГР,Крити
Атлантический океан,SN,Луга
Атлантический океан,F,Бретагн
Азовское море,UA,Херсонска
Тихоокеанский океан,ЧР,Гуанакаст
Средиземное море,М,Мальта
Карибское море,C,Сантьяго-де-Куба
Карибское море,ЧР,Лимон
Тихоокеанский океан,J,Хоккайдо
Красное море,JOR,Иордания
Карибское море,HCA,Атлантида
Карибское море,МЕКС,Юкатан
Тихоокеанский океан,ТВЧ,Тувалу
Атлантический океан,AXA,Ангилья
Северное море,ГБ,Нортумберленд
Карибское море,СМАРТ,Сент-Мартин
Средиземное море,RL,Ливан
Атлантический океан,США,Флорида
Арабское море,РОУ,Оман
Тихоокеанский океан,J,Канагава
Ирландское море,GBM,Мужчина
Южно-Китайское море,ТЗА,Теренгану
Средиземное море,ГР,Иониои Нисои
Карибское море,YV,Федеральный департамент
Персидский залив,С.А.,Саудовская Аравия
Сундское море,ТЛ,Тимор-Лешти
Северное море,Н,Хордаланд
Балтийское море,И,Гавлеборг
Атлантический океан,КР,Пернамбуко
Средиземное море,ЕТ,Эль-Дакалия
Красное море,С.А.,Саудовская Аравия
Мексиканский залив,C,Ла-Хабана
Карибское море,СУА,Гватемала
Андаманское море,МЬЯ,Айярвади
Балтийское море,SF,Аландская
Балтийское море,SF,Оулу
Атлантический океан,RCH,Чили
Восточно-Китайское море,ТДж,Чжэцзян
Атлантический океан,E,Страна Басков
Норвежское море,Н,Норд Тронделаг
Индийский океан,МПК,Софала
Средиземное море,I,Марш
Малаккский пролив,SGP,Сингапур
Бенгальский залив,МЬЯ,Ракхайн
Черное море,UA,Херсонска
Атлантический океан,МНТ,Монтсеррат
Средиземное море,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Тихоокеанский океан,RCH,Чили
Атлантический океан,E,Андалусия
Индийский океан,РМ,Анциранана
Балтийское море,Р,Ленинградская область
Атлантический океан,F,Аквитан
Средиземное море,I,Кампания
Балтийское море,И,Готландия
Атлантический океан,КР,Амапа
Тихоокеанский океан,AUS,Тасмания
Канал,ГБ,Восточный Сассекс
Атлантический океан,WL,Сент-Люсия
Атлантический океан,АНГ,Намибе
Южно-Китайское море,РП,Филиппины
Средиземное море,ГБЦ,Гибралтар
Тихоокеанский океан,NAU,Науру
Северное море,ГБ,Большой Лондон
Атлантический океан,КН,Квебек
Атлантический океан,ПР,Пуэрто-Рико
Красное море,ДСО,Джибути
Средиземное море,I,Абруццо
Тихоокеанский океан,J,Фукусима
Тихоокеанский океан,США,Калифорния
Тихоокеанский океан,J,Окинава
Индийский океан,РМ,Тоамасина
Черное море,UA,Крим
Балтийское море,И,Стокгольм
Восточно-Китайское море,J,Сага
Карибское море,C,Тунецы
Карибское море,CO,Атлантико
Атлантический океан,ТУКА,Острова Тёркс и Кайкос
Тихоокеанский океан,J,Токусима
