country,organization,type
ПК,WFTU,Член
ПДТ,ООН,Член
D,Интерпол,Член
ЧР,ЮНИДО,Член
ЛВ,АНК,Член
ФПОЛ,КСП,Член
Р,АНК,Член
ВАН,WTRO,Член
РШМ,ЕЭК,Член
E,ФАО,Член
РЭ,МФК,Член
МЕКС,Инмарсат,Член
БГ,WFTU,Член
AUS,ВОЗ,Член
СИР,ЮНЕСКО,Член
К,МАГАТЭ,Член
ИУ,ОБСЕ,Член
SF,НИБ,Член
Р,МОМ,Член
ДК,ППТС,Член
J,МКПТ,Национальное общество
МК,МОК,Национальный олимпийский комитет
ЕАТ,АКТ,Член
Новой Зеландии,МФСР,Категория I
AUS,ПСФ,Член
ОАЭ,КАЕУ,Член
Ил,МБРР,Член
МЭТ,МАР,Часть II
ZW,МВФ,Член
МПК,КХЦ,Член
ТR,ППТС,Член
SN,ЭКОВАС,Член
RCH,ЮНЕСКО,Член
ФСО,АКТ,Член
ДК,МСЭ,Член
Н,НАТО,Член
BF,МОТ,Член
БД,ФАО,Член
TAD,ВПС,Член
ZW,ДН,Член
РШМ,ДН,гость
БРУ,АСЕАН,Член
ЕАТ,МАГАТЭ,Член
IR,МБРР,Член
ЭТО,МКПТ,Национальное общество
CI,АфБР,региональный член
Q,МФОКК,Член
ТТ,ВОИС,Член
Н,УООН,Член
KGZ,ФАО,Член
ARM,МВФ,Член
Кл,МОМ,Член
ИРК,МСЭ,Член
NEP,МФОКК,Член
RG,МОТ,Член
ДК,НС,Член
ФСО,МОТ,Член
КАМ,ППТС,Член
М,МВФ,Член
ЕТ,МФСР,Категория III
Р,МКСП,Член
KAZ,АзБР,региональный член
CZ,Инмарсат,Член
CZ,ОМЧП,Член
И,СПРООН,Член
КБК,WFTU,Член
RCH,ППТС,Член
ЭАК,МОМ,Член
J,МАГАТЭ,Член
Р,ЦЕРН,Член
США,ИКАО,Член
ГНБ,МАР,Часть II
СИН,МООНГ,Член
Кл,ИМО,Член
Парень,ВМО,Член
ВАЛ,ООН,Член
РОУ,ИБР,Член
БГ,ГЯП,Член
AZ,Интерпол,Член
РЭ,ОНВУП,Член
ОПП,ЮНИДО,Член
ЭАК,ВОЗ,Член
РЭ,МВФ,Член
ЛАР,АМП,Член
И,ИМО,Член
МГ,Интерпол,Член
J,АзБР,региональный член
COM,AL,Член
B,WTRO,Член
CH,ЕЭК,Член
США,УООН,Член
ДЖА,ЮНИТАР,Член
SF,АзБР,нерегиональный член
ЛБ,МКСП,Член
RCH,ОАГ,Член
ЭАК,C,Член
HCA,ОПАНАЛ,Член
ЕС,RG,Член
ДН,МВФ,Член
ПК,ЮНИДО,Член
Кейм,ВПС,Член
ПК,ВОЗ,Член
НИК,ВКЛ,Член
ТТ,Интерпол,Член
ЛАР,КАЕУ,Член
ГР,ИМО,Член
KWT,ИМО,Член
РММ,КМООНА III,Член
СИР,ИМО,Член
ВАГ,ЮНИДО,Член
D,МАБР,Член
Р,ГЯП,Член
A,ГЯП,Член
WL,ДН,Член
YV,ИМО,Член
БРИН,ФАО,Член
ЕАТ,УВКБ,Член
E,ОЭСР,Член
ЧР,ВМО,Член
КБК,Интелсат,Член
ПА,ЮНЕСКО,Член
ЛАР,МАР,Часть II
Новой Зеландии,МАР,Часть I
ГНБ,МСЭ,Член
МПК,МВФ,Член
ЕАС,ВПС,Член
РН,МОК,Национальный олимпийский комитет
CO,WFTU,Член
IR,МФСР,Категория II
