mountain,country,province
Сулитжелма,И,Норрботтен
Джабель Любнан,RL,Ливан
Меру,ЕАТ,Аруша
Мармолата,I,Венето
Джокул,Н,Хордаланд
Монблан,I,Валье dAosta
Шоколадный костюм,A,Штирия
Снуэхетта,Н,Оппленд
Широкий пик,ТДж,Синьцзян Уйгур
Попокатепетл,МЕКС,"Мексика, &lt; &lt; Эстадо де &gt; &gt;"
Мт Бона,КН,Саскачеван
Жостедальсбре,Н,Согн-о-о-фьордане
Виньмейл,F,Миди-Пиренеи
Виктория,ФСО,Фиджи
Жима,Р,Республика Бурьятия
Г-н Бабель,КН,Квебек
Пик Ленина,TAD,Бадахшони Куни
Фого,CV,Кабо-Верде
Саректжокко,И,Норрботтен
Харни Пик,США,Южная Дакота
Пик Победа,KGZ,Кыргызстан
Макалу,ТДж,Тибет
Каямбе,ЕС,Эквадор
Ампато,ПЭ,Арекипа
Пик Револузия,TAD,Бадахшони Куни
Маттерхорн,I,Валье dAosta
Мусала,БГ,Австралия
Ликанкабур,БОЛ,Боливия
Портефжаэльен,И,Норрботтен
Гилуве,ПНГ,Папуа-Новая Гвинея
Мантальингаджан,РП,Филиппины
Mt Fairweather,США,Аляска
Эми Кусси,TCH,Чад
Мауна Луа,США,Гавайи
Г-н Косцийко,AUS,Новый Южный Уэльс
Монте Роза,I,Ломбардия
Пели,МАРТ,Мартиника
Мт Робсон,КН,Британская Колумбия
Невадо дель Руис,CO,Рисаральда
Пико де Ането,E,Арагон
Pico de Agulhas Negras,КР,Минас-Жерайс
Tatamailau,ТЛ,Тимор-Лешти
Гран-Парадисо,I,Валье dAosta
Gasherbrum I,ТДж,Синьцзян Уйгур
Рантекомбола,РИ,Индонезия
Кебнекайз,И,Норрботтен
Рувензори,ЗРЕ,Киву
Псилорит,ГР,Крити
Пико де Тейд,E,Канарские острова
Ринджани,РИ,Индонезия
Табана Нтленьяна,ЛС,Лесото
Монблан,F,Рон-Алпес
Фако,КАМ,Судоэст
Джабель Катрина,ЕТ,Сина аль-Джанубия
Элгон,ЭАК,Западный
Рувензори,ЕАС,Уганда
Царатанана,РМ,Анциранана
Охос-дель-Саладо,RCH,Чили
Панчак Джая,РИ,Индонезия
Мт Рейнье,США,Вашингтон
Монте Писсис,РЭ,Ла-Риоджа
Oraefajokull,ИУ,Италия
Короли пик,США,Юта
Попоманасей,SLB,Соломоновы Острова
Шникоппе,PL,Уолбржицкий
Тамгак,РН,Нигер
Джебель Шуайб,ДА,Йемен
Глетертинд,Н,Оппленд
Кинабалу,ТЗА,Саба
Монте Роза,CH,VS
Нанга Парбат,ПК,Пакистан
Тирих Мир,AFG,Афганистан
Piton des Neiges,ВРЕМЯ,Воссоединение
Серро-де-Пунта,ПР,Пуэрто-Рико
Олимпос,CY,Кипр
Фудзисан,J,Шизуока
Пик Чан-Тенгри,KGZ,Кыргызстан
Халекала,США,Гавайи
Пинатубо,РП,Филиппины
Бабушка Сассо,I,Абруццо
Мт Ваддингтон,КН,Британская Колумбия
Широкий пик,ПК,Пакистан
Мт Реддюйм,США,Аляска
Мерапи,РИ,Индонезия
Тахан,ТЗА,Келантан
Пуи-де-Коме,F,Овернь
Концепция,НИК,Никарагуа
Hotaka-Dake,J,Нагано
Руапеху,Новой Зеландии,Новая Зеландия
М. Кук,Новой Зеландии,Новая Зеландия
Монте Писсис,РЭ,Тукуман
Зугспитц,D,Байерн
Семеру,РИ,Индонезия
Пулог,РП,Филиппины
Борах Пик,США,Айдахо
Pico Basile,GQ,Экваториальная Гвинея
Кракатау,РИ,Индонезия
Ллульяльяко,РЭ,Тукуман
Арарат,ТR,Агри
Клингонские куполы,США,Теннесси
Рас Дашан Терара,ЭТО,Эфиопия
Монте Фальтерона,I,Эмилия Романья
Пико Кристобал Колон,CO,Магдалена
Аконкагуа,РЭ,Мендоса
Сильвисили,WS,Самоа
Серро Черрипо,ЧР,Картаго
Мармолата,I,Трентино Альто Адиге
Мт Адамс,США,Вашингтон
Молдовеану,RO,Сибиу
Mt Blackburn,США,Аляска
Чанбай Шан,Норк,Северная Корея
Котопакси,ЕС,Эквадор
Pico de los Nieves,E,Канарские острова
Кеня,ЭАК,Восточная
Финстераархорн,CH,БУДЬ
Канлаон,РП,Филиппины
Чо Ою,NEP,Непал
Монте Фальтерона,I,Тоскана
Гора Апо,РП,Филиппины
Мт МакКинли,США,Аляска
Олимп,ГР,Кедрики Македония
Андрингитра,РМ,Фианарантсоа
Тор де Серредо,E,Астурия
Тахан,ТЗА,Паханг
Народнаджа,Р,Репозиция Коми
Чанбай Шан,ТДж,Джилин
Гунунг Бинайя,РИ,Индонезия
Джабал Марра,СУД,Дарфур
Мт Логан,КН,Территория Юкон
