mountain,island
Вильгельм,Новая Гвинея
Панчак Джая,Новая Гвинея
Пико,Пико
Piton des Neiges,Воссоединение
Пинатубо,Лузон
Г-н Один,Остров Баффин
Кинабалу,Борнео
Монте Синто,Корс
Канлаон,Негры
Leuser,Суматра
Гилуве,Новая Гвинея
Халекала,Мауи
Пели,Мартиника
Пико де Тейд,Тенерифа
Диаблотины морна,Доминика
М. Кук,Те Вака-а-Мауи (Южный остров)
Piton de la Fournaise,Воссоединение
Семеру,Ява
Суфриер Хиллз,Монтсеррат
Этна,Сицилия
Асахи-Дейк,Хоккайдо
Гора Апо,Минданао
Царатанана,Мадагаскар
Tatamailau,Тимор
Pico Basile,Биоко
Жима,Олкхон
Кракатау,Кракатау
Монт-Орохена,Таити
Снэфелл,Италия
Суфриер,Сент-Винсент
Пулог,Лузон
Сильвисили,Саваи
Фого,Фого
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Руапеху,Те Ика-а-Мауи (Северный остров)
Бен Невис,Великобритании
Пико Дуарти,Испаньола
Пико де Сан-Томе,Сан-Томе
Барбо Пик,Остров Эллесмир
Рантекомбола,Сулавеси
Ю Шан,Тайвань
Попоманасей,Гвадалканал
Ла Суфриер,Басс-Терре
Мантальингаджан,Палаван
Мауна Кеа,Гавайи
Псилорит,Крета
Тамбора,Сумбава
Mt. Balbi,Бугенвиль
Голубая гора,Чили
Керинчи,Суматра
Концепция,Айла да Ометепе
Гунунг Бинайя,Церам
Пико Туркино,Куба
Серро-де-Пунта,Пуэрто-Рико
