sea1,sea2
Восточно-Китайское море,Тихоокеанский океан
Северный Ледовитый океан,Море Баренцев
Японское море,Охотское море
Аденский залив,Красное море
Арабское море,Аденский залив
Северное море,Скагеррак
Андаманское море,Бенгальский залив
Каттегат,Скагеррак
Восточно-Китайское море,Японское море
Балтийское море,Северное море
Южно-Китайское море,Сундское море
Атлантический океан,Норвежское море
Арабское море,Индийский океан
Море Сулавеси,Сундское море
Аденский залив,Индийский океан
Тихоокеанский океан,Море Сулавеси
Атлантический океан,Тихоокеанский океан
Карибское море,Мексиканский залив
Тихоокеанский океан,Сундское море
Восточно-Китайское море,Желтое море
Индийский океан,Сундское море
Малаккский пролив,Южно-Китайское море
Бенгальский залив,Тихоокеанский океан
Северное море,Канал
Арабское море,Оманский залив
Северный Ледовитый океан,Норвежское море
Северный Ледовитый океан,Беременное море
Северный Ледовитый океан,Атлантический океан
Оманский залив,Персидский залив
Восточно-Китайское море,Южно-Китайское море
Индийский океан,Тихоокеанский океан
Атлантический океан,Средиземное море
Море Баренцев,Норвежское море
Черное море,Средиземное море
Северное море,Норвежское море
Атлантический океан,Карибское море
Оманский залив,Индийский океан
Море Баренцев,Сибирианское море
Атлантический океан,Индийский океан
Атлантический океан,Ирландское море
Беременное море,Тихоокеанский океан
Атлантический океан,Северное море
Южно-Китайское море,Море Сулавеси
Северный Ледовитый океан,Сибирианское море
Тихоокеанский океан,Японское море
Черное море,Азовское море
Андаманское море,Индийский океан
Тихоокеанский океан,Охотское море
Андаманское море,Малаккский пролив
Атлантический океан,Мексиканский залив
Японское море,Желтое море
Бенгальский залив,Сундское море
Тихоокеанский океан,Южно-Китайское море
Атлантический океан,Канал
