island,country,province
Хонсю,J,Нагано
Лонг-Айленд,США,Нью-Йорк
Хонсю,J,Осака
Бенбекула,ГБ,Внешние гебриды
Вануа Леву,ФСО,Фиджи
Великобритании,ГБ,Блейно Гвент
Хонсю,J,Ямагути
Италия,ИУ,Италия
Хонсю,J,Окаяма
Великобритании,ГБ,Нит и Порт-Тальбот
Сент-Люсия,WL,Сент-Люсия
Остров Санта-Роза,США,Калифорния
Великобритании,ГБ,Рексхем
Сан Мигель,Р,Азоры
Великобритании,ГБ,Эйвон
Шикоку,J,Кочи
Бугенвиль,ПНГ,Папуа-Новая Гвинея
Тиниан,НМИС,Северные Марианские острова
Великобритании,ГБ,Порошки
Норт-Уист,ГБ,Внешние гебриды
Новая Гвинея,ПНГ,Папуа-Новая Гвинея
Арран,ГБ,Стратклид
Хонсю,J,Айти
Виноградник Марты,США,Массачусетс
Тристан-да-Кунья,HELX,Остров Св. Елены
Липари,I,Калабрия
Лолланд,ДК,Дания
Корс,F,Корс
Лангеланд,ДК,Дания
Остров Св. Елены,HELX,Остров Св. Елены
Мадагаскар,РМ,Махаджанга
Италия,ГБ,Великобритании и Северной Ирландии
Тасмания,AUS,Тасмания
Мауи,США,Гавайи
Борнео,РИ,Индонезия
Вангерож,D,Нидераксен
Провиденсьялес,ТУКА,Острова Тёркс и Кайкос
Куба,C,Матанзас
Невис,KN,Сент-Китс и Невис
Борнео,БРУ,Бруней
Доминика,WD,Доминика
Сансибар,ЕАТ,Мджини Магариби
Великобритании,ГБ,Южный Йоркшир
Остров Уайт,ГБ,Остров Уайт
Терсейра,Р,Азоры
Великобритании,ГБ,Большой Лондон
Хонсю,J,Ниигата
Великобритании,ГБ,Дорсет
Великобритании,ГБ,Цередигация
Великобритании,ГБ,Оксфордшир
Гомера,E,Канарские острова
Великобритании,ГБ,Флинтшир
Площадь,ДК,Дания
Южный Андаман,СИН,Андаман и Никобар тоже.
Восточный Фолкленд,ФАЛК,Фолклендские острова
Тексель,Нл,Норд Холланд
Гренада,РГ,Гренада
Хонсю,J,Мияги
Микелон-Ланглайд,СПМИ,Сент-Пьер и Микелон
Остров Виктория,КН,Северо-западные территории
Антигуа,АГ,Антигуа и Барбуда
Боркум,D,Нидераксен
Остров Саутгемптон,КН,Северо-западные территории
Полезность,PL,Шчинский
Авст-Вагои,Н,Нордленд
Новая Гвинея,РИ,Индонезия
Косс,ГР,Звук Айяон
Уполу,WS,Самоа
Барра,ГБ,Внешние гебриды
Великобритании,ГБ,Тэйсайд
Минданао,РП,Филиппины
Вити Леву,ФСО,Фиджи
Тонгатапу,К,Тонга
Самос,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Хонсю,J,Киото
Стромболи,I,Калабрия
Сент-Томас,ВИРГ,Виргинские острова
Шьермониког,Нл,Фризленд
Великобритании,ГБ,Линкольншир
Испаньола,ДОМ,Доминиканская Республика
Гвадалканал,SLB,Соломоновы Острова
Сент-Мартин,,Нидерландские Антильские острова
Тайвань,КР,Тайвань
Маджуро,МГ,Маршалловы Острова
Италия,IRL,Италия
Изабель,ЕС,Эквадор
Харк,IR,Фарс
Кюсю,J,Кагосима
Скай,ГБ,Нагорья
Маллорка,E,Балеарские острова
Великобритании,ГБ,Кембриджшир
Хонсю,J,Мие
Бали,РИ,Индонезия
Остров Кангару,AUS,Южная Австралия
Великобритании,ГБ,Пемброкшир
Батам,РИ,Индонезия
Лансароте,E,Канарские острова
Родос,ГР,Звук Айяон
Великобритании,ГБ,Дурхем
Южное Уист,ГБ,Внешние гебриды
Юра,ГБ,Стратклид
