lake,country,province
Лаго Трасимено,I,Тоскана
Озеро Кебан,ТR,Малатья
Озеро Женезарет,СИР,Сирия
Озеро Чилва,МПК,Ньяса
Озеро Туркана,ЭАК,Восточная
Каспийское море,IR,Гилан
Ozero Balchash,KAZ,Тальдюкорган
Озеро Танганджика,ЕАТ,Кигома
Озеро Тана,ЭТО,Эфиопия
&lt; &lt; Полиция &gt; &gt;,I,Венето
Чадское озеро,ВАН,Нигерия
Каллавеси,SF,Куопио
Озеро Эри,США,Огайо
Соль &lt; &lt; Этоша &gt; &gt;,ДН,Намибия
Чадское озеро,TCH,Чад
Арресо,ДК,Дания
Озеро Виктория,ЕАТ,Кагера
Лоп Нор,ТДж,Синьцзян Уйгур
Озеро Эри,США,Нью-Йорк
Озеро Мид,США,Аризона
Ozero Chanka,ТДж,Хейлонгцзян
Озеро Преспа,AL,Австралия
Озеро Эри,США,Мичиган
Ozero Aral,KAZ,Кызылорда
Балатон,Н,Сомоги
Маеларен,И,Вазманленд
Озеро Гурон,США,Мичиган
Озеро Ван,ТR,Ван
Цинхайское озеро,ТДж,Цинхай
Озеро Босумтви,GH,Гана
Валенерн,И,Вармленд
Лох-Ломонд,ГБ,Нагорья
Верхнее озеро,США,Мичиган
Франклин Д. Рузвельтское озеро,США,Вашингтон
Озеро Титикака,БОЛ,Боливия
Мертвое море,Ил,Южное
Озеро Мид,США,Невада
Веттерн,И,Остерготленд
Озеро Маниту,КН,Онтарио
Лаго Маггиоре,CH,TI
Балатон,Н,Веспрем
Ozero Chanka,Р,Приморский крей
Озеро Танганджика,ЗРЕ,Шаба/Катанга
Барьер &lt; &lt; Мбакау &gt; &gt;,КАМ,Адамауа
Мертвое море,ЗАХОД,Западный берег
Озеро Иразу,ЧР,Картаго
озеро Никарагуа,ЧР,Гуанакаст
Озеро Пауэлл,США,Юта
Озеро Туркана,ЭАК,Лифтовая долина
Озеро Абайя,ЭТО,Эфиопия
Оулуярви,SF,Оулу
Кентуккиское озеро,США,Теннесси
Озеро Виктория,ЕАТ,Мара
Озеро Нипигон,КН,Онтарио
Цюрихсэ,CH,SZ
Ozero Balchash,KAZ,Жамбил
Озеро Кебан,ТR,Тунсели
Озеро Танганджика,ЕАТ,Мбея
Маеларен,И,Уппсала
Ozero Tschany,Р,Новосибирская область
Озеро Танганджика,Z,Северный
Озеро Киога,ЕАС,Уганда
Валенерн,И,Skaraborg
Озеро Шампанское,США,Вермонт
Салар де Уюни,БОЛ,Боливия
Брайенцерзе,CH,БУДЬ
Озеро Маракайбо,YV,Трухильо
Озеро Мичиган,США,Висконсин
Vierwaldstattersee,CH,НО
Цюрихсэ,CH,GL
Озеро Мичиган,США,Мичиган
Озеро Форт-Пек,США,Монтана
Каспийское море,Р,Республика Калмикия
Лак Леман,CH,ГЭ
Озеро Тахо,США,Калифорния
Крейтерское озеро Ликанкабур,БОЛ,Боливия
Ozero Ladoga,Р,Респондент Карелии
Озеро Оахе,США,Южная Дакота
Саймаа,SF,Микели
Озеро Чикамауга,США,Теннесси
Озеро Чилва,МВт,Малави
озеро Сакакавеа,США,Монтана
Озеро Пауэлл,США,Аризона
Чимси,D,Байерн
Маеларен,И,Стокгольм
Кентуккиское озеро,США,Кентукки
Каспийское море,Р,Республика Дагестан
Озеро Сесе Секо/Альбертзе,ЕАС,Уганда
Озеро Преспа,ГР,Дхитики Македония
Хамун и Джаз Мурьян,IR,Систан и Белучестан
Сильвян,И,Даларна
Озеро Танганджика,ЕАТ,Табора
Цюрихсэ,CH,ZH
Озеро Охрид,AL,Австралия
Веттерн,И,Джонкопинг
Каспийское море,ТМ,Балканские острова
Озеро Охрид,MK,Чешская Республика
Ozero Aral,Юзеф,Каракальпогистон
Озеро Эри,КН,Онтарио
Жуй Бахир,ЭАК,Восточная
Озеро Аббе,ДСО,Джибути
Каспийское море,Р,Астраханская область
Озеро Сесе Секо/Альбертзе,ЗРЕ,Верхний Заир
Лак Леман,CH,VS
Озеро Шампанское,США,Нью-Йорк
Нойсидлерсе,A,Бургенланд
Озеро Аббе,ЭТО,Эфиопия
Лак Леман,F,Рон-Алпес
Атлинское озеро,КН,Британская Колумбия
Ozero Baykal,Р,Республика Бурьятия
Озеро Малави,ЕАТ,Рувума
Озеро Манагуа,НИК,Никарагуа
