name,mountains,height,type,longitude,latitude
Пик Ленина,Памир,7134.0,,72.55,39.2
Невадо дель Руис,Анды,5389.0,вулкан,-75.3,4.9
Гальдхеппиг,,2469.0,,8.0,61.4
Mt Fairweather,Диапазон Элайаса,4663.0,,-137.5,58.9
Невадо дель Уила,Анды,5750.0,вулкан,-76.0,2.9
Уиллер Пик,Скалистые горы,4011.0,,-105.4,36.55
Ринджани,,3726.0,вулкан,116.5,-8.4
Рувензори,Восточноафриканский хребет,5109.0,,29.9,0.4
Портефжаэльен,,2021.0,,17.4,67.1
Гилуве,,4368.0,вулкан,143.9,-6.05
Пико Боливар,Анды,4981.0,,-71.0,8.6
Демирказик,Таурус,3756.0,,35.2,37.8
Везув,,1281.0,вулкан,14.4,40.8
Кебнекайз,,2114.0,,18.3,67.5
Додабетта,Западные Гаты,2636.0,,76.7,11.4
Короли пик,Скалистые горы,4123.0,,-110.4,40.5
Аннапурна,Гималаи,8091.0,,83.8,28.6
Мт Логан,Диапазон Элайаса,5959.0,,-140.4,60.6
Хекла,,1491.0,вулкан,-19.7,64.0
Пико де Сан-Томе,,2024.0,вулканическое,6.6,0.2
Мт Сент-Элиас,Диапазон Элайаса,5489.0,,-140.9,60.3
Гваннадальшнюкур,,2110.0,вулканическое,-16.7,64.1
Mt. Balbi,,2715.0,вулканическое,155.0,-5.9
Lhotsse,Гималаи,8516.0,,86.9,28.0
Нанга Парбат,Каракорум,8125.0,,74.6,35.2
Граница,Сьерра-Невада Калифорния,4006.0,,-118.3,37.9
Мт Реддюйм,Алеутский диапазон,3108.0,вулкан,-152.75,60.5
Мт МакКинли,Диапазон Аляски,6193.0,,-151.0,63.1
Голубая гора,,2256.0,,-76.4,18.1
Вильгельм,,4509.0,,145.0,-5.8
Жостедальсбре,,2083.0,,5.5,61.4
Мауна Луа,Гавайи,4170.0,вулкан,-155.6,19.5
Невадо де Колима,Кордильера Вулканика,4330.0,вулкан,-104.0,20.0
Шишапангама,Гималаи,8027.0,,85.8,28.55
Мантальингаджан,,2085.0,вулканическое,118.4,9.7
Финстераархорн,Альпы,4274.0,,8.1,46.5
Фудзисан,,3776.0,вулкан,139.0,35.0
Торр де Эстрела,Центральный Кордильера,1993.0,,-7.6,40.3
Зард Кух,Загрос,4550.0,,50.1,32.35
Иллюминатор,Кордильера реальность,6368.0,Гранит,-68.5,-15.8
Hotaka-Dake,,3190.0,вулкан,138.0,36.0
Пико Дуарти,,3098.0,,-71.3,18.3
Г-н Бабель,,952.0,,-68.7,51.45
Tarrekaise,,1850.0,,17.3,67.0
Кинабалу,,4101.0,Гранит,116.5,6.1
Бьелуха,Алтай,4506.0,,86.4,49.48
Тупангато,Анды,6550.0,вулкан,-69.87,-33.35
Mt Hood,Диапазон каскадов,3424.0,вулкан,-121.5,45.2
Клингонские куполы,Аппапалачен,2025.0,,-83.2,35.3
Бабушка Сассо,Апеннин,2912.0,,13.55,42.5
Этна,,3323.0,вулкан,15.0,37.7
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Элгон,Восточноафриканский хребет,4321.0,вулканическое,34.55,1.1
Ллульяльяко,Анды,6739.0,вулкан,-68.5,-24.7
Piton des Neiges,,3069.0,вулканическое,55.5,-21.1
Герлаховский Стит,Бескиды,2655.0,,20.1,49.2
Эльбрус,Каукасус,5642.0,вулканическое,42.26,43.21
Пик Карл-Маркс,Памир,6726.0,,71.3,38.0
Кракатау,,813.0,вулкан,105.4,-6.1
Мт Митчелл,Аппапалачен,2037.0,,-82.1,35.4
Альпамайо,Кордильера Бланка,5947.0,,-77.7,-8.9
Пайки,Скалистые горы,4302.0,,-105.0,38.8
Джабал Марра,Дарфур,3088.0,вулканическое,24.6,13.0
Кэткин Пик,Дракенсберг,3181.0,,29.35,-29.1
Гран-Парадисо,Альпы,4061.0,,7.25,45.5
Кеня,Восточноафриканский хребет,5199.0,вулканическое,37.3,0.15
Г-н Один,Пенни Хайлендс,2147.0,,-65.6,66.55
Диаблотины морна,,1447.0,вулкан,-61.4,15.5
Кайляш,&lt; &lt; Трансимальайя &gt; &gt;,6714.0,,81.3,31.05
