name,code,capital,province,area,population
Соединенные Штаты,США,Вашингтон,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,9372610.0,266476278
Казахстан,KAZ,Алматы,Алма-Ата (муниципалитет),2717300.0,16916463
Бермудские острова,БЕРМ,Гамильтон,Бермудские острова,53.3,67837
Монако,МК,Монако,Монако,1.9,31719
Тринидад и Тобаго,ТТ,Порт-оф-Спейна,Тринидад и Тобаго,5130.0,1272385
Люксембург,L,Люксембург,Люксембург,2586.0,415870
Папуа-Новая Гвинея,ПНГ,Порт-Морсби,Папуа-Новая Гвинея,461690.0,4394537
Кот-д &apos; Ивуар,CI,Ямусукро,Кот-д &apos; Ивуар,322460.0,14762445
Маршалловы Острова,МГ,Маджуро,Маршалловы Острова,181.3,58363
Нигер,РН,Ниамей,Нигер,1267000.0,9113001
Бахрейн,БРИН,Манама,Бахрейн,620.0,590042
Эфиопия,ЭТО,Аддис-Абеба,Эфиопия,1127130.0,57171662
Кыргызстан,KGZ,Бишкек,Кыргызстан,198500.0,4529648
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Чили,RCH,Сантьяго,Чили,756950.0,14333258
Судан,СУД,Хартум,Аль-Хартум,2505810.0,31547543
Лаос,LAO,Вьентьян,Лаос,236800.0,4975772
Сент-Китс и Невис,KN,Бастер,Сент-Китс и Невис,269.0,41369
Гернси,ГБГ,Порт Святого Петра,Гернси,194.0,62920
Дания,ДК,Копенгаген,Дания,43070.0,5249632
Замбия,Z,Лусака,Лусака,752610.0,9159072
Украина,UA,Киев,Киевска,603700.0,50864009
Свальбард,SVAX,Длинный год,Свальбард,62049.0,2116
Сальвадор,ES,Сан-Сальвадор,Сальвадор,21040.0,5828987
Бразилия,КР,Бразилиа,Федеральный департамент,8511960.0,162661214
Тимор-Лешти,ТЛ,Дили,Тимор-Лешти,15007.0,1131612
Нидерланды,Нл,Амстердам,Норд Холланд,37330.0,15568034
Мартиника,МАРТ,Фор-де-Франция,Мартиника,1128.0,399151
Сент-Винсент и Гренадины,WV,Кингстаун,Сент-Винсент и Гренадины,389.0,118344
Кения,ЭАК,Найроби,Найроби,582650.0,28176686
Лихтенштейн,ФЛ,Вадуз,Лихтенштейн,160.0,31122
Палау,ПАЛ,Мелекок,Палау,458.0,16952
Аргентина,РЭ,Буэнос-Айрес,Федеральный департамент,2766890.0,34672997
Чад,TCH,Нджамена,Чад,1284000.0,6976845
Таджикистан,TAD,Душанбе,Душанбе (шум),143100.0,5916373
Сент-Пьер и Микелон,СПМИ,Сент-Пьер,Сент-Пьер и Микелон,242.0,6809
Буркина-Фасо,BF,Уагадугу,Буркина-Фасо,274200.0,10623323
Норвегия,Н,Осло,Осло,324220.0,4383807
Гвинея-Бисау,ГНБ,Бисау,Гвинея-Бисау,36120.0,1151330
Бурунди,БИ,Бужумбура,Бурунди,27830.0,5943057
Сент-Люсия,WL,Кастри,Сент-Люсия,620.0,157862
Малайзия,ТЗА,Куала-Лумпур,Федералы Куала-Лумпура,329750.0,19962893
Литва,ЭВ,Таллинн,Литва,45100.0,1459428
Соединенное Королевство,ГБ,Лондон,Большой Лондон,244820.0,58489975
Марокко,МЭТ,Рабат,Марокко,446550.0,29779156
Непал,NEP,Катманду,Непал,140800.0,22094033
Гуам,ГУАМ,Агана,Гуам,541.3,178430
Хорватия,HR,Загреб,Хорватия,56538.0,5004112
Беларусь,Клянусь!,Минск,Беларусь,207600.0,10415973
Гвинея,RG,Конакри,Гвинея,245860.0,7411981
Венгрия,Н,Будапешт,Будапешт (муниципалитет),93030.0,10002541
Фарерские острова,FARX,Торшавн,Фарерские острова,1400.0,43857
Северная Корея,Норк,Пхеньян,Северная Корея,120540.0,23904124
Россия,Р,Москва,Москва,17075200.0,148178487
Алжир,DZ,Алгье,Алжир,2381740.0,29183032
Катар,Q,Доха,Катар,11000.0,547761
Италия,IRL,Дублин,Италия,70280.0,3566833
Виргинские острова,ВИРГ,Шарлотта Амали,Виргинские острова,352.0,97120
Гамбия,ВАГ,Банжул,Гамбия,11300.0,1204984
Косово,KOS,Приштина,Косово,10887.0,1804838
Кирибати,КИР,Тарава,Кирибати,717.0,80919
Вьетнам,VN,Ханой,Вьетнам,329560.0,73976973
Тувалу,ТВЧ,Фунафути,Тувалу,26.0,10146
Перу,ПЭ,Лима,Лима,1285220.0,24523408
Мальта,М,Валлетта,Мальта,320.0,375576
Гваделупа,ГРАД,Басс-Терре,Гваделупа,1780.0,407768
Индией,СИН,Дели,Дели,3287590.0,952107694
Словакия,SK,Братислава,Словакия,48845.0,5374362
Суринам,МСП,Парамарибо,Суринам,163270.0,436418
Швейцария,CH,Берн,БУДЬ,41290.0,7207060
Американское Самоа,АМСА,Паго-Паго,Американское Самоа,199.0,65628
Майотта,Мэйо,Мамуцу,Майотта,374.0,223765
Португалия,Р,Лиссабон,Лиссабон,92080.0,9865114
Афганистан,AFG,Кабул,Афганистан,647500.0,22664136
Джибути,ДСО,Джибути,Джибути,22000.0,427642
Заир,ЗРЕ,Киншаса,Киншаса,2345410.0,46498539
Гренландия,ГРОКС,Нуук,Гренландия,2175600.0,58203
Саудовская Аравия,С.А.,Эр-Рияд,Саудовская Аравия,1960580.0,19409058
Свазиленд,УР,Мбабан,Свазиленд,17360.0,998730
Новая Каледония,НКА,Нумеа,Новая Каледония,19060.0,227436
Соломоновы Острова,SLB,Хониара,Соломоновы Острова,28450.0,412902
Бангладеш,БД,Дакка,Бангладеш,144000.0,123062800
Аруба,ARU,Оранжестад,Аруба,193.0,103065
Бельгия,B,Брюссель,Брабант,30510.0,10170241
