name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Вейксель,,,Балтийское море,1047.0,19.01,49.61,Бескиды,1100.0,18.95,54.36
Люкни,Фими,,,900.0,24.5,-6.8,,,16.9,3.0
Гётаэльв,,,Каттегат,93.0,12.34,58.4,,44.0,11.9,57.7
Волга,,Каспийское море,,3531.0,33.0,57.0,Уолдай-Хиллз,,47.85,46.7333
Клараэльв,,Валенерн,,460.0,11.9,62.2,,662.0,13.5,59.4
Таджо,,,Атлантический океан,1007.0,-1.7,40.32,Кордильера Иберика,1.58,-9.3,38.7
Рио-Лерма,,Лаго-де-Чапала,Тихоокеанский океан,965.0,-99.0,19.0,,,-105.6,21.5
Собачья,Белый Нил,,,740.0,,,,,31.65,9.63
Арканзас,Миссисипи,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Парагвай,Парана,,,2549.0,-56.5,-14.5,,,-58.4,-27.3
Оранье,,,Атлантический океан,2160.0,28.5,-28.5,Дракенсберг,1800.0,16.4,-28.55
Руки,Заир,,,130.0,19.0,-0.3,,,18.0,0.0
Кимижоки,,,Балтийское море,203.0,25.4,61.5,,78.0,26.5,60.3
Ориноко,,,Атлантический океан,2140.0,-63.5,2.0,Сьерра-Парима,,-62.0,9.0
Бенуэ,Нигер,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Вааг,Донау,,,403.0,19.81,49.02,Бескиды,664.0,18.15,47.75
Акагера,,Озеро Виктория,,275.0,29.3,-2.5,Восточноафриканский хребет,2700.0,33.0,-1.0
Евфрат,&lt; &lt; Шатт аль-Араб &gt; &gt;,,,2736.0,38.75,38.8,,,47.44,31.0
Чир,Замбези,,,402.0,35.2,-14.2,Восточноафриканский хребет,474.0,35.5,-18.0
Гвадалкивир,,,Атлантический океан,657.0,-3.0,37.8,Кордильера Бетика,1400.0,-6.35,36.8
Фульда,Уэсер,,,221.0,9.9,50.5,Рон,850.0,9.65,51.4
Река Аллегени,Ривер Огайо,,,523.0,-77.9,41.9,Аппалачские горы,759.0,-80.0,40.42
Шилка,Амур,,,560.0,111.0,49.8,,,121.48,53.33
