island,sea,lake,river
Батам,Южно-Китайское море,,
Большой Кайман,Карибское море,,
Остров Виктория,Северный Ледовитый океан,,
Остров Св. Елены,Атлантический океан,,
Сент-Люсия,Атлантический океан,,
Остров Уайт,Канал,,
Монтсеррат,Карибское море,,
Мальта,Средиземное море,,
Сент-Пьер,Атлантический океан,,
Аруба,Карибское море,,
Борнео,Море Сулавеси,,
Остров Санта-Роза,Тихоокеанский океан,,
Гран-Терре,Карибское море,,
Большие Бермудские острова,Атлантический океан,,
Свальбард,Норвежское море,,
Фехмарн,Северное море,,
Айла да Ометепе,,озеро Никарагуа,
Филикуди,Средиземное море,,
Антигуа,Карибское море,,
Сантьяго,Атлантический океан,,
Сент-Мартин,Карибское море,,
Палаван,Море Сулавеси,,
Лефкас,Средиземное море,,
Фонгафейл,Тихоокеанский океан,,
Чиос,Средиземное море,,
Стромболи,Средиземное море,,
Мадейра,Атлантический океан,,
Остеринсел,Тихоокеанский океан,,
Кюсю,Восточно-Китайское море,,
Молокай,Тихоокеанский океан,,
Невис,Атлантический океан,,
Южный Андаман,Бенгальский залив,,
Сокотра,Аденский залив,,
Мартиника,Атлантический океан,,
Гренландия,Атлантический океан,,
Доминика,Карибское море,,
Гуам,Тихоокеанский океан,,
Ньюфаундленд,Атлантический океан,,
Вангерож,Северное море,,
Лампедуза,Средиземное море,,
Вестрей,Северное море,,
Шри-Ланка,Индийский океан,,
Фуэртевентура,Атлантический океан,,
Лузон,Южно-Китайское море,,
Хайнан,Южно-Китайское море,,
Сулавеси,Сундское море,,
Пуэрто-Рико,Карибское море,,
Италия,Норвежское море,,
Руген,Северное море,,
Тобаго,Карибское море,,
Фонгафейл,Тихоокеанский океан,,
Тобаго,Атлантический океан,,
Тутуила,Тихоокеанский океан,,
Терскельное движение,Северное море,,
Мужской,Индийский океан,,
Куракао,Карибское море,,
Лолланд,Балтийское море,,
Тимор,Сундское море,,
Борнео,Сундское море,,
Площадь,Каттегат,,
Индонезия,Атлантический океан,,
Джерси,Канал,,
Грязь,Атлантический океан,,
Иерро,Атлантический океан,,
Липари,Средиземное море,,
Паней,Море Сулавеси,,
Изабель,Тихоокеанский океан,,
Филикуди,Средиземное море,,
Мальта,Средиземное море,,
Парамушчир,Тихоокеанский океан,,
Тонгатапу,Тихоокеанский океан,,
Лефкас,Средиземное море,,
Сулавеси,Море Сулавеси,,
Готландия,Балтийское море,,
Невис,Карибское море,,
Гозо,Средиземное море,,
Кюсю,Тихоокеанский океан,,
Остров Рене Левассеур,,Озеро Маникуаган,
Князь острова Уэльс,Северный Ледовитый океан,,
Фехмарн,Северное море,,
Минданао,Тихоокеанский океан,,
Воссоединение,Индийский океан,,
Бонайре,Карибское море,,
Флорес,Атлантический океан,,
Великобритании,Атлантический океан,,
Норт-Уист,Атлантический океан,,
Великобритании,Ирландское море,,
Ланай,Тихоокеанский океан,,
Тексель,Северное море,,
Грасиоза,Атлантический океан,,
Сент-Томас,Атлантический океан,,
Сашалин,Японское море,,
Невис,Атлантический океан,,
Остров Котельни,Северный Ледовитый океан,,
Церам,Сундское море,,
Новое Провидение,Атлантический океан,,
Великобритании,Северное море,,
Форментера,Средиземное море,,
Хоккайдо,Охотское море,,
Барра,Атлантический океан,,
Хонсю,Японское море,,
Питкэрн,Тихоокеанский океан,,
Norderney,Северное море,,
Пулау Панжанг,Индийский океан,,
Куба,Карибское море,,
Шри-Ланка,Бенгальский залив,,
Бенбекула,Атлантический океан,,
Окинава,Восточно-Китайское море,,
Аликуди,Средиземное море,,
Лузон,Тихоокеанский океан,,
Ниихау,Тихоокеанский океан,,
Харк,Арабское море,,
Льюис и Харрис,Атлантический океан,,
Гелголенд,Северное море,,
Науру,Тихоокеанский океан,,
Свальбард,Норвежское море,,
Бишоп Рок,Атлантический океан,,
Фого,Атлантический океан,,
Мах,Индийский океан,,
Гран-Терре,Карибское море,,
