country,target
ТТ,Кристиан
МЭТ,нехристианские
F,Кристиан
I,Кристиан
МЕКС,Кристиан
И,Кристиан
GQ,Кристиан
КОК,Кристиан
L,Кристиан
ХОНКС,Кристиан
FARX,Кристиан
WD,Кристиан
ГР,Кристиан
БРУ,нехристианские
М,Кристиан
НЬЮ,Кристиан
RSA,нехристианские
AFG,нехристианские
AZ,нехристианские
ТА,нехристианские
AL,нехристианские
AXA,Кристиан
A,Кристиан
НОРФ,Кристиан
BF,нехристианские
РОУ,нехристианские
AUS,Кристиан
Q,нехристианские
TN,нехристианские
MS,нехристианские
ВРЕМЯ,Кристиан
ТУКА,Кристиан
МВ,нехристианские
SF,Кристиан
И ДОЛЖНОСТНЫЕ ЛИЦА,Кристиан
Н,Кристиан
KAZ,нехристианские
РВА,Кристиан
ФПОЛ,Кристиан
НКА,Кристиан
УРБ,Кристиан
Ру,Кристиан
МВт,Кристиан
КИР,Кристиан
РЭ,Кристиан
ЛС,Кристиан
ТМ,нехристианские
ДЖА,Кристиан
GH,нехристианские
SY,Кристиан
СИР,нехристианские
ДК,Кристиан
СПМИ,Кристиан
RCH,Кристиан
РИ,нехристианские
ДСО,нехристианские
B,Кристиан
CV,Кристиан
МПГ,нехристианские
ТЛ,Кристиан
Р,Кристиан
ДОМ,Кристиан
V,Кристиан
JOR,нехристианские
ЕС,Кристиан
