playerid,award,year,lgid,note,pos
abdulka01,All-Defensive Second Team,1969,NBA,,
abdulka01,All-NBA Second Team,1969,NBA,,C
abdulka01,Rookie of the Year,1969,NBA,,
abdulka01,All-Defensive Second Team,1970,NBA,,
abdulka01,All-NBA First Team,1970,NBA,,C
abdulka01,Finals MVP,1970,NBA,,
abdulka01,Most Valuable Player,1970,NBA,,
abdulka01,All-NBA First Team,1971,NBA,,C
abdulka01,Most Valuable Player,1971,NBA,,
abdulka01,All-NBA First Team,1972,NBA,,C
abdulka01,All-Defensive First Team,1973,NBA,,
abdulka01,All-NBA First Team,1973,NBA,,C
abdulka01,Most Valuable Player,1973,NBA,,
abdulka01,All-Defensive First Team,1974,NBA,,
abdulka01,All-Defensive Second Team,1975,NBA,,
abdulka01,All-NBA First Team,1975,NBA,,C
abdulka01,Most Valuable Player,1975,NBA,,
abdulka01,All-Defensive Second Team,1976,NBA,,
abdulka01,All-NBA First Team,1976,NBA,,C
abdulka01,Most Valuable Player,1976,NBA,,
abdulka01,All-Defensive Second Team,1977,NBA,tie,
abdulka01,All-NBA Second Team,1977,NBA,,C
abdulka01,All-Defensive First Team,1978,NBA,,
abdulka01,All-NBA Second Team,1978,NBA,,C
abdulka01,All-Defensive First Team,1979,NBA,,
abdulka01,All-NBA First Team,1979,NBA,,C
abdulka01,Most Valuable Player,1979,NBA,,
abdulka01,All-Defensive First Team,1980,NBA,,
abdulka01,All-NBA First Team,1980,NBA,,C
abdulka01,All-NBA Second Team,1982,NBA,,C
abdulka01,All-Defensive Second Team,1983,NBA,,
abdulka01,All-NBA First Team,1983,NBA,,C
abdulka01,All-NBA Second Team,1984,NBA,,C
abdulka01,Finals MVP,1984,NBA,,
abdulka01,All-NBA First Team,1985,NBA,,C
abdulma02,Most Improved Player,1992,NBA,,
adamsal01,Rookie of the Year,1975,NBA,,
aingeda01,Executive of the Year,2007,NBA,,
aldrila01,All-NBA Third Team,2010,NBA,,F
allenra02,All-NBA Third Team,2000,NBA,,G
allenra02,All-NBA Second Team,2004,NBA,,G
allento01,All-Defensive Second Team,2010,NBA,,G
allento01,All-Defensive First Team,2011,NBA,,G
anderry01,Most Improved Player,2011,NBA,,
anthoca01,All-NBA Third Team,2005,NBA,,F
anthoca01,All-NBA Third Team,2006,NBA,,F
anthoca01,All-NBA Third Team,2008,NBA,,F
anthoca01,All-NBA Second Team,2009,NBA,,F
anthoca01,All-NBA Third Team,2011,NBA,,F
archina01,All-NBA Second Team,1971,NBA,,G
archina01,All-NBA First Team,1972,NBA,,G
archina01,All-NBA First Team,1974,NBA,,G
archina01,All-NBA First Team,1975,NBA,,G
archina01,All-NBA Second Team,1980,NBA,,G
arenagi01,Most Improved Player,2002,NBA,,
arenagi01,All-NBA Third Team,2004,NBA,,G
arenagi01,All-NBA Third Team,2005,NBA,,G
arenagi01,All-NBA Second Team,2006,NBA,,G
arizipa01,All-NBA First Team,1951,NBA,,
arizipa01,All-NBA First Team,1955,NBA,,F
arizipa01,All-NBA First Team,1956,NBA,,F
arizipa01,All-NBA Second Team,1958,NBA,,F
armstda01,Most Improved Player,1998,NBA,,
armstda01,Sixth Man of the Year,1998,NBA,,
artesro01,All-Defensive Second Team,2002,NBA,,
artesro01,All-Defensive First Team,2003,NBA,,
artesro01,All-NBA Third Team,2003,NBA,,F
artesro01,Defensive Player of the Year,2003,NBA,,
artesro01,All-Defensive First Team,2005,NBA,,
artesro01,All-Defensive Second Team,2008,NBA,,
artesro01,J. Walter Kennedy Citizenship Award,2010,NBA,,
augusdj01,All-Rookie Second Team,2008,NBA,tie,
austiis01,Most Improved Player,1996,NBA,,
bakervi01,All-NBA Third Team,1996,NBA,,F
bakervi01,All-NBA Second Team,1997,NBA,,F
barbole01,Sixth Man of the Year,2006,NBA,,
barklch01,All-NBA Second Team,1985,NBA,,F
barklch01,All-NBA Second Team,1986,NBA,,F
barklch01,All-NBA First Team,1987,NBA,,F
barklch01,All-NBA First Team,1988,NBA,,F
barklch01,All-NBA First Team,1989,NBA,,F
barklch01,All-NBA First Team,1990,NBA,,F
barklch01,All-NBA Second Team,1991,NBA,,F
barklch01,All-NBA First Team,1992,NBA,,F
barklch01,Most Valuable Player,1992,NBA,,
barklch01,All-NBA Second Team,1993,NBA,,F
barklch01,All-NBA Second Team,1994,NBA,,F
barklch01,All-NBA Third Team,1995,NBA,,F
barnema01,All-ABA Second Team,1974,ABA,,F
barnema01,Rookie of the Year,1974,ABA,,
