year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1946,NBA,BOS,BOS,,ED,5,0,,Boston Celtics,1397,5133,811,1375,0,0,0,0,0,470,1202,0,0,0,3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3898,0,0,14,16,8,22,0,0,0,0,11,19,0,22,38,60,14500.0,Boston Garden,32767,BOS
1946,NBA,NYK,NYK,,ED,3,0,SF,New York Knicks,1465,5255,951,1438,0,0,0,0,0,457,1218,0,0,0,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842,0,0,18,12,15,15,0,0,0,0,13,17,0,33,27,60,14575.0,Madison Square Garden (III),32767,NYK
1947,NBA,BOS,BOS,,ED,3,0,R1,Boston Celtics,1241,4323,821,1246,0,0,0,0,0,364,1065,0,0,0,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3491,0,0,11,13,9,15,0,0,0,0,11,13,0,20,28,48,11645.0,Boston Garden,32767,BOS
1947,NBA,NYK,NYK,,ED,2,0,R1,New York Knicks,1355,4724,868,1291,0,0,0,0,0,376,1076,0,0,0,3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3427,0,0,12,12,14,10,0,0,0,0,18,6,0,26,22,48,11545.0,Madison Square Garden (III),32767,NYK
1948,NBA,BOS,BOS,,ED,5,0,,Boston Celtics,1706,5483,1181,1856,0,0,0,0,0,1135,1382,0,0,0,4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4768,0,0,17,12,7,20,1,3,0,0,12,18,0,25,35,60,14600.0,Boston Garden,32767,BOS
1948,NBA,NYK,NYK,,ED,2,0,DF,New York Knicks,1688,5237,1376,1959,0,0,0,0,0,1017,1559,0,0,0,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4663,0,0,18,11,12,17,2,0,0,0,17,13,0,32,28,60,14500.0,Madison Square Garden (III),0,NYK
1949,NBA,BOS,BOS,,ED,6,0,,Boston Celtics,1945,5756,1530,2163,0,0,0,0,0,1473,1644,0,0,0,5420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5590,0,0,12,14,5,28,5,4,0,0,11,15,0,22,46,68,16570.0,Boston Garden,32767,BOS
1949,NBA,NYK,NYK,,ED,2,0,DF,New York Knicks,1889,5351,1710,2404,0,0,0,0,0,1308,1718,0,0,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5344,0,0,19,10,18,16,3,2,0,0,20,6,0,40,28,68,16645.0,Madison Square Garden (III),32767,NYK
1950,NBA,BOS,BOS,,ED,2,0,DS,Boston Celtics,2065,5607,1751,2415,0,0,0,0,3499,1579,1881,0,0,0,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5899,210,0,26,6,9,22,4,2,0,0,21,19,0,39,30,69,16885.0,Boston Garden,32767,BOS
1950,NBA,NYK,NYK,,ED,3,0,F,New York Knicks,2037,5380,1592,2231,0,0,0,0,3421,1551,1810,0,0,0,5666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5639,284,0,22,5,10,25,4,0,0,0,21,15,0,36,30,66,16315.0,Madison Square Garden (III),32767,NYK
1951,NBA,BOS,BOS,,ED,2,0,DS,Boston Celtics,2131,5510,1765,2406,0,0,0,0,3750,1606,1734,0,0,0,6027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5758,422,0,22,7,10,19,7,1,0,0,22,14,0,39,27,66,15990.0,Boston Garden,32767,BOS
1951,NBA,NYK,NYK,,ED,3,0,F,New York Knicks,2022,5282,1565,2185,0,0,0,0,3834,1567,1770,0,0,0,5609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5560,494,0,21,4,12,22,4,3,0,0,23,13,0,37,29,66,15890.0,Madison Square Garden (III),32767,NYK
1952,NBA,BOS,BOS,,ED,3,0,DF,Boston Celtics,2177,5555,1904,2617,0,0,0,0,3865,1666,1911,0,0,0,6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6090,387,0,21,3,11,18,14,4,0,0,28,13,0,46,25,71,17190.0,Boston Garden,32767,BOS
1952,NBA,NYK,NYK,,ED,1,0,F,New York Knicks,2059,5339,1867,2652,0,0,0,0,4007,1575,2053,0,0,0,5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5619,466,0,21,4,15,14,11,5,0,0,30,10,0,47,23,70,17100.0,Madison Square Garden (III),32767,NYK
1953,NBA,BOS,BOS,,ED,2,0,DF,Boston Celtics,2232,5580,1851,2550,0,0,0,0,3867,1773,1969,0,0,0,6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6147,307,0,16,6,11,19,15,5,0,0,25,15,0,42,30,72,17630.0,Boston Garden,32767,BOS
1953,NBA,NYK,NYK,,ED,1,0,DR,New York Knicks,1934,5177,1820,2525,0,0,0,0,3830,1469,1832,0,0,0,5688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5697,304,0,18,8,15,13,11,7,0,0,24,16,0,44,28,72,17505.0,Madison Square Garden (III),32767,NYK
1954,NBA,BOS,BOS,,ED,3,0,DF,Boston Celtics,2604,6533,2097,2704,0,0,0,0,4203,1905,1859,0,0,0,7305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7309,318,0,20,5,5,22,11,9,0,0,19,17,0,36,36,72,17355.0,Boston Garden,32767,BOS
1954,NBA,NYK,NYK,,ED,2,0,DS,New York Knicks,2392,6149,1887,2593,0,0,0,0,4379,1744,1587,0,0,0,6671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6665,440,391,17,8,8,19,13,7,0,0,15,21,0,38,34,72,17455.0,Madison Square Garden (III),32767,NYK
1955,NBA,BOS,BOS,,ED,2,0,DS,Boston Celtics,2745,6913,2142,2785,0,0,0,0,4583,1834,1874,0,0,0,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7585,441,0,20,7,12,15,7,11,0,0,18,18,0,39,33,72,17355.0,Boston Garden,32767,BOS
1955,NBA,NYK,NYK,,ED,3,0,DT,New York Knicks,2508,6395,2196,2913,0,0,0,0,4562,1610,1923,0,0,0,7212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7242,562,385,14,14,15,14,6,9,0,0,17,19,0,35,37,72,17630.0,Madison Square Garden (III),32767,NYK
1956,NBA,BOS,BOS,,ED,1,0,NC,Boston Celtics,2808,7326,1983,2644,0,0,0,0,4963,1464,1851,0,0,0,7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7213,385,0,27,4,12,19,5,5,0,0,20,16,0,44,28,72,17380.0,Boston Garden,32767,BOS
1956,NBA,NYK,NYK,,ED,4,0,,New York Knicks,2569,6645,2117,2844,0,0,0,0,4723,1312,1824,0,0,0,7255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7265,539,442,19,12,11,20,6,4,0,0,15,21,0,36,36,72,17405.0,Madison Square Garden (III),32767,NYK
1957,NBA,BOS,BOS,,ED,1,0,F,Boston Celtics,3006,7759,1904,2585,0,0,0,0,5402,1508,1723,0,0,0,7916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7520,578,0,25,4,17,13,7,6,0,0,20,16,0,49,23,72,17305.0,Boston Garden,32767,BOS
1957,NBA,CIN,SAC,,WD,2,0,DS,Cincinnati Royals,2817,7339,1688,2372,0,0,0,0,4959,1578,1835,0,0,0,7322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7420,611,0,17,12,10,19,6,8,0,0,17,19,0,33,39,72,17330.0,Cincinnati Gardens,32767,CIN
1957,NBA,DET,DET,,WD,2,0,DF,Detroit Pistons,2746,7295,2093,2774,0,0,0,0,5168,1264,1807,0,0,0,7585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754,783,0,14,14,13,18,6,7,0,0,18,18,0,33,39,72,17380.0,Detroit Olympia,32767,DET
1957,NBA,NYK,NYK,,ED,4,0,,New York Knicks,2884,7307,2300,3056,0,0,0,0,5385,1359,1865,0,0,0,8068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7981,718,672,16,13,11,19,8,5,0,0,14,22,0,35,37,72,17380.0,Madison Square Garden (III),32767,NYK
1958,NBA,BOS,BOS,,ED,1,0,NC,Boston Celtics,3208,8116,1963,2563,0,0,0,0,5601,1568,1769,0,0,0,8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7912,546,0,26,4,13,15,13,1,0,0,23,13,0,52,20,72,17480.0,Boston Garden,32767,BOS
1958,NBA,CIN,SAC,,WD,4,0,,Cincinnati Royals,2854,7340,1713,2375,0,0,0,0,4887,1369,1855,0,0,0,7421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8060,748,0,9,19,2,25,8,9,0,0,10,26,0,19,53,72,17505.0,Cincinnati Gardens,32767,CIN
1958,NBA,DET,DET,,WD,3,0,DS,Detroit Pistons,2811,7305,1943,2627,0,0,0,0,4860,1317,1881,0,0,0,7565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7657,735,0,13,17,8,20,7,7,0,0,17,19,0,28,44,72,17455.0,Detroit Olympia,32767,DET
1958,NBA,NYK,NYK,,ED,2,0,DS,New York Knicks,2863,7170,2217,2802,0,0,0,0,4091,1383,1899,0,0,0,7943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7925,757,690,21,9,15,15,4,8,0,0,19,17,0,40,32,72,17380.0,Madison Square Garden (III),32767,NYK
1959,NBA,BOS,BOS,,ED,1,0,NC,Boston Celtics,3744,8971,1849,2519,0,0,0,0,6014,1849,1856,0,0,0,9337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8713,649,0,25,2,23,9,11,5,0,0,28,11,0,59,16,75,18075.0,Boston Garden,32767,BOS
1959,NBA,CIN,SAC,,WD,4,0,,Cincinnati Royals,3210,7786,1913,2672,0,0,0,0,5251,1747,2097,0,0,0,8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8807,723,0,9,22,2,20,8,14,0,0,14,25,0,19,56,75,18025.0,Cincinnati Gardens,32767,CIN
1959,NBA,DET,DET,,WD,2,0,DS,Detroit Pistons,3146,7920,2075,2847,0,0,0,0,5491,1472,1983,0,0,0,8367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8624,1003,0,17,14,6,21,7,10,0,0,20,19,0,30,45,75,18175.0,Detroit Olympia,32767,DET
1959,NBA,NYK,NYK,,ED,4,0,,New York Knicks,3429,8153,1942,2539,0,0,0,0,5251,1667,1940,0,0,0,8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8973,699,727,13,18,9,19,5,11,0,0,7,32,0,27,48,75,18025.0,Madison Square Garden (III),32767,NYK
1960,NBA,BOS,BOS,,ED,1,0,NC,Boston Celtics,3699,9295,2062,2804,0,0,0,0,6131,1872,2032,0,0,0,9460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9013,549,0,21,7,24,11,12,4,0,0,28,11,0,57,22,79,19060.0,Boston Garden,32767,BOS
1960,NBA,CIN,SAC,,WD,4,0,,Cincinnati Royals,3626,8281,2060,2761,0,0,0,0,5581,2107,2159,0,0,0,9312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9585,709,0,18,13,8,19,7,14,0,0,16,23,0,33,46,79,19035.0,Cincinnati Gardens,32767,CIN
1960,NBA,DET,DET,,WD,3,0,DS,Detroit Pistons,3481,8357,2408,3240,0,0,0,0,5813,1866,2157,0,0,0,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9558,910,0,20,11,3,19,11,15,0,0,18,21,0,34,45,79,19035.0,Detroit Olympia,32767,DET
1960,NBA,NYK,NYK,,ED,4,0,,New York Knicks,3422,8347,2135,2838,0,0,0,0,5315,1822,2223,0,0,0,8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9486,728,720,10,22,7,25,4,11,0,0,10,29,0,21,58,79,19085.0,Madison Square Garden (III),32767,NYK
1961,NBA,BOS,BOS,,ED,1,0,NC,Boston Celtics,3855,9109,1977,2715,0,0,0,0,6080,2049,1909,0,0,0,9687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8948,754,0,23,5,26,12,11,3,0,0,26,10,0,60,20,80,19275.0,Boston Garden,32767,BOS
1961,NBA,CIN,SAC,,WD,2,0,DS,Cincinnati Royals,3806,8414,2233,2969,0,0,0,0,5665,2154,2081,0,0,0,9845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9704,765,0,18,13,14,16,11,8,0,0,29,17,0,43,37,80,19250.0,Cincinnati Gardens,32767,CIN
1961,NBA,DET,DET,,WD,3,0,DF,Detroit Pistons,3472,8366,2290,3142,0,0,0,0,5823,1723,2040,0,0,0,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9369,871,0,16,14,8,17,13,12,0,0,24,22,0,37,43,80,19250.0,Cobo Arena,32767,DET
1961,NBA,NYK,NYK,,ED,4,0,,New York Knicks,3638,8696,1911,2693,0,0,0,0,5440,1765,2056,0,0,0,9187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9574,803,769,19,14,2,23,8,14,0,0,11,25,0,29,51,80,19250.0,Madison Square Garden (III),32767,NYK
1962,NBA,BOS,BOS,,ED,1,0,NC,Boston Celtics,3746,8779,2012,2777,0,0,0,0,5818,1960,2090,0,0,0,9504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8930,713,0,25,5,21,16,12,1,0,0,25,11,0,58,22,80,19275.0,Boston Garden,32767,BOS
1962,NBA,CIN,SAC,,ED,3,0,DF,Cincinnati Royals,3672,7998,2183,2923,0,0,0,0,5561,1931,2203,0,0,0,9527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9426,651,0,23,10,15,19,4,9,0,0,20,16,0,42,38,80,19325.0,Cincinnati Gardens,32767,CIN
1962,NBA,DET,DET,,WD,3,0,DS,Detroit Pistons,3534,8188,2044,2852,0,0,0,0,5315,1731,2181,0,0,0,9112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9408,790,0,14,16,8,19,12,11,0,0,19,27,0,34,46,80,19300.0,Cobo Arena,32767,DET
1962,NBA,NYK,NYK,,ED,4,0,,New York Knicks,3433,8007,1971,2778,0,0,0,0,4952,1658,2144,0,0,0,8837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9417,754,759,12,22,5,28,4,9,0,0,6,30,0,21,59,80,19300.0,Madison Square Garden (III),32767,NYK
1963,NBA,BAL,WAS,,WD,4,0,,Baltimore Bullets,3456,7862,2036,2958,0,0,0,0,5460,1423,2073,0,0,0,8948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9091,571,0,20,19,8,21,3,9,0,0,16,24,0,31,49,80,19325.0,Baltimore Civic Center,32767,BLT
1963,NBA,BOS,BOS,,ED,1,0,NC,Boston Celtics,3619,8770,1804,2489,0,0,0,0,5736,1760,2125,0,0,0,9042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8410,608,0,26,4,21,17,12,0,0,0,25,11,0,59,21,80,19275.0,Boston Garden,32767,BOS
1963,NBA,CIN,SAC,,ED,2,0,DF,Cincinnati Royals,3516,7761,2146,2828,0,0,0,0,5400,1916,2139,0,0,0,9178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8772,576,0,26,7,18,18,11,0,0,0,27,9,0,55,25,80,19225.0,Cincinnati Gardens,32767,CIN
1963,NBA,DET,DET,,WD,5,0,,Detroit Pistons,3346,7943,1928,2685,0,0,0,0,5145,1633,2235,0,0,0,8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9238,685,0,9,21,6,25,8,11,0,0,13,33,0,23,57,80,19300.0,Cobo Arena,32767,DET
1963,NBA,NYK,NYK,,ED,4,0,,New York Knicks,3512,7888,1952,2852,0,0,0,0,5067,1563,2222,0,0,0,8976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9521,569,629,10,25,8,27,4,6,0,0,7,29,0,22,58,80,19275.0,Madison Square Garden (III),32767,NYK
1963,NBA,PHI,PHI,,ED,3,0,DS,Philadelphia 76ers,3394,8116,2184,2851,0,0,0,0,5132,1643,2251,0,0,0,8972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9323,619,621,18,12,12,22,4,12,0,0,13,23,0,34,46,80,19225.0,Convention Hall,32767,PHI
