name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Детройтская река,,Озеро Эри,,200.0,-82.6,42.1,,176.0,-82.2,43.0
Карасу,,Озеро Кебан,,720.0,41.3,49.9,Курдистан,1950.0,38.75,38.8
Токантинс,,,Атлантический океан,2640.0,-49.0,-16.0,,,-48.0,-0.5
Щилька,Амур,,,560.0,111.0,49.8,,,121.48,53.33
Мур,Дро,,,453.0,13.35,47.13,Альпы,1898.0,16.88,46.3
Куило,Ква,,,970.0,14.7,-11.3,,,17.4,3.3
Ду́блы,Сазан,,,453.0,6.2,46.7,Юра,937.0,5.0,46.9
Бене,Нигер,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Рюсс,Аарэ,Вердальстаттер-Зе,,164.0,8.54,46.56,Альпы,2431.0,8.2371,47.4921
Лимпопо,,,Индийский океан,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Арканзас,Миссисипи,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Умеаэлв,,Сторуман,Балтийское море,470.0,15.0,66.1,,,20.1,63.5
Акагера,,Озеро Виктория,,275.0,29.3,-2.5,Восточноафриканская рифтовая область,2700.0,33.0,-1.0
Нарв,,,Балтийское море,78.0,27.49,58.68,,30.0,28.04,59.46
Дунай,,,Чёрное море,2845.0,8.52,47.95,Чёрный лес,686.0,29.65,45.16
Иртыш,А,,,4248.0,90.0,47.9,Алтае,2930.0,68.93,61.07
Брег,Дунай,,,45.9,8.16,48.1,Чёрный лес,1078.0,8.52,47.95
Саскачеван-ривер,,Озеро Виннипег,,1392.0,-123.0,52.5,,1920.0,-97.97,52.77
Река Мерримак,,,Атлантический океан,177.0,-71.6,43.4,,,-70.8119,42.8194
Чёрный Дрин,Дрин,,,133.0,20.7,41.0,,695.0,20.4,42.1
Вуокса,,Оゼロ Ладога,,162.0,28.75,61.2,,,31.54,60.81
Остердалаельв,Далалев,Сильян,,241.0,12.6,62.2,,,15.1,60.7
Уэлле,Убанги,,,1130.0,30.5,2.0,Восточноафриканская рифтовая область,,22.5,4.0
"Добрый день! Меня зовут Корал, я искусственный интеллект, созданный для того, чтобы помогать людям с переводом текста. Как я могу вам помочь?",Белый Нил,,,740.0,,,,,31.65,9.63
Эннсы,Дунай,,,254.0,13.35,47.33,Альпы,1375.0,14.52,48.24
Лаган,Гломма,Мёса-Си,,322.0,8.45,62.19,,611.0,11.45,61.1
Река Святого Лаврентия,,,Атлантический океан,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Райн,,Боденское озеро,Северное море,1324.0,8.7,46.6,Альпы,2345.0,4.0,51.9
Дрин,,,Средиземное море,152.0,20.4,42.1,,,19.6,41.8
Тигр,Шатт-эль-Араб,,,1900.0,41.0,38.3,Антаурус,,47.44,31.0
Тичино,Поехали!,Озеро Маджоре,,248.0,8.42,46.475,Альпы,2400.0,9.235,45.14
Меконг,,,Южная Китайская бухта,4350.0,94.0,32.5,,5200.0,107.0,9.0
Трюки-Ривер,,Пирамидное озеро,,225.0,-120.0,39.0,,1900.0,-119.43,39.85
Сар,Мёзель,,,227.0,7.15,48.5,Вогезы,640.0,6.6,49.7
Луара,,,Атлантический океан,1013.0,4.22,44.84,Цевенны,1408.0,-2.18,47.27
Морава,Дунай,,,185.0,21.4,43.7,,,21.1,44.6
А,,,Сибирское море,3650.0,85.0,52.43,,162.0,71.35,66.48
Пибор,"Добрый день! Меня зовут Корал, я искусственный интеллект, созданный для того, чтобы помогать людям с переводом текста. Как я могу вам помочь?",,,,,,,,,
Аммер,Изар,Аммерзе,,168.0,11.05,47.57,Альпы,850.0,11.96,48.5
Шари,,Чадское озеро,,1400.0,21.0,8.0,,,14.0,13.2
Здравствуйте,,,Бухта Андаман,2980.0,91.9,32.5,,5450.0,97.5,17.0
Уругвай,,,Атлантический океан,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Аллё,Везер,,,211.0,11.23,52.1,,130.0,9.18,52.94
Ганг,,,Басейн Бенгальского залива,2511.0,79.5,30.5,,,90.0,22.0
