name,depth
Басейн Бенгальского залива,4045.0
Чёрное море,2211.0
Индийский океан,6400.0
Восточное море,2370.0
Моря Азовского,100.0
Арктический океан,5608.0
Море Сулавеси,6218.0
Балтийское море,459.0
Бухта Андаман,3113.0
Средиземное море,5121.0
Ирландское море,272.0
Скегеррак,725.0
Персидский залив,102.0
Японское море,4036.0
Карибское море,7240.0
Южная Китайская бухта,5420.0
Красный океан,2635.0
Гольф Стрейт,5143.0
Сибирское море,540.0
Атлантический океан,9219.0
Бахти Манго,4694.0
Желтое море,200.0
Оманское море,3350.0
Баренцево море,32.0
Средиземное море,7440.0
Гольфстрим,4375.0
Норвежское море,3860.0
Оखотское море,3372.0
Каттегат,94.0
Арабское море,5203.0
Тихоокеанский океан,11034.0
Канал,175.0
Берингово море,4096.0
Малаккийский пролив,104.0
Северное море,200.0
