desert,country,province
Симпсон-десерт,Австралия,Квинсленд
Тане́зруфт,ДЗ,Алжир
Нефуд,СА,Саудовская Аравия
Моаве,США,Невада
Азауд,РН,Нигер
Эрг Чеч,ММ,Мали
Красный центр,Австралия,Северная территория
Танами,Австралия,Северная территория
Великий Эргский регион,ТН,Тунис
Баха-Калифорния-Дезерт,Мексика,Бахо-Калифорния
Стертый Пустыня,Австралия,Новый Южный Уэльс
Сирийская пустыня,ИРК,Ал Анбар
Сирийская пустыня,СА,Саудовская Аравия
Рын,r,Астраханская область
Уст-Урт,Казахстан,Мангышлак
Эрг Ребиана,ЛАР,Ливия
Сирийская пустыня,Сир,Сирия
Великая песчаная пустыня,Австралия,Западная Австралия
Сонора,Мексика,Чихуахуа
Кысылкум,Казахстан,Кызыл-Орда
Даште-Кавир,Я,Семнан
Либийский пустыня,ET,Бени-Суэф
Руб аль-Чали,ОМ,Оман
Кум Тагх,ТЖ,Шэньянь-Уйгурский автономный район
Эрг Мактир,Рим,Маврикий
Руб аль-Чали,ОАЭ,Аль-Фуджайра
Атакама,РЧ,Чили
Тенере,ЧХ,Чад
Моаве,США,Калифорния
Тар,INД,Раджастхан
Каракум,ТМ,Дашхауз
