island,country,province
Фого,Резюме,Кап Верде
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Фукуока
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Сага
Борнео,МЛ,Саравак
Принс-Эдуард-Айленд,Кешированный контент-доставщик,Принс-Эдуард-Айленд
Великобритания,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Кент
Ангуилла,АКСА,Ангуилла
Великобритания,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Северо-Восточный Пять-Вудс
Дае,EW,Эстония
Гренландия,ГРОХ,Гренландия
Кракатау,Р,Индонезия
Ирландия,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Северная Ирландия
Гиэро,"""Э""",Канарские острова
Сардиния,я,Сардиния
Тортола,БВИР,Британские Виргинские острова
Остров Санта-Крус,США,Калифорния
Южный остров,Кешированный контент-доставщик,Северо-Западные территории
Олхон,r,Республика Бурятия
Уседом,ПЛ,Щецинские
Раротонга,КУХНЯ,Острова Кука
Великобритания,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Торфаен
Окинава,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Окинава
Эфате,ВУ,Вануат
Антигуа,АГ,Антигуа и Барбуда
Великобритания,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Пембрукшир
Великобритания,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Высоцкий
Остров Рождества,РАЗДЕЛЬНИЕ,Остров Рождества
Сулавеси,Р,Индонезия
Леви и Харрис,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Внешние Гебриды
Великобритания,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Нет и Порт-Талбот
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Наґасакі
