name,code,capital,province,area,population
Тринидад и Тобаго,ТТ,Порт-о-Спен,Тринидад и Тобаго,5130.0,1272385
Маршалловы Острова,МХ,Маджуро,Маршалловы Острова,181.3,58363
Марокко,Мए,Рабат,Марокко,446550.0,29779156
Швеция,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Стокгольм,Стокгольм,449964.0,8900954
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Кирибати,КИР,Тарава,Кирибати,717.0,80919
Плодородный полумесяц,Газа,,,360.0,813332
Сен-Пьер и Микелон,Спми,Сент-Пьер,Сен-Пьер и Микелон,242.0,6809
Острова Кука,КУХНЯ,Аваруа,Острова Кука,240.0,11870
Острова Сомалиленд,СЛБ,Гонрира,Острова Сомалиленд,28450.0,412902
Гана,ГГ,Аккра,Гана,238540.0,17698271
Пуэрто-Рико,ПР,Сан-Хуан,Пуэрто-Рико,8870.0,3971020
Объединенные Арабские Эмираты,ОАЭ,Абудаби,Абудаби,75581.0,3057337
Узбекистан,Узб,Ташкент,Ташкент,447400.0,23418381
Нидерландские Антильские острова,Н/Д,Виллемстад,Нидерландские Антильские острова,960.0,227049
Казахстан,Казахстан,Алматы,Алматы (город),2717300.0,16916463
Белоруссия,В,Минск,Белоруссия,207600.0,10415973
Сан-Томе и Принсипи,Стоп,Сан-Томе и Принсипи,Сан-Томе и Принсипи,1001.0,144128
Вануат,ВУ,Порт-Вила,Вануат,14760.0,177504
Монголия,МНГ,Улан-Батор,Монголия,1565000.0,2496617
Буркина-Фасо,БФ,Уагадугу,Буркина-Фасо,274200.0,10623323
Тимор-Лешти,Да,Дили,Тимор-Лешти,15007.0,1131612
Французская Гвиана,ФГУ,Перец кайенский,Французская Гвиана,91000.0,151187
Нидерланды,"Конечно! Я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Амстердам,Норд-Голландия,37330.0,15568034
Швейцария,Ч,Берн,БЕ,41290.0,7207060
Иран,Я,Тегеран,Тегеран,1648000.0,66094264
Индия,INД,Новый Дели,Дели,3287590.0,952107694
Зимбабве,ЗВ,Хараре,Зимбабве,390580.0,11271314
Египет,ET,Каир,Каир,1001450.0,63575107
Малайзия,МЛ,Кулау Лампур,Федеральная территория Куала-Лумпур,329750.0,19962893
Хорватия,ХР,Загреб,Хорватия,56538.0,5004112
Армения,РАМ,Ереван,Армения,29800.0,3463574
Барбадос,БДС,Бриджтаун,Барбадос,430.0,257030
Мьянма,МЯ,Рангун,Янгон,678500.0,45975625
Гайти,РЭ,Порт-о-Пренс,Гайти,27750.0,6731539
Ирландия,Онлайн,Дублин,Ирландия,70280.0,3566833
Замбия,Z,Лусака,Лусака,752610.0,9159072
Россия,r,Москва,Москва,17075200.0,148178487
Гваделупа,ГУАД,Нижний Терр,Гваделупа,1780.0,407768
Либерия,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Монровия,Либерия,111370.0,2109789
Фарерские острова,ФАРХ,Торсхавн,Фарерские острова,1400.0,43857
Словакия,СК,Братислава,Словакия,48845.0,5374362
Ангуилла,АКСА,Долина,Ангуилла,102.0,14436
Сент-Мартин,СМАР,Мариго,Сент-Мартин,54.0,29820
Гренландия,ГРОХ,Нук,Гренландия,2175600.0,58203
Парагвай,"Пожалуйста, предоставьте текст для перевода:",Асуанка,Парагвай,406750.0,5504146
Сейшельские Острова,СИ,Виктория,Сейшельские Острова,455.0,77575
Гватемала,ГКА,Гвадалахара,Гватемала,108890.0,11277614
Остров Норфолк,НОРФ,Кингстон,Остров Норфолк,34.6,2209
Колумбия,CO,Богота,"Сан-Хосе де Богота, ДС",1138910.0,36813161
Сент-Люсия,ВЛ,Кастри,Сент-Люсия,620.0,157862
Бруней,БРУ,Бандар-Сери-Бегаван,Бруней,5770.0,299939
Каймановы острова,Кайм,Георгтаун,Каймановы острова,262.0,49035
Остров Рождества,РАЗДЕЛЬНИЕ,Птица-рыбка,Остров Рождества,135.0,1402
Питкернские острова,ПИТЦ,Адамстاون,Питкернские острова,47.0,48
Латвия,LV,Рига,Латвия,64100.0,2468982
Непал,НЕП,Катманду,Непал,140800.0,22094033
Мартиника,Март,Форт-де-Франс,Мартиника,1128.0,399151
Центральная африканская республика,Карта,Банги,Центральная африканская республика,622980.0,3274426
Украина,УА,Киев,Киевская,603700.0,50864009
Вьетнам,ВН,Ханой,Вьетнам,329560.0,73976973
Индонезия,Р,Джакарта,Индонезия,1919440.0,206611600
Молдавия,МД,Кишинев,Молдавия,33700.0,4463847
Кения,EAK,Найроби,Найроби,582650.0,28176686
Бангладеш,БД,Дакка,Бангладеш,144000.0,123062800
Тонга,ТО,Нукуалофа,Тонга,748.0,106466
Ливан,RL,Бейрут,Ливан,10400.0,3776317
Гуам,ГВАМ,Агана,Гуам,541.3,178430
Западный берег,Запад,,,5860.0,1427741
Норвегия,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Осло,Осло,324220.0,4383807
Эстония,EW,Таллинн,Эстония,45100.0,1459428
Honduras,ХАКа,Тегусигальпа,Франсиско Моразан,112090.0,5605193
Ботсвана,РБ,Габороне,Ботсвана,600370.0,1477630
Ниуэ,Ниуэ,Алофи,Ниуэ,260.0,1398
Куба,C,Гавана,Гавана,110860.0,10951334
Бразилия,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Бразилия,Федеральный округ,8511960.0,162661214
Того,RT,Лома,Того,56790.0,4570530
Американская Самоа,АМСА,Пاغو-Пагу,Американская Самоа,199.0,65628
Сальвадор,"Это запрос на перевод с английского на русский язык. Вы хотите, чтобы я перевел текст ""ES"" на русский?",Сан-Сальвадор,Сальвадор,21040.0,5828987
Бурundi,БИ,Буюнбура,Бурundi,27830.0,5943057
Лихтенштейн,ФЛ,Вадуц,Лихтенштейн,160.0,31122
Соединенное Королевство,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Лондон,Более Лондона,244820.0,58489975
Намибия,НАМ,Виндхук,Намибия,825418.0,1677243
Северная Корея,"Нет, спасибо.",Пхеньян,Северная Корея,120540.0,23904124
Антигуа и Барбуда,АГ,Сан-Хо́нсе,Антигуа и Барбуда,442.0,65647
Судан,АЛМ,Хартум,аль-Хартум,2505810.0,31547543
Аруба,АРУ,Оранджестад,Аруба,193.0,103065
