country,continent,percentage
"""ГНБ"" на русском языке означает ""Государственная пограничная служба"". Это специальное агентство или организация, отвечающая за управление и контроль государственных границ страны.",Африка,100.0
ВАН,Африка,100.0
П,Европа,100.0
A,Азия,100.0
RL,Азия,100.0
ПР,Америка,100.0
МВ,Африка,100.0
r,Европа,20.0
ТМ,Азия,100.0
АКСА,Америка,100.0
ЭТХ,Африка,100.0
ГЕ,Азия,100.0
НОРФ,Австралия/Океания,100.0
Резюме,Африка,100.0
РАЗДЕЛЬНИЕ,Австралия/Океания,100.0
"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Европа,100.0
ТЕХНОН,Азия,100.0
НМИС,Австралия/Океания,100.0
ОК,Африка,100.0
ДК,Европа,100.0
А,Азия,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Европа,100.0
ТЖ,Азия,100.0
Онлайн,Европа,100.0
КВТ,Азия,100.0
Кос,Европа,100.0
"Добро пожаловать в чат-бот для перевода текста с английского на русский язык. Я здесь, чтобы помочь вам перевести любой текст, который вы мне предоставите. Пожалуйста, введите текст, который вы хотите перевести, и я предоставлю точный перевод. Если у вас есть какие-либо особые требования или предпочтения в отношении стиля перевода, пожалуйста, дайте мне знать, и я постараюсь адаптировать свой перевод соответствующим образом.",Африка,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Азия,100.0
В,Европа,100.0
ET,Африка,90.0
ТТ,Америка,100.0
ПЛ,Европа,100.0
БИ,Африка,100.0
РГ,Африка,100.0
ГБГ,Европа,100.0
РСА,Африка,100.0
МАЙО,Африка,100.0
МХ,Австралия/Океания,100.0
ВИ,Америка,100.0
Тр,Азия,95.0
ВТО,Африка,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Азия,100.0
СА,Азия,100.0
ГУАД,Америка,100.0
ФПОЛ,Австралия/Океания,100.0
ВУ,Австралия/Океания,100.0
ММ,Африка,100.0
РН,Африка,100.0
Австралия,Австралия/Океания,100.0
Лагерь,Европа,100.0
МД,Европа,100.0
АЛМ,Африка,100.0
БРУ,Азия,100.0
WAFU,Австралия/Океания,100.0
"Нет, спасибо.",Азия,100.0
Узб,Азия,100.0
АМСА,Австралия/Океания,100.0
Да,Азия,100.0
АГ,Америка,100.0
МНГ,Азия,100.0
RT,Африка,100.0
СЛБ,Австралия/Океания,100.0
МЯ,Азия,100.0
МНЕ,Европа,100.0
EAK,Африка,100.0
Р,Австралия/Океания,20.0
СЛО,Европа,100.0
ROSS,Америка,100.0
Тр,Европа,5.0
"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Европа,100.0
ФСМ,Австралия/Океания,100.0
SRB,Европа,100.0
РЧ,Америка,100.0
ТУВ,Австралия/Океания,100.0
Джо́р,Азия,100.0
ВАЛ,Африка,100.0
Мексика,Америка,100.0
ЧЗ,Европа,100.0
WG,Америка,100.0
АРУ,Америка,100.0
ТН,Африка,100.0
Запад,Азия,100.0
