city,province,country,river,lake,sea
Мостаганем,Алжир,ДЗ,,,Средиземное море
Петропавловск,Солтустик Казахстан,Казахстан,Ище́м,,
Нью-Хейвен,Коннектикут,США,,,Атлантический океан
Стекер,Северная Тронхейм,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,Норвежское море
С-Винсенте,Сан-Паулу,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",,,Атлантический океан
Чтение,Беркшир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Тэмс,,
Висбаден,Гессен,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Райн,,
Бראила,Бראила,Ро,Дунай,,
Кызыл-Орда,Кызыл-Орда,Казахстан,Сырдаража,,
Хабаровск,Хабаровский край,r,Амур,,
Жэньцзян,Джянсу,ТЖ,Джангсэ,,
Ярославль,Ярославская область,r,Волжь,,
Хальмстад,Халланд,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,Каттегат
Эрьζούум,Эрьζούум,Тр,Карасу,,
Порт-Вила,Вануат,ВУ,,,Тихоокеанский океан
Эл-Пасо,Техас,США,Рио-Гранде,,
Тель-Авив,Тель-Авив,АЛ,,,Средиземное море
Хайфа,Хайфа,АЛ,,,Средиземное море
Джэфферсон-Сити,Миссури,США,Миссури,,
Хейю,Северная Корея,"Нет, спасибо.",,,Желтое море
Порт-Судан,Аш-Шарави,АЛМ,,,Красный океан
Газа,Плодородный полумесяц,Газа,,,Средиземное море
Цинциннати,Охио,США,Охайо-Ривер,,
Новый Лардо,Тамаулипас,Мексика,Рио-Гранде,,
Аликанте,Валенсия,"""Э""",,,Средиземное море
Иньчунь,Нинся Хуйдзу,ТЖ,Хванго,,
Замбоанга,Филиппины,РП,,,Море Сулавеси
Нью-Йорк,Нью-Йорк,США,Хадсон-река,,Атлантический океан
Марта Матрух,Матрух,ET,,,Средиземное море
Тайчжун,Тайвань,КР,,,Тихоокеанский океан
Хобарт,Тасмания,Австралия,,,Тихоокеанский океан
Ла-Лагуна,Канарские острова,"""Э""",,,Атлантический океан
Рим,Лазио,я,Тибер,,
Жоао Пessoа,Параиба,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",,,Атлантический океан
Санта-Рем,Санта-Рем,П,Тайо,,
Солнечный берег,Новый Южный Уэльс,Австралия,,,Тихоокеанский океан
Корфу,Ионийские острова,ГР,,,Средиземное море
Стутгарт,Баден-Вюртемберг,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Нэккар,,
Тетуан,Марокко,Мए,,,Средиземное море
Дрезден,Нижняя Новгородская область,r,Ока,,
Резистенция,Чако,РА,Парана,,
Рейноса,Тамаулипас,Мексика,Рио-Гранде,,
Бамако,Мали,ММ,Нигер,,
Святого Георгия,Гренада,WG,,,Карибское море
Шафхаузен,Ш,Ч,Райн,,
Мале,Мальдивы,MV,,,Индийский океан
Ингольштадт,Бавария,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Дунай,,
Шарлотта Амале́и,Виргинские острова,ВИРГ,,,Карибское море
Квебек,Квебек,Кешированный контент-доставщик,Река Святого Лаврентия,,
Манаус,Амазонка,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Рио-Негро,,
Усть-Илимск,Иркутская область,r,Ангара,,
Нантунг,Джянсу,ТЖ,Джангсэ,,
Пномпень,Камбоджа,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Меконг,,
Наталия,Рио-Гранде-ду-Норте,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",,,Атлантический океан
Мольде,Мор и Ромсдал,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,Норвежское море
Комсомольск-на-Амуре,Хабаровский край,r,Амур,,
Сидней,Новый Южный Уэльс,Австралия,,,Тихоокеанский океан
Паликир,Микронезия,ФСМ,,,Тихоокеанский океан
Сафи,Марокко,Мए,,,Атлантический океан
Бандунг-Лампунг,Индонезия,Р,,,Индийский океан
Магдебург,Саксон-Антал,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Эльба,,
Токио,Канагава,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",,,Тихоокеанский океан
Дрезден,Саксония,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Эльба,,
Нигата,Нигата,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",,,Японское море
Охотск,Магаданская область,r,,,Оखотское море
Пангкал Пинанг,Индонезия,Р,,,Южная Китайская бухта
Пул,Дорсет,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",,,Канал
Фаррингем,Хэмпшир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",,,Канал
Янькоу,Ляонин,ТЖ,,,Желтое море
Венеция,Венето,я,,,Средиземное море
Аомори,Аомори,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",,,Японское море
Шизоку,Шизоку,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",,,Тихоокеанский океан
Стэмфорд,Коннектикут,США,,,Атлантический океан
Маскат,Оман,ОМ,,,Оманское море
Лаппеенранта,Кими,SF,,Саямаа,
Алхесис,Андалусия,"""Э""",,,Средиземное море
Гдыня,Гданьск,ПЛ,,,Балтийское море
Галати,Галати,Ро,Дунай,,
Туры,Центр,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Луара,,
Черкассы,Черкаска,УА,Днепр,,
Брисбен,Квинсленд,Австралия,,,Тихоокеанский океан
Архангельск,Архангельская область,r,Северная Двина,,Баренцево море
Эрмопули,Нотион Айяцион,ГР,,,Средиземное море
Петропавловск-Камчатский,Камчатский край,r,,,Тихоокеанский океан
Кристиансанд,Вест Агдер,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,Скегеррак
Банда-Ачех,Индонезия,Р,,,Бухта Андаман
Хельван,Каир,ET,Нил,,
