name,country,province,population,longitude,latitude
Порт-о-Спен,ТТ,Тринидад и Тобаго,150000.0,-61.2,10.4
Ухань,ТЖ,Хубэй,3750000.0,114.15,30.45
Лос-Текес,ВИ,Миранда,140617.0,,
Петалинг-Джая,МЛ,Федеральная территория Куала-Лумпур,254849.0,,
Замок Бранко,П,Замок Бранко,,,
Кросно,ПЛ,Кроснинские,,,
Хейверфордвест,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Пембрукшир,,,
Новый Лардо,Мексика,Тамаулипас,218413.0,,
Нарсингди,БД,Бангладеш,106000.0,,
Кингстон,"Нет, я не понимаю. Пожалуйста, уточните ваш запрос или сформулируйте его по-другому.",Ямайка,101000.0,-76.5,18.0
Иксинг,ТЖ,Джянсу,200824.0,,
Малмё,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Малмхус,245699.0,13.0,55.3
Ботукауту,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Сан-Паулу,100826.0,,
Троуبریдж,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Уильтшир,,,
Гуаякил,ЭК,Эквадор,1300868.0,-80.0,-2.0
Бассетер,КН,Сент-Китс и Невис,14700.0,-62.3,17.0
Майдстон,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Кент,138500.0,,
Каваратти,INД,Лакшадвип,,72.6,10.6
Боузи,ТЖ,Шаньси,337765.0,,
Рубцовск,r,Алтаенский край,170000.0,,
Тирана,АЛ,Албания,192000.0,19.8,41.3
Бенгази,ЛАР,Ливия,,20.0,32.0
Блитар,Р,Индонезия,119011.0,,
Наннин,ТЖ,Гуанси Чжунго,1070000.0,108.5,22.5
Вэньчжоу,ТЖ,Зхэцзян,401871.0,,
Майами,США,Флорида,358648.0,-80.1,25.4
Волксбург,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Нижняя Саксония,126965.0,,
Импхал,INД,Маньпюр,,94.0,24.5
Лейквуд,США,Колорадо,126475.0,,
Барюри,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Сан-Паулу,176740.0,,
Мιάνян,ТЖ,Сычуань,262947.0,,
Мачако,EAK,Восточный,116100.0,,
Ла-Корунья,"""Э""",Галисия,255087.0,,
Лянчэн,ТЖ,Шаньдун,156307.0,,
Междуречье,r,Кемеровская область,105000.0,,
Бара-Манса,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Рио-де-Жанейро,164768.0,,
Сассари,я,Сардиния,120011.0,,
Вельсен,"Конечно! Я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Норд-Голландия,134973.0,,
Сетэ-Лейуш,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Минас-Жерайс,167112.0,,
Рангпур,БД,Бангладеш,207000.0,,
Ксину,ТЖ,Цзянси,173524.0,,
Стоуктон-ан-Тайс,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Кливленд,177800.0,,
Тверь,r,Тверская область,455000.0,,
Куаутле,Мексика,Яли́ско,110242.0,,
Скопье,МК,Македония,506926.0,21.4,42.0
Голливуд,США,Флорида,121720.0,,
Валенсия,ВИ,Карабобо,903621.0,,
Навабгандж,БД,Бангладеш,141000.0,,
Карлскрона,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Блекинге,59007.0,15.3,56.1
Сунчон,"Нет, спасибо.",Северная Корея,356000.0,,
Токчен,"Нет, спасибо.",Северная Корея,217000.0,,
Челмсфорд,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Эссекс,155700.0,,
Джинчен,ТЖ,Шаньдун,136396.0,,
Столбец,r,Московская область,154000.0,,
Падова,я,Венето,218186.0,,
Понтпул,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Торфаен,,,
Бухарест,Ро,Бухарест,2037000.0,26.1,44.4167
Вьелян,ТЖ,Шаньси,140169.0,,
Гран-Рапиды,США,Мичиган,189126.0,-85.5167,42.8833
Арнем,"Конечно! Я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Гелдерланд,314159.0,,
Икороду,ВАН,Нигерия,163000.0,,
Джиаоццо,ТЖ,Хенань,409100.0,,
Аякучо,ПЕ,Аякучо,105918.0,,
