sea1,sea2
Карибское море,Гольфстрим
Атлантический океан,Ирландское море
Арабское море,Индийский океан
Арктический океан,Атлантический океан
Арктический океан,Норвежское море
Восточное море,Желтое море
Арктический океан,Баренцево море
Южная Китайская бухта,Море Сулавеси
Атлантический океан,Северное море
Японское море,Оखотское море
Северное море,Норвежское море
Северное море,Скегеррак
Атлантический океан,Карибское море
Тихоокеанский океан,Японское море
Чёрное море,Средиземное море
Бухта Андаман,Малаккийский пролив
Балтийское море,Северное море
Арктический океан,Берингово море
Японское море,Желтое море
Восточное море,Южная Китайская бухта
Северное море,Канал
Басейн Бенгальского залива,Тихоокеанский океан
Арабское море,Оманское море
Атлантический океан,Гольфстрим
Гольф Стрейт,Индийский океан
Атлантический океан,Индийский океан
Арктический океан,Сибирское море
Каттегат,Скегеррак
Малаккийский пролив,Южная Китайская бухта
Чёрное море,Моря Азовского
Оманское море,Индийский океан
Атлантический океан,Тихоокеанский океан
Восточное море,Тихоокеанский океан
Южная Китайская бухта,Средиземное море
Индийский океан,Средиземное море
