country1,country2,length
ПЛ,СК,444.0
Translation: Добро,ГР,494.0
ET,ЛАР,1150.0
МОН,МВ,1569.0
БД,МЯ,193.0
В,r,959.0
"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",я,488.0
"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!","Пожалуйста, предоставьте текст для перевода:",1290.0
Мексика,США,3326.0
ВТО,ВВС,169.0
НАМ,РБ,1360.0
ДЖИ,ER,113.0
ДЗ,ТН,965.0
АЛ,RL,79.0
МВ,Z,837.0
БФ,ММ,1000.0
"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.","Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",167.0
CO,ЭК,590.0
А,СЛО,324.0
ЧЗ,ПЛ,658.0
БФ,RT,126.0
ДЗ,ММ,1376.0
Кос,SRB,352.0
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",r,167.0
БХТ,ТЖ,470.0
БЕН,БФ,306.0
ИРК,СА,814.0
KGZ,ТЕХНОН,870.0
В,ПЛ,605.0
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",SF,729.0
Translation: Добро,Ро,608.0
А,Х,366.0
ОМ,ОАЭ,410.0
БИ,Есть,451.0
Есть,МОН,756.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",ВН,1228.0
А,Ч,164.0
"Нет, спасибо.",Рок,238.0
Привет! Как дела?,РЧ,861.0
МОН,SD,105.0
"Добро пожаловать в чат-бот для перевода текста с английского на русский язык. Я здесь, чтобы помочь вам перевести любой текст, который вы мне предоставите. Пожалуйста, введите текст, который вы хотите перевести, и я предоставлю точный перевод. Если у вас есть какие-либо особые требования или предпочтения в отношении стиля перевода, пожалуйста, дайте мне знать, и я постараюсь адаптировать свой перевод соответствующим образом.",ГQ,350.0
ГЕ,Тр,252.0
ЧЕЛОВЕК,СМЭ,600.0
Ч,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",573.0
А,ЧЗ,362.0
АГН,КРБ,201.0
В,LV,141.0
"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",ПЛ,456.0
Казахстан,ТМ,379.0
ФГУ,СМЭ,510.0
РАМ,Аз,787.0
ДЗ,Мए,1559.0
МОН,ЗВ,1231.0
АЛ,Кос,112.0
РА,РЧ,5150.0
КВТ,СА,222.0
