sea,country,province
Персидский залив,ОАЭ,Абудаби
Тихоокеанский океан,США,Гавайи
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Западная Рюнландия
Карибское море,C,Святого Духа
Средиземное море,БиХ,Босния и Герцеговина
Атлантический океан,АКСА,Ангуилла
Красный океан,АЛМ,Аш-Шарави
Сибирское море,r,Красноярский край
Атлантический океан,АГН,Заир
Атлантический океан,США,Род-Айленд
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Готланд
Атлантический океан,Кешированный контент-доставщик,Онтарио
Японское море,"Нет, спасибо.",Северная Корея
Норвежское море,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Финнмарк
Тихоокеанский океан,АМСА,Американская Самоа
Восточное море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Сага
Тихоокеанский океан,ПЖП,Дариен
Средиземное море,АЛ,Албания
Средиземное море,RL,Ливан
Южная Китайская бухта,СГП,Сингапур
Атлантический океан,РА,Сан-Круз
Атлантический океан,"""Э""",Астурия
Атлантический океан,БЕН,Бенин
Тихоокеанский океан,Мексика,Колима
Гольфстрим,Мексика,Веракрус
Гольфстрим,США,Флорида
Атлантический океан,Еще одно,Исландия
Средиземное море,ЛАР,Ливия
Желтое море,"Нет, спасибо.",Северная Корея
Тихоокеанский океан,ПЖП,Чирики
Чёрное море,УА,Крым
Арктический океан,r,Магаданская область
Атлантический океан,ГГ,Гана
Атлантический океан,КН,Сент-Китс и Невис
Атлантический океан,Кешированный контент-доставщик,Принс-Эдуард-Айленд
Карибское море,КР,Лимон
Атлантический океан,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Пей-де-ла-Луар
Средиземное море,ET,Эль-Бухайра
Атлантический океан,ХЕЛКС,Санта-Хелена
Атлантический океан,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Парана
Северное море,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Тайн и Уэр
Северное море,"Конечно! Я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Южная Голландия
Атлантический океан,Онлайн,Ирландия
Тихоокеанский океан,СЛБ,Острова Сомалиленд
