river,country,province
Нил,АЛМ,аль-Хартум
Лех,А,Форарльберг
Молдавия,ЧЗ,Южный
Марн,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Шампань-Арденн
Иллер,А,Форарльберг
Пацёки,SF,Лаппия
Саскачеван-ривер,Кешированный контент-доставщик,Альберта
Альцгеймер,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Бавария
Лаган,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Оппланд
Рио Сан-Франциско,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Минас-Жерайс
Инн,Ч,ГР
Маникуган,Кешированный контент-доставщик,Квебек
Рузизи,ВВС,Руанда
Гвадекивир,"""Э""",Андалусия
Эннсы,А,Верхняя Австрия
Бахр эль-Джебель/Альберт-Нил,ВТО,Уганда
Ваг,СК,Словакия
Ока,r,Орёлская область
Оунасйоки,SF,Лаппия
Арувими,ЗРЕ,Верхняя Заир
Ама-дар-джа,Афг,Афганистан
Амур,r,Чити́нская о́бласть
Рио Мадейра,Привет! Как дела?,Боливия
Гарона,"""Э""",Каталания
Дро,я,Трентино-Альто-Адидже
Пяндж,ТЕХНОН,Бадахшони Куни
Сохранить,СЛО,Словения
Рио Лерма,Мексика,Наурит
Кемиджоки,SF,Лаппия
Руки,ЗРЕ,Экватор
Кымиёки,SF,Хае́мэ
Нева,r,Ленинградская область
Тхё́рс,Еще одно,Исландия
Кура,Тр,Карс
Дорогая Река,Австралия,Квинсленд
Ворм,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Бавария
Жокульсё фьорд,Еще одно,Исландия
Река Святого Лаврентия,Кешированный контент-доставщик,Квебек
Ду́блы,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Франш-Конте
Райн,Ч,ГР
Миссисипи,США,Миннесота
Нигер,РГ,Гвинея
