country,organization,type
США,Яло,член
РБ,ООНИ,член
АГН,ООН,член
ГQ,СЧТ,член
МНГ,АдаБД,региональный член
Ро,ВТО,член
Рок,Афро-Азиатский банк развития,нерегиональный член
НЗ,ИФК,член
ET,АЛ,член
Ро,МОО,член
А,ISO,член
Translation: Добро,ВФТУ,член
Карта,ООНИ,член
Есть,WCL,член
РА,МТСР,член
"""Э""",Что?,член
АГ,Г-77,член
EAK,Всемирная почтовая союз,член
ЦИ,МТ,член
Ро,Кто?,член
ГР,ИЭА,член
"Да! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Г-77,член
SF,ИЭА,член
ROSS,ИОМ,член
ИРК,Международный олимпийский комитет,Национальный олимпийский комитет
КВТ,МОО,член
БФ,СЧТ,член
АЛ,Мiędzynarodовая организация гражданской авиации,член
РАМ,ида,Часть вторая
СК,УНАВЕМ III,член
АЛМ,КАЕУ,член
ЗВ,ISO,член
"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Что?,член
МВ,ида,Часть вторая
НКА,МОО,член
