mountain,country,province
Манаслу,НЕП,Непал
Саректжокко,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Норрботтен
Ю Шань,КР,Тайвань
Аконкагуа,РА,Мендоса
Большой Баллон,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Альзас
Гора Агу,Р,Индонезия
Монте-Фальтерона,я,Тоскана
Манталинган,РП,Филиппины
Кораб,АЛ,Албания
Геллерцовский Стит,СК,Словакия
Шнейкоппе,ПЛ,Валбрижские
Фудзи-сана,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Яма-на-ша
Мон-Блан,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Рон-Альпы
Ойос-дель-Саладо,РА,Тукуман
Сули́т-джелма,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Норрботтен
Гора Богонг,Австралия,Виктория
Кения,EAK,Восточный
Гашербрум II,ТЖ,Шэньянь-Уйгурский автономный район
Сноэхетта,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Оппланд
Чанганшань,"Нет, спасибо.",Северная Корея
Рантёкомбола,Р,Индонезия
Макалу,НЕП,Непал
Кангченджанга,НЕП,Непал
Рувензори,ЗРЕ,Киву
Невадо-дель-Уила,CO,Хуила
Гашербрум-1,ПК,Пакистан
Зард-Кух,Я,Чахар-Махал и Бектияри
Гран-Парадисо,я,Долина Аоста
Аусангат,ПЕ,Куско
Хальтиятунтури,SF,Лаппия
Фудзи-сана,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Шизоку
Пико Дуарте,Дом,Доминиканская Республика
Мт Марси,США,Нью-Йорк
Мт. Мак-Кинли,США,Аляска
Кораб,МК,Македония
Пико Бале,ГQ,Экваториальная Гвинея
Барре д'Экра,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Рон-Альпы
Попокацепетль,Мексика,Пуэбла
Коропуна,ПЕ,Арепа
Элгон,ВТО,Уганда
Джабаль-Шуайб,Да,Йемен
Пидуруталагала,КЛ,Шри-Ланка
