name,area,depth,altitude,type,river,longitude,latitude
Ла-Гуна-Мар-Чикита,5770.0,19.0,71.0,соль,,-62.67,-30.5
Озеро Виктория,68870.0,85.0,1134.0,,Виктория Нил,33.0,-1.0
Чикамуга,147.0,,,,Теннесси,-85.0,35.4
Инари,1040.0,92.0,119.0,,Пацёки,27.7,68.95
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Озеро Гурон,59600.0,229.0,176.0,,Детройтская река,-82.44,44.795
Великая медведица,31792.0,446.0,156.0,,,-120.6,65.9
Чиемен,80.0,73.0,518.0,,Альцгеймер,12.4,47.9
Озеро Маниконган,1942.0,,350.0,воздействие,,-68.7,51.4
Озеро Балчаш,18428.0,26.0,342.0,соль,,74.88,46.55
Сторуман,173.0,139.0,419.0,,Умеаэлв,16.88,65.22
Озеро Мати Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Озеро Эйаси,1050.0,,1030.0,соль,,35.0,-3.6
Цюрихское озеро,88.0,136.0,406.0,,Лиммат,8.23631,47.5018
Макарикари Соленая Пуща,12000.0,0.0,,соль,,21.0,-25.5
Этосха Соленая Пания,6133.0,0.0,1000.0,соль,,16.0,-18.8
Озеро Тана,3000.0,14.0,1830.0,,Синие Нилы,37.3,12.0
Вердальстаттер-Зе,113.7,214.0,434.0,,Рюсс,8.4,47.0
Озеро Псковское,3555.0,14.6,30.0,,Нарв,27.49,58.68
Улуяерви,928.0,35.0,123.0,,Оулу-Йоки,27.25,64.3
Рутанзиге/Эдуардзе,2325.0,112.0,920.0,,Семлики,29.6,-0.35
Кратер-Лейк,53.2,594.0,1883.0,Кальдера,,-122.1,42.9
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
Озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Озеро Маджоре,216.0,372.0,193.0,,Тичино,8.6,45.95
Мёса-Си,368.0,449.0,123.0,,Лаган,11.0,60.65
Озеро Натрон,1040.0,2.0,600.0,соль,,36.0,-2.4
Пирамидное озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Озеро Кабора-Бассе,2800.0,,326.0,искусственный,Замбеци,32.7,-15.6
Озеро Виннипег-Сюит,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
Озеро Сакакавеа,1578.0,55.0,,искусственный,Миссури,-101.42,47.48
Озеро Леман,581.0,310.0,372.0,,Рона,6.5,46.5
Озеро Цчани,2500.0,106.0,10.0,,,77.5,54.9
Сальар-де-Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Арезо,40.2,5.6,,,,12.1,56.0
Озеро Комо,146.0,425.0,197.0,,Адда,9.3,46.0
Озеро Франклин Д. Рузвельта,337.0,,,искусственный,Колумбийская река,-119.0,47.95
Озеро Сесэ-Секо/Альбертзе,5347.0,48.0,619.0,,Бахр эль-Джебель/Альберт-Нил,30.9,1.7
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
Озеро Рука,5760.0,5.0,800.0,соль,,32.35,-8.0
Озеро Ван,3740.0,457.0,1719.0,соль,,42.9,38.6
Лаачер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Барраж де Мбакау,,,,искусственный,Санага,12.75,6.4
Озеро Супериор,82103.0,405.0,184.0,,,-87.37,47.7675
Озеро Мантё,104.0,,,,,-82.0,45.76
Лейк-Вольта,8502.0,130.0,,искусственный,Вольта,0.5,6.3
Озеро Атлин,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
Озеро Пауэлл,645.0,171.0,1127.0,искусственный,Колорадо,-111.5,36.9
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
