river,country,province
Раб,Х,Ва́с
Изар,А,Тироль
Санга,КРБ,Конго
Волжь,r,Самарская область
Карун,Я,Хузестан
Токантинс,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Гояс
Сийна,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Высокая Норда
Ваерделяв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Даларна
Райн,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Нордрейн-Вестфалия
Сенегал,Рим,Маврикий
Лулуа,ЗРЕ,Шаба/Катанга
Нил,АЛМ,Аш-Шамали́я
Амур,r,Чити́нская о́бласть
Тигр,Тр,Сирнак
Иравади,МЯ,Мандалай
Лиммат,Ч,ЗХ
Замбеци,Z,Западный
Пецгора,r,Республика Коми
Иордания,Джо́р,Иордания
Раб,А,Стирия
Рузизи,ЗРЕ,Киву
Тибер,я,Тоскана
Миссури,США,Небраска
Мюррей-Деринг,Австралия,Виктория
Олт,Ро,Олт
Оранж,РСА,Северный Кейп
Висла,ПЛ,Гданьск
Рио Сан-Франциско,"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Минас-Жерайс
Брахмапутра,INД,Аруначал-Прадеш
Касай,АГН,Лунда-Суль
Чатанга,r,Красноярский край
Ду́блы,Ч,Джу
Март,СК,Словакия
Днестр,УА,Чернивецкий
Бахр эль-Гасаль,АЛМ,Бахр-эль-Газаль
Эльба,ЧЗ,Пража
Волжь,r,Республика Татарстан
Рио Магдалена,CO,Бояча
Река Юкон,Кешированный контент-доставщик,Юконский территория
Райн,А,Форарльберг
Поехали!,я,Венето
