country,target
ХР,Христиан
ЧХ,нехристианин
"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Христиан
Спми,Христиан
КВТ,нехристианин
RT,Христиан
РН,нехристианин
SD,Христиан
Да,Христиан
СЛБ,Христиан
Мए,нехристианин
РА,Христиан
ТТ,Христиан
Кайм,Христиан
ИРК,нехристианин
РП,Христиан
C,Христиан
Дом,Христиан
ВИ,Христиан
РЧ,Христиан
РАМ,Христиан
НАМ,Христиан
"Добро пожаловать в ресторан БР! Я ваш виртуальный официант на сегодня. Вы можете просматривать меню и делать заказы прямо здесь. Если у вас есть какие-либо вопросы или вам нужна помощь, не стесняйтесь обращаться ко мне за помощью. Я всегда рад помочь!",Христиан
АРУ,Христиан
