country,population_growth,infant_mortality
ФАРХ,-1.8,7.2
СА,3.45,46.4
WS,2.37,34.3
Джо́р,2.65,31.5
Я,2.21,52.7
ВАН,3.05,72.4
ДЖИ,1.5,106.7
КРБ,2.19,108.1
EAK,2.27,55.3
СЛО,-0.27,7.3
П,0.02,7.6
РЧ,1.24,13.6
ГР,0.42,7.4
Коко,,
Н/Д,0.73,9.09
ИРК,3.69,60.0
И,2.96,2.2
EW,-1.13,17.4
Западная Вирджиния,0.64,16.8
Сир,3.37,40.0
МНГ,1.69,69.7
ЗВ,1.41,72.8
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",0.21,4.4
БФ,2.53,117.8
СИ,0.76,12.5
НОРФ,,
SF,0.1,4.9
ХЕЛКС,0.45,17.63
ТН,1.81,35.1
PNG — Portable Network Graphics,2.29,60.1
ЧЗ,-0.03,8.4
ТЕХНОН,1.54,113.1
Газа,4.55,30.6
МАЙО,3.32,56.29
RT,3.56,84.3
