island,sea,lake,river
Сингапур,Южная Китайская бухта,,
Сантьяго,Атлантический океан,,
Куба,Атлантический океан,,
Филичудди,Средиземное море,,
Кракатау,Индийский океан,,
Амеленд,Северное море,,
Юра,Атлантический океан,,
Окинава,Тихоокеанский океан,,
Тобаго,Карибское море,,
Салина,Средиземное море,,
Южный Андаманский остров,Бухта Андаман,,
Дае,Балтийское море,,
Негрос,Море Сулавеси,,
Ниуэ,Тихоокеанский океан,,
Банкс-Айленд,Арктический океан,,
Остров Бафин,Арктический океан,,
Палау,Море Сулавеси,,
Бангка,Средиземное море,,
Фуэртевентура,Атлантический океан,,
Готланд,Балтийское море,,
Руген,Северное море,,
Сент-Винсент,Карибское море,,
Корово,Атлантический океан,,
Тасмания,Индийский океан,,
Остров Санта-Роза,Тихоокеанский океан,,
Палау,Южная Китайская бухта,,
Ла-Пальма,Атлантический океан,,
Антигуа,Атлантический океан,,
Кюрасао,Карибское море,,
Свалбард,Арктический океан,,
Кюсю,Тихоокеанский океан,,
Флорес,Атлантический океан,,
Гвадалканал,Тихоокеанский океан,,
Гозо,Средиземное море,,
Остров Сан- Мигель,Тихоокеанский океан,,
Мальта,Средиземное море,,
Минданао,Море Сулавеси,,
Фохр,Северное море,,
Нофлока,Атлантический океан,,
Сайпан,Тихоокеанский океан,,
Липари,Средиземное море,,
Ланаи,Тихоокеанский океан,,
Тортола,Карибское море,,
Сент-Китс,Карибское море,,
Ямайка,Карибское море,,
Кипр,Средиземное море,,
Корор,Тихоокеанский океан,,
Сицилия,Средиземное море,,
Сент-Китс,Атлантический океан,,
Зеланд,Балтийское море,,
Зеланд,Каттегат,,
Стреймо́й,Норвежское море,,
Монсерат,Атлантический океан,,
Ниихау,Тихоокеанский океан,,
Фонгофаале,Тихоокеанский океан,,
Самар,Тихоокеанский океан,,
"Каймановы острова, Брик",Карибское море,,
Уэстрей,Северное море,,
Раротонга,Тихоокеанский океан,,
Миндоро,Южная Китайская бухта,,
Невис,Атлантический океан,,
Вангероге,Северное море,,
Сардиния,Средиземное море,,
Сен-Мартен,Карибское море,,
Новый Провиденс,Атлантический океан,,
Тайвань,Южная Китайская бухта,,
Ислэй,Атлантический океан,,
Кефалиния,Средиземное море,,
Мальорка,Средиземное море,,
Свалбард,Баренцево море,,
Лефкас,Средиземное море,,
Санта-Мария,Атлантический океан,,
Гешм,Персидский залив,,
Тимор,Индийский океан,,
Остров Санта-Крус,Тихоокеанский океан,,
Исландия,Норвежское море,,
Восточный Фолкленд,Атлантический океан,,
Суматра,Малаккийский пролив,,
Южный Андаманский остров,Басейн Бенгальского залива,,
Шри-Ланка,Индийский океан,,
Нижний Терр,Карибское море,,
Тайвань,Тихоокеанский океан,,
Остров Виктория,Арктический океан,,
Сен-Мартен,Атлантический океан,,
Сан-Томе и Принсипи,Атлантический океан,,
Рюм,Атлантический океан,,
Амрун,Северное море,,
Остров Сан-Клементе,Тихоокеанский океан,,
Гренада,Атлантический океан,,
Сау-Мигель,Атлантический океан,,
