abbreviation,name,city,country,province,established
БЦИЭ,Центральный банк Центральной Америки по экономическому интегрированию,Тегусигальпа,ХАКа,Франсиско Моразан,1960-12-13
Яндекс.Перевод,Банк межамериканского развития,Вашингтон,США,Дистрикт Колумбия,1959-04-08
МТСР,Режим контроля за технологиями ракетных комплексов,,,,1987-04-16
ФИТУК,Международная конфедерация профсоюзов,Брюссель,"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Прованс,1949-12-01
Минирсо,Миссия Организации Объединенных Наций по референдуму в Западной Сахаре,Нью-Йорк,США,Нью-Йорк,1991-04-29
ЭКО,Организация экономического сотрудничества,Тегеран,Я,Тегеран,1985-01-01
G-3,Группа из 3,,,,1990-10-01
Конференция Организации Объединенных Наций по торговле и развитию,Конференция Организации Объединенных Наций по торговле и развитию,Женева,Ч,ГЕ,1964-12-30
МНПЛ,Силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
БИС,Банк международных расчетов,Басель,Ч,БС,1930-01-20
Мерыкуш,Южно-Конный Общий Рынок,Буенос-Айрес,РА,Федеральный округ,1991-03-26
"Да, я готова приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Организация исламского сотрудничества,Джеддах,СА,Саудовская Аравия,1969-09-22
ИБРР,Международный банк реконструкции и развития,Вашингтон,США,Дистрикт Колумбия,1944-07-22
АКП,"Африканские, карибские и тихоокеанские страны",Брюссель,"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Прованс,1976-04-01
КАКМ,Центральноамериканский общий рынок,Гвадалахара,ГКА,Гватемала,1960-12-13
УНМОГИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
УЭУ,Западноевропейский союз,Брюссель,"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Прованс,1954-10-23
БДИ,Банк развития Ислама,Джеддах,СА,Саудовская Аравия,1973-12-15
G-15,Группа из 15 человек,Женева,Ч,ГЕ,
Меконг Групп,Группа развития бассейна Меконг АСЕАН,,,,1995-12-01
НИБ,Северный инвестиционный банк,Гельсинки,SF,Уусимаа,1975-12-04
САДК,Южноафриканское сообщество по вопросам развития,Габороне,РБ,Ботсвана,1992-08-17
Всемирная почтовая союз,Всемирный почтовый союз,Берн,Ч,БЕ,1874-10-09
Спартека,Южно-Тихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
МФЗК,Международный фонд сельскохозяйственного развития,Рим,я,Лазио,1974-11-01
ЛАЕС,Латиноамериканская экономическая система,Каркасс,ВИ,Федеральный округ,1975-10-17
МВФ,Международный валютный фонд,Вашингтон,США,Дистрикт Колумбия,1944-07-22
АЛ,Лига арабских государств,Каир,ET,Каир,1945-03-22
