city,province,country,island
Юнго,Тайвань,КР,Тайвань
Глостер,Глориешерс,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Кофу,Яма-на-ша,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Наха,Окинава,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Окинава
Чунго,Тайвань,КР,Тайвань
Стокпорт,Большие Манчестерские Города,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Цзю,Мие,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Форт-де-Франс,Мартиника,Март,Мартиника
Белфаст,Северная Ирландия,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Ирландия
Утономия,То́гата,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Токио,Канагава,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Ци́го-де-Авила,Ци́го-де-Авила,C,Куба
Пингтун,Тайвань,КР,Тайвань
Ньюкасл-апон-Тайн,Тайн и Уэр,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Кавасаки,Канагава,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Проболингго,Индонезия,Р,Ява
Святого Георгия,Гренада,WG,Гренада
Санья,Хайнай,ТЖ,Хайнай
Стэнли,Фолклендские острова,ФАЛЬК,Восточный Фолкленд
Сен-Дени,Перезвонок,Воссоединение,Перезвонок
Птица-рыбка,Остров Рождества,РАЗДЕЛЬНИЕ,Остров Рождества
Кумамото,Кумамото,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Кюсю
Хорсэм,Западный Сассекс,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Паньмяо,Тайвань,КР,Тайвань
Хсинчжуанг,Тайвань,КР,Тайвань
Ираклион,Крит,ГР,Крета
Саутгемптон,Хэмпшир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Боуэтс-энд,Дорсет,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Сан-Хо́нсе,Нофлока,Кешированный контент-доставщик,Нофлока
Гейтсхед,Тайн и Уэр,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Вирал,Мерсисайд,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Гифу,Гифу,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Экстер,Девон,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Салисбери,Уильтшир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Эбв-Вейл,Бленау Гвинт,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Брадфорд,Западный Йоркшир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Дублин,Ирландия,Онлайн,Ирландия
Басингсток,Хэмпшир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Сан-Хуан,Пуэрто-Рико,ПР,Пуэрто-Рико
Мацуэ,Шимане,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Корор,Палау,ПАЛ,Корор
Санто-Доминго,Доминиканская Республика,Дом,Хиспаньола
Карлайл,Кумбрия,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Анцирабе,Антананариву,РМ,Мадагаскар
Тегал,Индонезия,Р,Ява
Кефлавик,Исландия,Еще одно,Исландия
Майдстон,Кент,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Лландродод Веллс,Поуис,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Ямагата,Ямагата,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Стратфорд-на-Эйвоне,Уорикшир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Кардифф,Кардифф,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Нара,Нара,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хоккайдо
Сайпан,Северные Марианские острова,НМИС,Сайпан
Виктория,Британская Колумбия,Кешированный контент-доставщик,Ванкуверский остров
Кочи,Кочи,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Шикоку
Сантьяго-де-Куба,Сантьяго-де-Куба,C,Куба
Кармартен,Кармартеншир,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Дандолк,Тайсайд,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Бирмингем,Западный Мидлендс,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Страгод Фирдр,Каерфилли,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Великобритания
Виктория,Мальта,М,Гозо
