lake,country,province
Озеро Гезер,Сир,Сирия
Балатон,Х,Сомоги
Озеро Танг أيка,ЗРЕ,Шаба/Катанга
Макарикари Соленая Пуща,РБ,Ботсвана
Каспийское море,r,Республика Калмыкия
Озеро Виннипег,Кешированный контент-доставщик,Маньчжурия
Ла-Гуна-Мар-Чикита,РА,Сантьяго-де-Эстеро
Озеро Малави,МОН,Ниасса
Ваенерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Скарабей
Ваеттерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Остерготландия
Чиемен,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Бавария
Балатон,Х,Весьрем
Озеро Виктория,ВТО,Уганда
Каспийское море,Казахстан,Атырау
Озеро Рука,Есть,Табора
Озеро Танг أيка,БИ,Бурundi
Оゼロ Онеж,r,Вологодская область
Озеро Эйр,Австралия,Южная Австралия
Озеро Ван,Тр,Битлис
Каллавеси,SF,Кюопио
Озеро Виктория,EAK,Ньяса
Чу Бахир,ЭТХ,Эфиопия
Озеро Мантё,Кешированный контент-доставщик,Онтарио
Озеро Трасимено,я,Умбрия
Озеро Чанка,r,Приморский край
Чикамуга,США,Теннесси
Озеро Преспа,ГР,Дайтики Македония
Лейк-Вольта,ГГ,Гана
Озеро Эри,Кешированный контент-доставщик,Онтарио
Оゼロ Ладога,r,Ленинградская область
Озеро Кайни,ВАН,Нигерия
Озеро Кариба,ЗВ,Зимбабве
Озеро Атлин,Кешированный контент-доставщик,Юконский территория
Озеро Маркибо,ВИ,Трюхильо
Каспийское море,Я,Мазандеран
Озеро Сакакавеа,США,Монтана
Озеро Виктория,Есть,Кагера
Озеро Танг أيка,Есть,Мбея
Озеро Мверу,ЗРЕ,Шаба/Катанга
Озеро Танг أيка,Есть,Кигома
Озеро Цчани,r,Новосибирская область
Кентуккий-Лейк,США,Теннесси
Боденское озеро,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Баден-Вюртемберг
Озеро Гарда,я,Ломбардия
Боденское озеро,Ч,ТГ
Хамун е Джаз Муриан,Я,Керман
Озеро Балчаш,Казахстан,Жамбил
Каспийское море,Аз,Азербайджан
Озеро Чамплейн,США,Нью-Йорк
Озеро Кебан,Тр,Малатья
Лох-ломонд,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Высоцкий
Озеро Леман,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Рон-Альпы
О́зеро Байкало́вское,r,Иркутская область
ОZero Таймыр,r,Красноярский край
Озеро Леман,Ч,ГЕ
Озеро Тахо,США,Невада
Озеро Гезер,АЛ,Север
Мёртвое море,АЛ,Южный
Вердальстаттер-Зе,Ч,УР
Озеро Киву,ЗРЕ,Киву
Оゼロ Онеж,r,Республика Карелия
Пайянне,SF,Finляндия
Мэллен,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Стокгольм
О零 ара́л,Узб,Каракalpогистон
Озеро Хемю,Австралия,Виктория
Озеро Скутари,МНЕ,Черногория
Озеро Балчаш,Казахстан,Тальдыкорган
